model,drop out,methods,reward,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-EResidual,rew2.2,0.01711684993104334,0.21439999516660563,0.40069420143512985,0.2150556520735468,0.21431903048783738,0.18726224632764468,0.07367974643613648,0.2145164157601352
confidnet,do1,MCD-EResidual,rew2.2,0.01711684993104334,0.21439999516660563,0.40069420143512985,0.2150556520735468,0.21431903048783738,0.18726224632764468,0.07367974643613648,0.2145164157601352
confidnet,do1,MCD-EMaha,rew2.2,0.01713378531666638,0.21447437943983189,0.4006247804251579,0.21462998159479924,0.2142594179916823,0.18718429614228088,0.07370198540598785,0.21438548313856973
confidnet,do1,MCD-EMaha,rew2.2,0.01713378531666638,0.21447437943983189,0.4006247804251579,0.21462998159479924,0.2142594179916823,0.18718429614228088,0.07370198540598785,0.21438548313856973
confidnet,do1,MCD-Maha,rew2.2,0.01725499192210908,0.2146171036208771,0.40076446281994416,0.21416057842998498,0.21499271277094795,0.18826315523135254,0.07372041555991078,0.21442749952982823
confidnet,do1,MCD-Maha,rew2.2,0.01725499192210908,0.2146171036208771,0.40076446281994416,0.21416057842998498,0.21499271277094795,0.18826315523135254,0.07372041555991078,0.21442749952982823
confidnet,do1,MCD-EViM,rew2.2,0.017634383775638317,0.21442256765843232,0.40088761636987236,0.2153460028044183,0.214576883143263,0.1875883120168073,0.07391429134808626,0.2147789682383257
confidnet,do1,MCD-EViM,rew2.2,0.017634383775638317,0.21442256765843232,0.40088761636987236,0.2153460028044183,0.214576883143263,0.1875883120168073,0.07391429134808626,0.2147789682383257
confidnet,do1,MCD-Residual,rew2.2,0.017684112848867402,0.2148177397360242,0.40091113311184134,0.2153880169734502,0.21465678671530525,0.18768624486663357,0.07413262375186805,0.2150243144916079
confidnet,do1,MCD-Residual,rew2.2,0.017684112848867402,0.2148177397360242,0.40091113311184134,0.2153880169734502,0.21465678671530525,0.18768624486663357,0.07413262375186805,0.2150243144916079
confidnet,do1,MCD-CTMmean,rew2.2,0.01880148884300198,0.2163564282356052,0.27472161355700037,0.16447231168229431,0.19861751422210377,0.16429712530165297,0.053985500481369075,0.21848988384177623
confidnet,do1,MCD-CTMmean,rew2.2,0.01880148884300198,0.2163564282356052,0.27472161355700037,0.16447231168229431,0.19861751422210377,0.16429712530165297,0.053985500481369075,0.21848988384177623
confidnet,do1,MCD-CTMmeanOC,rew2.2,0.018951248370117503,0.21613037703849974,0.2757011533154318,0.1650385406388724,0.1995365281854304,0.1651318489116827,0.054430488488823724,0.2188192978351548
confidnet,do1,MCD-CTMmeanOC,rew2.2,0.018951248370117503,0.21613037703849974,0.2757011533154318,0.1650385406388724,0.1995365281854304,0.1651318489116827,0.054430488488823724,0.2188192978351548
confidnet,do1,MCD-ECTMmeanOC,rew2.2,0.01968380595955242,0.21483073179907602,0.2616139396852802,0.15578535002869504,0.17566532143793373,0.14305763459900497,0.0656103630918097,0.21938031532638336
confidnet,do1,MCD-ECTMmeanOC,rew2.2,0.01968380595955242,0.21483073179907602,0.2616139396852802,0.15578535002869504,0.17566532143793373,0.14305763459900497,0.0656103630918097,0.21938031532638336
