model,drop out,methods,reward,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do0,Residual,rew2.2,0.017283445577854144,0.49539133800215085,0.6963444325675766,0.4896469059499454,0.4914043282210482,0.49101524064537255,0.4635560421360148,0.3675835251609177,0.5011944495017816
confidnet,do0,MSR,rew2.2,0.019034197422145228,0.4106043360897306,0.4951048251288744,0.3779938811693462,0.37341407549052447,0.3732537556657164,0.35671346418416305,0.3109188209833288,0.4018595953193182
confidnet,do1,CTMmean,rew2.2,0.019231720144727564,0.42216983217828613,0.5484190179380058,0.39516212835819314,0.4303962881554035,0.3964074020468369,0.37811875285106084,0.321597394411839,0.41692146116053846
confidnet,do0,Maha,rew2.2,0.0192508936371608,0.4877944758937143,0.6879566647253502,0.49233591587931214,0.4863232096759316,0.4952678408676699,0.4688959131034133,0.3791313302501034,0.49355511609733727
confidnet,do0,PCA RecError global,rew2.2,0.01984880567315021,0.501728003707484,0.6954054436726305,0.5087224670246527,0.49410995841155547,0.5134789657958841,0.48872236306007144,0.38672700693954226,0.5115230750575585
confidnet,do1,PCE,rew2.2,0.021826760551927536,0.4142063674716667,0.5174570619087757,0.35179996981104156,0.39233506145313135,0.3420865380483561,0.3293223592373305,0.3118470164943513,0.3982872386577751
confidnet,do1,ViM,rew2.2,0.022604579389838144,0.43450395288401467,0.6201731717050636,0.4608853251238696,0.4489446712664724,0.4568669130301417,0.43765367863050525,0.3441415877829736,0.42385289363922074
confidnet,do1,PE,rew2.2,0.022799144335281973,0.40650658079219326,0.49481393687395564,0.31967277259807947,0.3634935256777261,0.30070725000709103,0.2894751434439611,0.3032478267157732,0.381185585223859
confidnet,do1,GE,rew2.2,0.022938982196208706,0.40549502377394225,0.4921363684649817,0.31241028865438664,0.3569194517602295,0.29109995944968553,0.2809833724081882,0.30191742723560894,0.3774158693669505
confidnet,do0,fDBD,rew2.2,0.02375576969706728,0.42632843762679207,0.5605744206589586,0.4122017114027192,0.4140593184216383,0.4052115816317384,0.38998441146478574,0.328082476586881,0.41920858512350545
confidnet,do1,Confidence,rew2.2,0.02382607873242175,0.4111798993252678,0.5173417324742243,0.36080638998022435,0.39483838385450987,0.3538582621521833,0.3372068096871696,0.3110394553324507,0.40118405190128087
confidnet,do0,GradNorm,rew2.2,0.024133946503098906,0.48461484477181205,0.6912263262254862,0.5068246556302284,0.49188775257294837,0.51212189832202,0.49029029044273087,0.3562259079798705,0.4929941551239266
confidnet,do1,NNGuide,rew2.2,0.02474547106152033,0.40773758690079914,0.4541140043749707,0.3080906972559885,0.346662914268124,0.29308103730660157,0.2820974116874535,0.30438890685385395,0.3780047161871108
