model,drop out,methods,reward,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,GradNorm,rew2.2,0.0794241731258833,0.34152803873650334,0.6004559475716702,0.18082079654363198,0.23535462248016037,0.20750539013756225,0.16577912752312945,0.36027942189068957
confidnet,do1,GradNorm,rew2.2,0.0794241731258833,0.34152803873650334,0.6004559475716702,0.18082079654363198,0.23535462248016037,0.20750539013756225,0.16577912752312945,0.36027942189068957
confidnet,do1,Energy,rew2.2,0.08325253914085724,0.3546609944455648,0.5598209882643801,0.21166284786971717,0.20299488536010984,0.19139706110555968,0.13794742825515574,0.38313349733485486
confidnet,do1,Energy,rew2.2,0.08325253914085724,0.3546609944455648,0.5598209882643801,0.21166284786971717,0.20299488536010984,0.19139706110555968,0.13794742825515574,0.38313349733485486
confidnet,do1,REN,rew2.2,0.10125029949860878,0.339532950906257,0.598762704665704,0.19745719722181837,0.27198136396974204,0.21531208116912173,0.22827766673136124,0.3930080772530542
confidnet,do1,REN,rew2.2,0.10125029949860878,0.339532950906257,0.598762704665704,0.19745719722181837,0.27198136396974204,0.21531208116912173,0.22827766673136124,0.3930080772530542
confidnet,do0,MSR,rew2.2,0.11227189178540598,0.3600715196275427,0.5432469545931853,0.28572937864065767,0.309147909622926,0.2727388275761814,0.1551321115651101,0.3432962106722156
confidnet,do0,MSR,rew2.2,0.11227189178540598,0.3600715196275427,0.5432469545931853,0.28572937864065767,0.309147909622926,0.2727388275761814,0.1551321115651101,0.3432962106722156
confidnet,do1,GEN,rew2.2,0.11527194860445458,0.34807464956036904,0.615993780166813,0.22102564077039366,0.31610522679666214,0.25622303091041443,0.21207710310433078,0.40960990964423233
confidnet,do1,GEN,rew2.2,0.11527194860445458,0.34807464956036904,0.615993780166813,0.22102564077039366,0.31610522679666214,0.25622303091041443,0.21207710310433078,0.40960990964423233
confidnet,do0,NNGuide,rew2.2,0.13110257138091766,0.37297242029093886,0.48585805495285506,0.19794683564415191,0.22220731005013636,0.19588621042914994,0.10599885105659992,0.3570198981953768
confidnet,do0,NNGuide,rew2.2,0.13110257138091766,0.37297242029093886,0.48585805495285506,0.19794683564415191,0.22220731005013636,0.19588621042914994,0.10599885105659992,0.3570198981953768
confidnet,do0,PCE,rew2.2,0.13575287246036943,0.33575236840434564,0.5425774231001178,0.2776245534027708,0.29880321348273453,0.25932333989192774,0.15226918005154655,0.33427901316021796
confidnet,do0,PCE,rew2.2,0.13575287246036943,0.33575236840434564,0.5425774231001178,0.2776245534027708,0.29880321348273453,0.25932333989192774,0.15226918005154655,0.33427901316021796
confidnet,do0,fDBD,rew2.2,0.14321046931604725,0.4313410099461669,0.4651140522820308,0.2654832269372256,0.28841560813901307,0.25842410618412637,0.1189304813802512,0.328017504224066
confidnet,do0,fDBD,rew2.2,0.14321046931604725,0.4313410099461669,0.4651140522820308,0.2654832269372256,0.28841560813901307,0.25842410618412637,0.1189304813802512,0.328017504224066
confidnet,do0,MLS,rew2.2,0.14960925020363894,0.3478963947803368,0.5922658749601312,0.24917748725859018,0.2672171216188253,0.22350947832306783,0.13170208614991297,0.35981045333765665
confidnet,do0,MLS,rew2.2,0.14960925020363894,0.3478963947803368,0.5922658749601312,0.24917748725859018,0.2672171216188253,0.22350947832306783,0.13170208614991297,0.35981045333765665
confidnet,do0,CTM,rew2.2,0.15103185559844162,0.42041677626902585,0.41773789585662235,0.21810797182940042,0.22455440673397725,0.19607451791464406,0.10628579755174968,0.4139879046669659
confidnet,do0,CTM,rew2.2,0.15103185559844162,0.42041677626902585,0.41773789585662235,0.21810797182940042,0.22455440673397725,0.19607451791464406,0.10628579755174968,0.4139879046669659
