model,drop out,methods,reward,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-ViM,rew2.2,0.06415025087485243,0.6014656154478502,0.7832984784061997,0.6237002658817907,0.6672784112614261,0.6188532129467472,0.5955633861241443,0.5483514792130298,0.5769534851876175
confidnet,do1,MCD-GEN,rew2.2,0.1307139250597485,0.6744051625738291,0.8056268784592531,0.6652608457018117,0.7017741060747109,0.6840619540006343,0.6590122441571488,0.5824503492561303,0.6722775332738647
confidnet,do1,MCD-EGE,rew2.2,0.18982052282322534,0.6154919393655842,0.708167210331407,0.6432062392106912,0.6418097815922632,0.642101061075792,0.6287369101282186,0.5490384572649452,0.6274081840465164
confidnet,do1,MCD-EPE,rew2.2,0.21944128937432064,0.6231371639142823,0.7122897857092434,0.6242541126357322,0.6284731364962186,0.611009098130828,0.6040032059642,0.5576365810550661,0.6187573046640645
confidnet,do1,MCD-Residual,rew2.2,0.2292191442860568,0.8010910815103411,0.7088636969065158,0.9467607630714466,0.7536095132206159,0.9522551001454908,0.9527272474099382,0.6345873119748604,0.8846407674704156
confidnet,do1,MCD-Maha,rew2.2,0.24750696946632506,0.8118849129767645,0.8949574280604319,0.8597463820762318,0.8264283087362596,0.8531683922430344,0.8501071006658126,0.7478817931280766,0.8063103131633309
confidnet,do1,MCD-Energy,rew2.2,0.2486962483564119,0.6268134895827865,0.7278785430485486,0.564089482170265,0.596262153853977,0.5287581500425939,0.5275673241285072,0.5712250698878252,0.6081658163998376
confidnet,do1,MCD-GradNorm,rew2.2,0.2589558797825906,0.6425723688912844,0.7224043678996328,0.5612340471438361,0.6161063921163362,0.540540162132784,0.5247075568035626,0.5503746029346782,0.6313238887874018
confidnet,do1,MCD-PE,rew2.2,0.28070829682301696,0.6073447729072997,0.7141600077486835,0.5751582625298639,0.607554574253767,0.5504235174456054,0.5483597712541669,0.5521860942532822,0.5967219718126479
confidnet,do1,MCD-EViM,rew2.2,0.282483996648157,0.7870339312607944,0.6999286691906148,0.9421198114009843,0.6650772320805849,0.9565979081733484,0.9497339624292624,0.5552305020345543,0.8768607241686981
