model,drop out,methods,reward,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-ENNGuide,rew2.2,0.08479427339233074,0.43517477966823714,0.5931825315381032,0.24547252521380353,0.3808707127903322,0.3272778339058242,0.15986846663385695,0.4349133140785949
confidnet,do1,MCD-ENNGuide,rew2.2,0.08479427339233074,0.43517477966823714,0.5931825315381032,0.24547252521380353,0.3808707127903322,0.3272778339058242,0.15986846663385695,0.4349133140785949
confidnet,do1,MCD-PE,rew2.2,0.08719548476006318,0.3768530925753889,0.5832517483812774,0.25616365541231884,0.4347299466716589,0.37642631833422324,0.1727622342351142,0.3986836532568006
confidnet,do1,MCD-PE,rew2.2,0.08719548476006318,0.3768530925753889,0.5832517483812774,0.25616365541231884,0.4347299466716589,0.37642631833422324,0.1727622342351142,0.3986836532568006
confidnet,do1,MCD-EMLS,rew2.2,0.08724163165284857,0.39818628314617416,0.573482024293741,0.21181673304442286,0.3850350988578046,0.36471816197060336,0.14341024859073703,0.3806553550391654
confidnet,do1,MCD-EMLS,rew2.2,0.08724163165284857,0.39818628314617416,0.573482024293741,0.21181673304442286,0.3850350988578046,0.36471816197060336,0.14341024859073703,0.3806553550391654
confidnet,do1,MCD-NNGuide,rew2.2,0.08742942848967787,0.4359296584378557,0.586890607701686,0.255959292153621,0.3961955278462495,0.3423624199415249,0.16540041911416592,0.4331615170854368
confidnet,do1,MCD-NNGuide,rew2.2,0.08742942848967787,0.4359296584378557,0.586890607701686,0.255959292153621,0.3961955278462495,0.3423624199415249,0.16540041911416592,0.4331615170854368
confidnet,do1,MCD-EResidual,rew2.2,0.09095638923374307,0.3280785678003073,0.5543058924560843,0.2306945891650352,0.49487163310241356,0.4648693918173998,0.14943137530561806,0.27361401604294533
confidnet,do1,MCD-EResidual,rew2.2,0.09095638923374307,0.3280785678003073,0.5543058924560843,0.2306945891650352,0.49487163310241356,0.4648693918173998,0.14943137530561806,0.27361401604294533
confidnet,do1,MCD-GEN,rew2.2,0.09279733056651912,0.403355119656304,0.5904162202387248,0.2937775989616841,0.4793383595698826,0.4257027668643582,0.21500287812652252,0.4181433869479224
confidnet,do1,MCD-GEN,rew2.2,0.09279733056651912,0.403355119656304,0.5904162202387248,0.2937775989616841,0.4793383595698826,0.4257027668643582,0.21500287812652252,0.4181433869479224
