model,drop out,methods,reward,run,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
modelvit,do1,GEN,rew0,0,0.0968045819621158,0.5359399729508917,0.604061459919237,0.5493238520856355,0.54015952325503,0.542546392266016,0.5303333675723078,0.4186461686890071,0.5201717423553971
modelvit,do1,GEN,rew0,1,0.0963219916560209,0.584962692428638,0.6862446281215407,0.5967414454284332,0.578497780274613,0.5797874949890932,0.5685338070853616,0.4796118779816029,0.5710614338844513
modelvit,do1,GEN,rew0,2,0.0988137355779522,0.5641119759013979,0.6535619989350957,0.5702478325501584,0.5772110566273946,0.5652148649369996,0.5538436257627171,0.4422974978664968,0.545158908027058
modelvit,do1,GEN,rew0,3,0.0967995003597937,0.5818683515459669,0.6539693335816077,0.5890789185698249,0.5720687795377559,0.5809661745976055,0.568059754657181,0.4637364500617304,0.571170260193189
modelvit,do1,GEN,rew0,4,0.098332836360398,0.5271730878913703,0.5881655941577757,0.5381664834099682,0.5315561866547887,0.5214291120391346,0.5160483778197563,0.400457832073591,0.5062380252161218
modelvit,do1,PE,rew0,0,0.0967874173413348,0.5552786504121741,0.596383147286646,0.5587598804275221,0.5361823171159316,0.5442485186122442,0.5320742238037187,0.4538059060726339,0.556115913696072
modelvit,do1,PE,rew0,1,0.0962884637766925,0.5940471641954913,0.6515755802780123,0.5968015420030705,0.5601891971288915,0.5743695564829544,0.5640745413434812,0.4851290172996297,0.5962709266897426
modelvit,do1,PE,rew0,2,0.098447901003048,0.5448882024510633,0.5741491919219339,0.5467980941747305,0.5355883823817416,0.530087444825321,0.5234234644019796,0.4198212825852978,0.5282220805022908
modelvit,do1,PE,rew0,3,0.0975444011213131,0.5023790221289495,0.5479335579315024,0.5156146543763858,0.4821171140002668,0.5158788541658575,0.5033854015312401,0.3362933081109082,0.4754565834231655
modelvit,do1,PE,rew0,4,0.098566593537418,0.5632800854488191,0.5900679560336904,0.5684751538871968,0.5191541621653023,0.5437841826279824,0.5324201936226648,0.4845717096531773,0.5868353421230035
modelvit,do1,PCE,rew0,0,0.0970602771398872,0.5923752509627611,0.6438280529704702,0.5929564712236122,0.5755285846798176,0.5814415016542841,0.5668463508331631,0.4910791922945693,0.6001110784750693
modelvit,do1,PCE,rew0,1,0.0959186650867131,0.5875689802762101,0.6487410902952652,0.5917898742589315,0.555051140525898,0.570017716909985,0.5594669380103519,0.4717400346787075,0.586368760021506
modelvit,do1,PCE,rew0,2,0.0997297934078242,0.6003161192126452,0.6413643749546949,0.6005661200795988,0.5874931108085257,0.5778076392179375,0.5700058102082654,0.4900503191347961,0.5994848828193267
