model,drop out,methods,reward,run,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
modelvit,do0,Confidence,rew0,0.0,0.0021111111111110636,0.5193526017680377,0.73541133350514,0.5193526017680377,0.5193526017680377,0.5193526017680377,0.49095419847328253,0.37813570986167516,0.5193526017680377
modelvit,do0,Confidence,rew0,1.0,0.0039999999999997815,0.5183351718285957,0.7341591378124281,0.5183351718285957,0.5183351718285957,0.5183351718285957,0.48994027332545964,0.3770728476821191,0.5183351718285957
modelvit,do0,Confidence,rew0,1.4142135623730951,2.220446049250313e-16,0.5135884225606198,0.7293516729264029,0.5135884225606198,0.5135884225606198,0.5135884225606198,0.4851944632005403,0.3723145578794782,0.5135884225606198
modelvit,do0,Confidence,rew0,1.7320508075688772,0.0006666666666664822,0.515250808632483,0.7310949815138573,0.515250808632483,0.515250808632483,0.515250808632483,0.4868556005398109,0.3739923442996065,0.515250808632483
modelvit,do0,Confidence,rew0,2.0,0.0003333333333330746,0.513503978779841,0.7292874835158536,0.513503978779841,0.513503978779841,0.513503978779841,0.4851097046413504,0.3722339544513458,0.513503978779841
modelvit,do0,Residual,rew0,0.0,0.018127479477450803,0.38649575905371664,0.5966495986085202,0.2541793233135811,0.49420961750748466,0.450949324536498,0.4283298324739867,0.09936420269337141,0.15786186399374708
modelvit,do0,Residual,rew0,1.0,0.019213945624722683,0.311434343996054,0.5930594944516605,0.2203443139110406,0.47604108299280756,0.42284919767317686,0.3901340849856482,0.17520523758674625,0.2087856643398756
modelvit,do0,Residual,rew0,1.4142135623730951,0.007445862799191996,0.5541482240628044,0.6972159898456538,0.5429929990318874,0.5209383433156727,0.5963679869689751,0.5689334547488659,0.4672803248273613,0.5437956325205813
modelvit,do0,Residual,rew0,1.7320508075688772,0.002151402779494222,0.6108605681862218,0.7576191410426435,0.6519756206014395,0.5471911290685094,0.5848821860580733,0.5683524602010288,0.5615888911836878,0.6612752383771219
modelvit,do0,Residual,rew0,2.0,4.097443447748095e-05,0.5134611898148382,0.7231268270412714,0.5191857643226159,0.5082539946667946,0.5080712913315266,0.4814424533189188,0.37755964584478413,0.5204104856069222
modelvit,do0,Maha,rew0,0.0,0.01953208052384333,0.3359042449306415,0.5574001245074492,0.20580713747361362,0.48897910985268306,0.41437903259695147,0.39480830844964815,0.007150718373072276,0.09423326941947785
modelvit,do0,Maha,rew0,1.0,0.0060433165769926064,0.5158611398494561,0.7169424768582309,0.5052401997716384,0.5150921909494833,0.5276922070945217,0.5026941022722854,0.3637161966620747,0.5001432837537587
modelvit,do0,Maha,rew0,1.4142135623730951,0.02030503964446265,0.3957621359937835,0.6540712117078199,0.23500743904690444,0.4986000920097824,0.5423943822344434,0.5053700658410268,0.0997031821914707,0.12116563626576349
modelvit,do0,Maha,rew0,1.7320508075688772,0.004138327712997243,0.614641407921572,0.7629205522473967,0.6364393192193829,0.5649707976399502,0.6122948589787223,0.5919235540851884,0.5446682296969266,0.6463888882755259
modelvit,do0,Maha,rew0,2.0,0.0027457605088377574,0.5246597462095057,0.7234265896512503,0.518364144382098,0.5199558461717935,0.5436804657036285,0.5166661863867649,0.3798537983995928,0.5192826304555307
modelvit,do1,PCA RecError global,rew0,0.0,0.016965109835253057,0.5298520228790529,0.6474800176209592,0.48528498793379,0.5704657136369577,0.5374467753687324,0.5116137142219326,0.3819463622600181,0.46790941357831956
modelvit,do1,PCA RecError global,rew0,1.0,0.017324865576084567,0.6050332625705964,0.764952313170095,0.630548400425111,0.6133077345420261,0.6403458771187234,0.6202853048684277,0.5645544127898515,0.6482283199082471
modelvit,do1,PCA RecError global,rew0,1.4142135623730951,0.015934859663712133,0.5501821310445096,0.7143582643261615,0.492340691467561,0.5429090740686786,0.5679463098702193,0.5392885366735102,0.2890925558693897,0.4956746911566541
modelvit,do1,PCA RecError global,rew0,1.7320508075688772,0.014232171710543686,0.5883450236009723,0.726487018722561,0.5701663936012422,0.5983869105197616,0.5985860949131371,0.5751521698988464,0.4865141851163906,0.5808017675673086
modelvit,do1,PCA RecError global,rew0,2.0,0.020122487113550355,0.6116775104908323,0.7596686942092198,0.6178513302210609,0.6279052893493171,0.6290563389336578,0.6088290798050948,0.5538788375315681,0.6315706293496298
modelvit,do1,REN,rew0,0.0,0.017720432632718084,0.45718039964472734,0.5924706969216036,0.45516860725884833,0.4659150918170784,0.45780824407569376,0.4419072054998995,0.36609130059091705,0.4550440440184839
modelvit,do1,REN,rew0,1.0,0.015480334617165095,0.5219527762430027,0.7393342330841695,0.5220163250866096,0.5225905801510994,0.522062380711295,0.493586300052785,0.38176249542180923,0.5230621041149442
modelvit,do1,REN,rew0,1.4142135623730951,0.023091017592555337,0.4517567929358019,0.619989088263012,0.4503979545951602,0.4754815199181819,0.44093068730145196,0.43152455768695863,0.3885963173758222,0.45160790995685074
modelvit,do1,REN,rew0,1.7320508075688772,0.022744168904615968,0.43723630892648396,0.5755615625328125,0.4386781439028239,0.4582079457028209,0.4343638102945924,0.42638426572714816,0.3760763407931931,0.4289287848716983
modelvit,do1,REN,rew0,2.0,0.00841481246895317,0.5198777686741183,0.7389729392054781,0.5205670493009089,0.5212346472357714,0.5205569466226085,0.4919333022179219,0.38030831250505936,0.5213236473585825
modelvit,do1,KPCA RecError global,rew0,0.0,0.014494015802457924,0.5839418183155143,0.6491905700126221,0.5594453721986099,0.5291292523767279,0.5623428694412587,0.5470581473613731,0.46204246303906255,0.5649593033799786
modelvit,do1,KPCA RecError global,rew0,1.0,0.023686942670994922,0.6115814585248835,0.7562392154825908,0.6060169961750785,0.612626457346139,0.6267881104670894,0.6030138662464657,0.533446166611592,0.6178936590937135
modelvit,do1,KPCA RecError global,rew0,1.4142135623730951,0.014768339611953674,0.5990592531057969,0.7629991564516333,0.6100991729342243,0.6302222954903353,0.6261292289031579,0.596847960768511,0.5474516586271619,0.6145604748886776
