model,drop out,methods,reward,run,test,cifar10,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,NNGuide,rew2.2,1,0.0613738114870829,0.2780578795252157,0.4842135251510797,0.2075302457653567,0.2473470267628801,0.2452926972247975,0.2117487203566254,0.1761216170074885,0.2988360825596123
confidnet,do1,NNGuide,rew2.2,2,0.0691323245414439,0.2547456900262626,0.528101114297042,0.23039860499621,0.2234208946850939,0.2275601979759921,0.2258119126321217,0.1730454444792817,0.2607714623312337
confidnet,do1,NNGuide,rew2.2,3,0.0654241388697854,0.2902995634746393,0.4955397500380705,0.2736409802560671,0.2547978603513635,0.261951283947786,0.2608698115217301,0.1905306412049332,0.3197157263066864
confidnet,do1,NNGuide,rew2.2,4,0.2094553602316479,0.2833994626651075,0.4437269114711449,0.2869783431514421,0.237448685108631,0.2750278103283549,0.2670624597537991,0.2060455873511642,0.3239313649759316
confidnet,do1,NNGuide,rew2.2,5,0.0699848934792237,0.3135782418143381,0.5964194832209331,0.2558232258803433,0.2726749113948566,0.2564548007669257,0.2435680674978656,0.1958307921939539,0.3173790251633737
confidnet,do0,fDBD,rew2.2,1,0.093961637665098,0.3591967155731509,0.5766525954683515,0.3671358871411203,0.4163583033889585,0.3842003112393227,0.3533949287454541,0.2442264494693789,0.3738832729183691
confidnet,do0,fDBD,rew2.2,2,0.1290008454599517,0.3365100188503903,0.4608063969740708,0.2968407714930049,0.3796483407334453,0.2856662965491857,0.2747640784156483,0.2025412359834801,0.3453570238573709
confidnet,do0,fDBD,rew2.2,3,0.0646437288843506,0.3544211676528472,0.4790435580178274,0.374021795288254,0.404172831617402,0.3827127749805817,0.366977684229062,0.2299891295246946,0.3579065274048152
confidnet,do0,fDBD,rew2.2,4,0.100291257841648,0.3445236826595107,0.4977634176813507,0.3589793104524837,0.4124805170578863,0.3686809413919345,0.3651529811541434,0.2013068769967395,0.359614092150593
confidnet,do0,fDBD,rew2.2,5,0.0978135829487379,0.326123090563745,0.5696086952510433,0.3462414694539056,0.3658123526563308,0.3409359581538544,0.3411647487574705,0.1651739793618217,0.3287989571509419
confidnet,do0,CTMmean,rew2.2,1,0.1165143771638568,0.369350179588517,0.4966510773124344,0.3451069349638525,0.3457405613446866,0.3359527571959889,0.3312541740479889,0.2395938403190569,0.3507040937073445
confidnet,do0,CTMmean,rew2.2,2,0.0891052983703086,0.34211855081853,0.3951783089079795,0.2715067648111327,0.278591533877741,0.2566377736898924,0.2288669677696916,0.1485496897464455,0.3164219483066233
confidnet,do0,CTMmean,rew2.2,3,0.1478583401662861,0.3692193100644486,0.4348050097113603,0.3690689917951055,0.3200966927268836,0.3666132504834145,0.3488117898716061,0.1967910289853428,0.3411920682548248
confidnet,do0,CTMmean,rew2.2,4,0.0689662980331703,0.3208219821413621,0.4040521541602429,0.3227901081072749,0.3000410770053731,0.3388779980076942,0.29105030361973,0.1549201108144547,0.3436912558922342
confidnet,do0,CTMmean,rew2.2,5,0.0833707320321233,0.3137155525703237,0.4776570025674543,0.3145199403062794,0.260952116231849,0.3043845743870414,0.2896356321751931,0.1871657157515404,0.2923230387974472
confidnet,do0,CTM,rew2.2,1,0.1309550956861609,0.3506390982515556,0.5784287189432604,0.3688018745508665,0.4202833691164286,0.3757798812331193,0.3726931785903133,0.2650915001126452,0.3677596883083917
confidnet,do0,CTM,rew2.2,2,0.1524287142396897,0.2769184934990202,0.4462142201073421,0.2598158561903647,0.4160379058749888,0.2594784259588082,0.2432548517864345,0.1918202225642556,0.3440780611580544
confidnet,do0,CTM,rew2.2,3,0.0475039651735932,0.3309233404407511,0.4917263278248867,0.3592249376665559,0.4100964434521192,0.3816553493870595,0.3559877406500928,0.2380413508607455,0.3699248949182965
confidnet,do0,CTM,rew2.2,4,0.0907788560372388,0.2949304848041745,0.5269702444834298,0.3476889828291417,0.373705816785471,0.3491699119902727,0.3392433192193088,0.1961765825740903,0.3504853798034789
confidnet,do0,CTM,rew2.2,5,0.0963167768659776,0.2866567440911177,0.5840391464660838,0.3090105389265088,0.3838477636101984,0.3128496454195332,0.3002209256787223,0.183970309658522,0.3226302426928421
confidnet,do0,CTMmeanOC,rew2.2,1,0.1339542664566151,0.3680762449552239,0.4970614793678066,0.3487817262010674,0.3487457140500891,0.3374968573128034,0.3302823215392711,0.2350006860931788,0.3525093634050401
confidnet,do0,CTMmeanOC,rew2.2,2,0.1028840941199734,0.3426512060019833,0.3943125428047688,0.2693848538316007,0.276059301132213,0.2550037029224673,0.2290243345776862,0.1466889755260271,0.3177560812476255
confidnet,do0,CTMmeanOC,rew2.2,3,0.1568286897210242,0.3651080306090425,0.4339116861712747,0.3664316989337959,0.3178225020232106,0.3661736071437574,0.3462425320177101,0.1974781037911628,0.3374169704618604
confidnet,do0,CTMmeanOC,rew2.2,4,0.0661357609156212,0.321490019362387,0.4065064501198189,0.3242062059151161,0.2951159928214808,0.3350499798170259,0.2935441124629027,0.1566499780831718,0.3374814046427756
confidnet,do0,CTMmeanOC,rew2.2,5,0.0863572686877027,0.3208666322900887,0.4804474213340998,0.3199577713657191,0.2542474831497558,0.3074093186665973,0.295573173987498,0.1942152074224285,0.2926353054910389
confidnet,do1,NeCo,rew2.2,1,0.0956552989565781,0.320564127026453,0.4729857712880503,0.2119130213346454,0.2636212934338816,0.2537806121154266,0.220720074829758,0.2058496667942265,0.3006398448472206
