model,drop out,methods,reward,run,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,CTM,rew2.2,1,0.058188762942795,0.2016185041755291,0.3378789225353956,0.2381609188436928,0.2506866729690713,0.2648360401220277,0.1543693424059675,0.2382387358581021
confidnet,do1,CTM,rew2.2,1,0.058188762942795,0.2016185041755291,0.3378789225353956,0.2381609188436928,0.2506866729690713,0.2648360401220277,0.1543693424059675,0.2382387358581021
confidnet,do1,CTM,rew2.2,2,0.0608015736793907,0.2121982690259906,0.316118685741927,0.2545602507214515,0.2532062674658242,0.2545137969413128,0.1060255653572935,0.2107380145315276
confidnet,do1,CTM,rew2.2,2,0.0608015736793907,0.2121982690259906,0.316118685741927,0.2545602507214515,0.2532062674658242,0.2545137969413128,0.1060255653572935,0.2107380145315276
confidnet,do1,CTM,rew2.2,3,0.0666629120563211,0.2150166385528741,0.3505222147962181,0.2553780393211624,0.2489098041832779,0.2516554166004975,0.1012203787532332,0.1935215060380913
confidnet,do1,CTM,rew2.2,3,0.0666629120563211,0.2150166385528741,0.3505222147962181,0.2553780393211624,0.2489098041832779,0.2516554166004975,0.1012203787532332,0.1935215060380913
confidnet,do1,CTM,rew2.2,4,0.0486263727036343,0.1956115408453923,0.3215988449135942,0.1548835684529439,0.2065284881489232,0.2050766730766159,0.1489625109640918,0.246110042989103
confidnet,do1,CTM,rew2.2,4,0.0486263727036343,0.1956115408453923,0.3215988449135942,0.1548835684529439,0.2065284881489232,0.2050766730766159,0.1489625109640918,0.246110042989103
confidnet,do1,CTM,rew2.2,5,0.0469552573006392,0.2076777834961051,0.4343487758301855,0.2008218925146123,0.226713350664737,0.2261527950257241,0.1293477009811935,0.2287303653275632
confidnet,do1,CTM,rew2.2,5,0.0469552573006392,0.2076777834961051,0.4343487758301855,0.2008218925146123,0.226713350664737,0.2261527950257241,0.1293477009811935,0.2287303653275632
confidnet,do1,CTMmean,rew2.2,1,0.0803805433073185,0.2199362091228427,0.4542786800262007,0.3186568774988112,0.262988217503643,0.2609482721511013,0.1705385813922574,0.2763291281435792
confidnet,do1,CTMmean,rew2.2,1,0.0803805433073185,0.2199362091228427,0.4542786800262007,0.3186568774988112,0.262988217503643,0.2609482721511013,0.1705385813922574,0.2763291281435792
confidnet,do1,CTMmean,rew2.2,2,0.0642909685854653,0.2228144904236865,0.4678650292352155,0.2285274312992421,0.2692415648686955,0.2369517332718638,0.1034190469515742,0.2561286201191124
confidnet,do1,CTMmean,rew2.2,2,0.0642909685854653,0.2228144904236865,0.4678650292352155,0.2285274312992421,0.2692415648686955,0.2369517332718638,0.1034190469515742,0.2561286201191124
confidnet,do1,CTMmean,rew2.2,3,0.0740599406231026,0.2377362434004053,0.5530672396331853,0.2609797592260031,0.2891526445030816,0.2374588556578653,0.1111716904525851,0.2494429121421384
confidnet,do1,CTMmean,rew2.2,3,0.0740599406231026,0.2377362434004053,0.5530672396331853,0.2609797592260031,0.2891526445030816,0.2374588556578653,0.1111716904525851,0.2494429121421384
confidnet,do1,CTMmean,rew2.2,4,0.0617634529728224,0.2874445866043149,0.4591693584565742,0.285594839367408,0.3064924980494103,0.283343281150391,0.1516188433487829,0.2703151804942952
confidnet,do1,CTMmean,rew2.2,4,0.0617634529728224,0.2874445866043149,0.4591693584565742,0.285594839367408,0.3064924980494103,0.283343281150391,0.1516188433487829,0.2703151804942952
confidnet,do1,CTMmean,rew2.2,5,0.0492398102509202,0.2503279660914746,0.5831048217238226,0.2908244201201285,0.2322738979560832,0.2183598840646844,0.1237729079365282,0.2441368037071474
confidnet,do1,CTMmean,rew2.2,5,0.0492398102509202,0.2503279660914746,0.5831048217238226,0.2908244201201285,0.2322738979560832,0.2183598840646844,0.1237729079365282,0.2441368037071474
confidnet,do1,NeCo,rew2.2,1,0.1114869423605711,0.2390964854415112,0.4332456568624651,0.2046516484235164,0.2451564400879818,0.2328290438069024,0.1341613821075969,0.2405712634390436
confidnet,do1,NeCo,rew2.2,1,0.1114869423605711,0.2390964854415112,0.4332456568624651,0.2046516484235164,0.2451564400879818,0.2328290438069024,0.1341613821075969,0.2405712634390436
