model,drop out,methods,reward,run,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
modelvit,do1,Confidence,rew0,0,0.0246666666666667,0.4528924537843456,0.6605172780750244,0.4528924537843456,0.4528924537843456,0.4247280229637603,0.3107365483366823,0.4528924537843456
modelvit,do1,Confidence,rew0,0,0.0246666666666667,0.4528924537843456,0.6605172780750244,0.4528924537843456,0.4528924537843456,0.4247280229637603,0.3107365483366823,0.4528924537843456
modelvit,do1,Confidence,rew0,1,0.0160000000000002,0.4454192679092749,0.6531762203049287,0.4454192679092749,0.4454192679092749,0.4172496863237142,0.3032685102586978,0.4454192679092749
modelvit,do1,Confidence,rew0,1,0.0160000000000002,0.4454192679092749,0.6531762203049287,0.4454192679092749,0.4454192679092749,0.4172496863237142,0.3032685102586978,0.4454192679092749
modelvit,do1,Confidence,rew0,2,0.0255555555555557,0.454576907957545,0.6622898726321702,0.454576907957545,0.454576907957545,0.4264090365766199,0.3124244069309141,0.454576907957545
modelvit,do1,Confidence,rew0,2,0.0255555555555557,0.454576907957545,0.6622898726321702,0.454576907957545,0.454576907957545,0.4264090365766199,0.3124244069309141,0.454576907957545
modelvit,do1,Confidence,rew0,3,0.0149999999999997,0.4444192679092744,0.6521762203049283,0.4444192679092744,0.4444192679092744,0.4162496863237137,0.3022685102586975,0.4444192679092744
modelvit,do1,Confidence,rew0,3,0.0149999999999997,0.4444192679092744,0.6521762203049283,0.4444192679092744,0.4444192679092744,0.4162496863237137,0.3022685102586975,0.4444192679092744
modelvit,do1,Confidence,rew0,4,0.0143333333333331,0.4478163802272853,0.6560188818409793,0.4478163802272853,0.4478163802272853,0.4196297355253752,0.3056849588980226,0.4478163802272853
modelvit,do1,Confidence,rew0,4,0.0143333333333331,0.4478163802272853,0.6560188818409793,0.4478163802272853,0.4478163802272853,0.4196297355253752,0.3056849588980226,0.4478163802272853
modelvit,do1,pNML,rew0,0,0.0752345086996915,0.5653540508850885,0.9505089770116218,0.949173451071017,0.7911352731531917,0.7789144823939717,0.6976132628541716,0.860680617704098
modelvit,do1,pNML,rew0,0,0.0752345086996915,0.5653540508850885,0.9505089770116218,0.949173451071017,0.7911352731531917,0.7789144823939717,0.6976132628541716,0.860680617704098
modelvit,do1,pNML,rew0,1,0.0253452432547922,0.5961163284767264,0.9506254593056338,0.9521333782818912,0.7132901934053412,0.7202915202892517,0.718478035761847,0.7742768067259964
modelvit,do1,pNML,rew0,1,0.0253452432547922,0.5961163284767264,0.9506254593056338,0.9521333782818912,0.7132901934053412,0.7202915202892517,0.718478035761847,0.7742768067259964
modelvit,do1,pNML,rew0,2,0.0661024353193128,0.5780424083671033,0.945707751573529,0.931640746067106,0.7719034887638241,0.7669926352630996,0.6490948439852242,0.707170555814271
modelvit,do1,pNML,rew0,2,0.0661024353193128,0.5780424083671033,0.945707751573529,0.931640746067106,0.7719034887638241,0.7669926352630996,0.6490948439852242,0.707170555814271
modelvit,do1,pNML,rew0,3,0.0546822875887182,0.5954742646657423,0.9210485360493992,0.927102243352038,0.7758155897737742,0.7679554211824563,0.6055156892478799,0.6632334383422401
modelvit,do1,pNML,rew0,3,0.0546822875887182,0.5954742646657423,0.9210485360493992,0.927102243352038,0.7758155897737742,0.7679554211824563,0.6055156892478799,0.6632334383422401
modelvit,do1,pNML,rew0,4,0.0441970353488363,0.5913474892928141,0.931046735825806,0.9719763083769476,0.8230829705297846,0.8332555761792295,0.6259698002847902,0.7055441346837215
modelvit,do1,pNML,rew0,4,0.0441970353488363,0.5913474892928141,0.931046735825806,0.9719763083769476,0.8230829705297846,0.8332555761792295,0.6259698002847902,0.7055441346837215
modelvit,do1,Residual,rew0,0,0.0719322059675411,0.5897282733524036,0.9679196095066596,0.9422788883918348,0.8732954525448827,0.8640931296044747,0.6781181335556419,0.7354061184552871
modelvit,do1,Residual,rew0,0,0.0719322059675411,0.5897282733524036,0.9679196095066596,0.9422788883918348,0.8732954525448827,0.8640931296044747,0.6781181335556419,0.7354061184552871
