model,drop out,methods,reward,run,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-ViM,rew2.2,1,0.0436490577229502,0.6024820131485054,0.7795724392004649,0.6123071913038832,0.6864408412109321,0.6065324186033416,0.5794433148424771,0.5614849711791396,0.5683144235733746
confidnet,do1,MCD-ViM,rew2.2,2,0.0881274878637271,0.6119733601646402,0.7879735848836542,0.6373781358415506,0.6621293971013815,0.6364371572463525,0.6080815481058122,0.5410256604822974,0.5820729279308134
confidnet,do1,MCD-ViM,rew2.2,3,0.0245922864371335,0.5956797022413807,0.7921900434264162,0.6173140255609706,0.6302250150318351,0.6150150547034745,0.5917145309369751,0.5185522830289713,0.5828823654435562
confidnet,do1,MCD-ViM,rew2.2,4,0.0113557809080298,0.6055601474977308,0.7861731752760707,0.6257322144900461,0.7333651181440872,0.6178491787348821,0.5990479396498076,0.6156760120942766,0.5801516451394423
confidnet,do1,MCD-ViM,rew2.2,5,0.1530266414424216,0.591632854186994,0.7705831492443924,0.6257697622125032,0.6242316848188941,0.6184322554456856,0.5995295970856491,0.5050184692804642,0.5713460638509005
confidnet,do1,MCD-GEN,rew2.2,1,0.1120161274406197,0.63741088047997,0.7292306687998265,0.6629146421157961,0.6689154527899631,0.6763933741743333,0.6613628929300719,0.5740937585408731,0.6421297331751908
confidnet,do1,MCD-GEN,rew2.2,2,0.1010724801166012,0.6867229970991044,0.801152563358884,0.7015523438795415,0.698910459115214,0.7304308667965582,0.7050661032688932,0.5906397132257412,0.7011372758111156
confidnet,do1,MCD-GEN,rew2.2,3,0.1843695686444559,0.6883976893761122,0.8485426707780985,0.6613369019693691,0.7071333686527761,0.703127745268566,0.6584256423613478,0.5998519253209711,0.6732049238555686
confidnet,do1,MCD-GEN,rew2.2,4,0.0896529002905149,0.6850896116990406,0.8389424847867457,0.6759341741764304,0.6889849696580881,0.6606623547423388,0.6481724521508629,0.5772228501582952,0.6747357560659715
confidnet,do1,MCD-GEN,rew2.2,5,0.1664585488065508,0.6744046342149184,0.8102660045727108,0.624566166367921,0.7449262801575132,0.6496954290213752,0.622034130074568,0.5704434990347709,0.6701799774614773
confidnet,do1,MCD-EGE,rew2.2,1,0.0980635901318351,0.636330395007308,0.6928775406800134,0.7529336040453195,0.748082774380367,0.7961087790336301,0.7710625169530874,0.546961927213163,0.6962830631003463
confidnet,do1,MCD-EGE,rew2.2,2,0.0864208834325975,0.5807322137012901,0.6490162424143214,0.668056983695432,0.6341028941125905,0.6821873616486533,0.6708475048385701,0.5153832283680118,0.6069603744927057
confidnet,do1,MCD-EGE,rew2.2,3,0.1047787394449438,0.6452384383396268,0.7435139204048813,0.7146050276205288,0.67368327684069,0.7229610389319315,0.7111204048998213,0.6162712692165071,0.666248881657378
confidnet,do1,MCD-EGE,rew2.2,4,0.3418171995476182,0.6165145120166434,0.7628566896605838,0.583995848131834,0.5933363690619184,0.5133330950421111,0.5229301691706378,0.5574581701330352,0.6016276309948017
confidnet,do1,MCD-EGE,rew2.2,5,0.3180222015591321,0.5986441377630525,0.6925716584972346,0.4964397325603416,0.5598435935657504,0.4959150307226336,0.4677239547789764,0.5091176913940088,0.5659209699873504
confidnet,do1,MCD-EPE,rew2.2,1,0.07239532369785,0.7163147144340296,0.7688911836209362,0.7579820732273668,0.7587657482650665,0.7687476915010429,0.7626096845661295,0.6471664861454398,0.7201018166927915
