model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,GEN class,rew2.2,55.036497551368505,210.34752849433085,213.37586753526162,214.91325695746679,198.69677617003873,213.51629012507328,215.15296415227036,138.31707655108926,332.07277150171586
confidnet,do0,GEN global,rew2.2,55.10670247662379,210.27005287667643,214.11953565577218,215.5531964917015,199.32044340496114,213.454475035176,215.4931042918917,138.69257008520745,332.38498480194005
confidnet,do0,GEN,rew2.2,55.11552965303465,210.3167871190933,214.21655155205227,215.6302000542434,199.45377087349428,213.58134220442008,215.8746515294236,138.87002838403367,332.39374057891683
confidnet,do0,MSR class,rew2.2,55.23324321861905,210.4172459280347,214.37451222413173,215.94371142307327,199.8684263326719,213.9469297588294,216.5311261660999,139.04971371479877,333.2546120735125
confidnet,do0,MSR global,rew2.2,55.25255433298088,210.34510533061803,215.15488685187603,216.66201272732997,200.59571548645235,214.00949054662829,216.9808168156424,139.4456399945705,333.649563120204
confidnet,do0,MSR,rew2.2,55.2719987658842,210.36396633208574,215.07314906015245,216.55299128260467,200.52618454797877,214.05268271773488,217.13828637885644,139.50545366147605,333.56418498744966
confidnet,do0,Confidence,rew2.2,55.32866420762828,210.9420665718389,214.86342335173853,216.8458633087731,200.54619068573427,214.93655325545825,217.7358357385919,144.63243068461512,337.31736240038947
confidnet,do0,PCE class,rew2.2,55.80178642918779,210.30401034901791,213.94418987547937,215.5156636036076,199.42300375866216,213.829415742336,216.40689034624816,138.77954948326698,332.93359962794995
confidnet,do0,GEN class pred,rew2.2,55.8089962941069,210.55933403493856,216.31197426555127,218.45184534898596,202.047625094659,214.27941561040294,217.62459426990694,141.6743073475824,333.6083769121368
confidnet,do0,PCE global,rew2.2,55.820700007992535,210.23072898456044,214.7444052338813,216.26721221304314,200.17743319712335,213.9034591260651,216.91441154915452,139.2015225865666,333.35043107467584
confidnet,do0,PCE,rew2.2,55.835961749430545,210.2376323858261,214.6449828467828,216.14355474734626,200.0922020507876,213.93648448139675,217.06087027624545,139.24960062330305,333.2617676012279
confidnet,do0,GEN class avg,rew2.2,55.94394199165432,210.76353156453789,214.19302821001094,215.69488729456899,198.5338842645724,213.19339199272108,207.9218297842418,137.83198713291344,331.9613875763156
confidnet,do0,MSR class avg,rew2.2,56.24328025512724,210.73695761218823,215.0029953011703,216.5845043216571,199.54747906095335,213.519933586766,209.4494686556298,138.22356431408394,333.191080219587
confidnet,do0,MSR class pred,rew2.2,56.377179010193025,210.55350321274446,217.0877128623897,219.32480540510642,203.0565641378318,214.83581902212183,219.1059426506547,142.12758492452573,334.56873115936526
confidnet,do0,fDBD global,rew2.2,56.55348642371698,210.88280740463188,202.8454052482811,202.4542458104699,187.00206801406475,212.55265634840993,211.33323798157647,129.86152446885143,330.36377234488515
confidnet,do0,REN global,rew2.2,56.61125310116946,210.62339297070466,211.96261191671664,213.18755571053595,196.8597198638908,213.1009400294917,213.441194572587,137.6181016885025,331.101511354545
confidnet,do0,PCE class pred,rew2.2,56.68379876785072,210.44964409657996,216.5498311743886,218.73456989021506,202.4730277115525,214.6806401818366,218.78855829713552,141.65216994867612,334.17661159416974
confidnet,do0,REN,rew2.2,56.7000160671672,211.2582446572173,212.17027334174472,213.21054540025813,196.89792973334352,213.47422715551056,213.56848406154072,138.08680228556312,330.8268704981442
confidnet,do0,REN class,rew2.2,56.70087283889266,211.18719698559175,211.66498671772905,213.17715029441905,196.7275156138547,213.66148411274133,213.3335824356237,137.657600040625,330.9566618198666
confidnet,do0,PCE class avg,rew2.2,56.78364568472365,210.55126507584646,214.54726950913945,216.11264707179242,199.03489370062908,213.29297582081713,209.10842193970774,137.85124980556512,332.8029968766732
confidnet,do0,fDBD,rew2.2,56.79935803096822,211.28990357890206,202.08309105177315,201.6472478752351,186.41659090348458,213.21959571296694,212.8164190312346,129.9010939608714,330.3653441286461
confidnet,do0,fDBD class pred,rew2.2,56.89236543561435,211.24325058251648,202.43277156566148,202.32832700077813,186.65337879401307,212.64624667978214,210.63329118127177,129.84970182362179,330.00715473920917
confidnet,do0,REN class pred,rew2.2,57.11384321666911,211.05455165604394,213.7446348599723,215.7111908917146,199.10133796560896,213.85818073943864,215.16603655868084,140.19544614532438,331.8789949082235
confidnet,do0,REN class avg,rew2.2,57.44169755300779,211.40130331142646,211.98178176048722,213.23639788732902,195.92180032482247,212.8884120855502,205.68216664907055,137.24632293516038,330.34315630837335
confidnet,do1,Confidence,rew2.2,57.539182726487105,214.92635837759772,202.12277533076994,209.2332963348243,190.63430935201822,217.0594522574438,205.47115752798823,140.33793170872997,340.1423140070585
confidnet,do0,fDBD class avg,rew2.2,57.54840494087176,210.76601467097916,205.67627453705865,205.32859422601987,190.20517759650633,213.86096970900425,216.17347110857048,133.08205648179433,330.89737764930163
confidnet,do0,PE class,rew2.2,58.165149394419856,210.73588690976754,213.50355094882917,214.98578342958285,198.89384348255376,214.4397158232312,216.57364226023236,138.82735825413914,332.6462381164506
confidnet,do0,PE global,rew2.2,58.1872506201568,210.700622035576,214.38464274049088,215.86555203355596,199.77905717143352,214.62715127282914,217.28982622264226,139.3260517904054,333.1450963182832
confidnet,do0,PE,rew2.2,58.20650247599681,210.7115958139077,214.2772350730621,215.73553685628895,199.6873720455062,214.6631607868866,217.44026739304815,139.3915125452164,333.07484677042777
confidnet,do0,CTM class avg,rew2.2,58.214040763871324,216.3919166876739,198.01632506728578,197.67118910761036,182.6940501593185,216.1996338244009,215.1520273751923,130.15417952529378,330.7918264245327
confidnet,do0,CTM global,rew2.2,58.674460520691675,217.85439699618533,199.3259942172808,199.09569414794615,185.08277837481558,219.03148664404375,225.97911623518797,133.22236531143196,332.5045776085946
confidnet,do0,CTM class pred,rew2.2,58.83603457995357,218.244552057034,199.19016831867708,199.21395590368144,185.2748309273966,219.76522462514134,227.84089979231143,133.93890804496874,332.5507411262678
confidnet,do0,CTM,rew2.2,58.869562965171966,218.00990477593405,199.28572618373465,199.0443418140705,185.09153545052578,219.37245307851836,226.658796950215,133.37528314074987,332.5125116444956
confidnet,do0,PE class pred,rew2.2,58.90456420650928,210.85900462400818,215.60685977041825,217.54506448802778,201.32750465399008,215.21719500478176,218.47308281631803,141.01274754496603,333.5036357078965
confidnet,do0,CTM class,rew2.2,59.06619876574082,218.32704614500875,199.08895984852103,199.10292295719105,185.20764257359647,220.01424536490322,228.31727612583654,134.01300536053074,332.5296397900274
confidnet,do0,PE class avg,rew2.2,59.34985062220238,211.08309437584657,214.43579761082864,215.8603851358629,198.76273782007138,213.93646198758324,209.31696568845933,137.95751582984366,332.6593383371743
confidnet,do1,MSR global,rew2.2,60.36537778553418,214.33287986175804,201.44143529120143,206.8478348888353,189.83032020197794,219.5795284688636,204.9723698608911,148.6537754071681,346.160631139803
confidnet,do1,MSR,rew2.2,60.389617300506984,214.4200578643318,201.49279768790728,206.88517722155422,189.8808866292648,219.68334811287323,205.07229511649476,148.86278627250437,345.9939683391116
confidnet,do1,PCE global,rew2.2,60.70739260825019,213.83722673235002,200.336245128341,205.59665448181354,188.76828838406078,219.07854643576042,204.0285115329684,147.9237843607206,345.4198812149536
confidnet,do1,PCE,rew2.2,60.716600007170925,213.91135816006067,200.3712999626097,205.62216819788006,188.80283816239972,219.16631649503665,204.1130642684826,148.12266564318423,345.2497739413633
confidnet,do1,GEN,rew2.2,60.843283959917926,214.71890466956688,203.03980702777952,208.42000229971435,191.2615950182259,220.2809677689958,206.7945641204069,149.3681969955111,346.0735013804189
confidnet,do1,GEN global,rew2.2,60.864108656707195,214.7232766129112,203.40801261934143,208.716484035714,191.58894877249423,220.29856372506032,206.8184613584121,149.28534061507293,346.2585490564846
confidnet,do0,CTMmeanOC,rew2.2,60.9463135989648,217.77015299895692,198.01764604486584,197.06776272744713,182.18441094096744,215.6114358037271,210.88154992712856,125.04042242096266,325.90862425612215
confidnet,do0,CTMmean global,rew2.2,60.95047286651955,218.00173338695677,197.87800601548406,196.81324262271977,181.87072958934442,214.81813831785516,209.24348522224327,124.73854810167703,325.5205833556981
