model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM global,rew2.2,148.20327385243917,274.7658059848528,237.86493184857204,240.42471686880057,225.40917003835017,274.61201165510965,246.22846396068857,168.236954278539,359.31214382788437
confidnet,do0,CTM,rew2.2,148.23740754851875,274.72810082005833,237.96893696629985,240.55970180881005,225.52825228996358,274.5971514720133,246.41576652346393,168.2024658460633,359.33114213230925
confidnet,do0,PCA RecError class pred,rew2.2,149.15507302740298,275.6686997214347,240.1013417710023,244.9044562331258,228.91269156955505,276.3436494232261,244.87152410346707,170.36810977299172,361.03889280257295
confidnet,do0,CTMmean global,rew2.2,149.27790405635292,275.8055753391317,246.68901710712393,248.69932721720323,234.13756649330602,273.86302334552295,250.4618374375798,170.42123131781145,359.97786423473156
confidnet,do0,CTMmeanOC,rew2.2,149.33823964676523,275.7840777908614,246.90712714890157,248.96735349181708,234.37292134616146,273.8281477697839,250.7397263497494,170.36666980634186,360.05079161856725
confidnet,do0,CTM class pred,rew2.2,149.3691337167855,275.3057167124969,242.81464653130197,243.54044580435783,229.0255952117455,273.94437880201247,247.94130609369623,168.86700914937532,360.47321902813695
confidnet,do0,CTMmean,rew2.2,149.38263312189883,275.8291381877121,246.9381063135133,248.92010066916532,234.32892979893091,273.7747718321969,250.6935741371291,170.25546785762344,359.94975287935574
confidnet,do0,CTM class,rew2.2,149.4356952913535,275.3532039356649,242.87343969380868,243.50584476699015,229.02695990824705,273.8954045381045,247.9690683003505,168.83230906287736,360.8804324458677
confidnet,do0,PCA RecError class,rew2.2,149.4521921365421,275.8021565149651,240.09390500762092,244.92542423109734,228.92410064033805,276.68202669506525,245.032853572032,170.3439558535877,361.0967779078903
confidnet,do0,fDBD class avg,rew2.2,149.46040129392514,276.77662892579923,244.9725699989959,246.83576449290484,231.7031033345996,272.4308602517199,247.52878491193323,170.0157482718912,361.0562843415132
confidnet,do0,REN class,rew2.2,149.60918638729905,273.35879143904856,240.8310380398613,246.47500268409422,229.99693566698033,277.33935289202816,250.11798540996438,176.78906566152372,369.9627202873036
confidnet,do0,GEN class,rew2.2,149.65884612655645,273.7827547043745,243.84974583305387,249.91776006435762,233.338044762322,276.6860690745218,250.66435666245576,178.21597612892384,370.60398029702253
confidnet,do0,CTMmean class avg,rew2.2,149.72561020183133,276.9126933340423,246.25391591677982,248.2811789532747,233.58702772568228,274.16994243035396,247.69078187177374,169.255503685883,358.41917140569376
confidnet,do0,REN,rew2.2,149.94855769742236,273.5616323249029,243.41847520536152,247.68634118524233,231.77009700378622,274.4012455444707,249.36090544501195,177.21425276540353,369.1187335604175
confidnet,do0,CTM class avg,rew2.2,150.05275983314863,276.1029222125779,239.4129387183451,241.66035142187334,226.23575311607357,273.0879927655318,244.01626989266884,168.19060923380835,358.6646063443973
confidnet,do0,REN global,rew2.2,150.06840790984222,273.5472015666601,242.75160147244915,247.22758462702146,231.21694255481512,274.37323807405994,249.0028070771147,176.91888790180374,369.6582723386542
confidnet,do0,CTMmean class pred,rew2.2,150.12100317886618,276.32616585790083,249.56414498695608,250.53298380907867,236.3514855773501,273.91951267929204,252.6340567143656,171.133999384953,360.3512596850345
confidnet,do0,CTMmean class,rew2.2,150.15696836325625,276.3334994679427,249.57949990134847,250.50249519682717,236.324546959478,273.9124772842441,252.69504417293584,171.12111594494803,360.4924096360054
confidnet,do0,MSR class,rew2.2,150.2543380504313,274.38853722116676,246.0027476339254,251.55649181549114,235.0725816821695,276.0926026892613,250.80288466352718,178.4464629387606,371.28061157701853
confidnet,do0,GEN global,rew2.2,150.25758138323562,273.88406511628074,245.57525711641406,250.68256727341986,234.40812239201256,274.70077413369165,250.12104105002064,178.74603396018864,371.1647434221255
confidnet,do0,GEN,rew2.2,150.28724111268932,273.87997523908933,245.63808681945767,250.77507397430185,234.48834864164118,274.69849131066684,250.1895998726257,178.7746745471965,371.24104722916275
confidnet,do0,fDBD class pred,rew2.2,150.54540403003753,278.0777499529435,246.05847626091008,248.10634854917743,232.43140169151374,271.29077167616344,247.9843474060878,168.7909008580255,359.43199882866475
