model,drop out,methods,reward,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,CTMmean class avg,rew0,0.6249098778356307,145.10501277832685,149.12772758609944,142.7249941223143,129.5309562636859,145.49778891655723,142.31342066381802,76.50653294607639,278.50372269650603
modelvit,do1,CTMmeanOC,rew0,0.6485086435822369,144.81992796452923,148.42233978616875,142.70262362485968,129.39427667496352,144.84668475108688,142.2731742954199,76.19572218873913,278.46738787107216
modelvit,do1,CTMmean,rew0,0.6592777804444065,144.84919726382472,148.39941921671627,142.7217837818783,129.42236279087706,144.85445963982642,142.30585633024657,76.20598502552289,278.4659887026772
modelvit,do1,CTMmean class pred,rew0,0.6748185203447873,145.20139627568042,149.65773066915676,143.08812241685524,129.98082098195476,145.56150344672406,142.43112698762667,76.47280940086048,278.5556001707213
modelvit,do1,CTMmean class,rew0,0.6752753099033725,145.20304684239022,149.65641964114087,143.08367013263245,129.97873029133387,145.55769838786688,142.42372653779148,76.47208532109812,278.55093371629005
modelvit,do1,GEN global,rew0,0.6808283977145846,146.9790807891719,151.2044615265233,145.44126937955122,131.80912442383698,147.4722303628998,143.85906411411293,77.35874970195638,279.8930673923448
modelvit,do1,CTMmean global,rew0,0.6851864210346119,145.5739332508817,150.36378393165717,143.1702844184028,130.16705876196193,145.97747976016956,142.42203981722207,76.63579240491161,278.5402389458048
modelvit,do1,MSR global,rew0,0.693216050539599,146.5198587240502,150.50388992969968,144.94831462736693,131.29175940453197,146.96597009484188,143.2011123554064,76.7282770602031,279.5099403777235
modelvit,do1,PCE global,rew0,0.6934876555258395,146.44055769907453,150.4220982334804,144.86295670152754,131.2079581333936,146.87591385187756,143.09637148044519,76.6023881386254,279.42063181014385
modelvit,do1,GEN class,rew0,0.7003814838010133,147.25362636158604,151.45993177276372,145.7153297452483,132.12008367500704,147.59882239257465,143.99187646589837,77.42557593177126,280.01057488146995
modelvit,do1,PE global,rew0,0.7005246929070885,146.22263810562498,150.13444663456943,144.5779214692152,130.92104484702813,146.65275916740075,142.7114893931867,76.32422731304676,279.14749939145656
modelvit,do1,GEN,rew0,0.7007395086155157,147.14509814427845,151.53496415651452,145.5408048236729,131.95437049886678,147.46869319478276,143.91438967964643,77.41866110814618,279.9257841653716
modelvit,do1,GEN class pred,rew0,0.7038135848478608,147.15824925695867,151.41050807141147,145.5407818308646,131.92278184129222,147.52739275986792,143.8004063417512,77.3958243738603,279.89263302805506
modelvit,do1,GEN class avg,rew0,0.7097370389394604,147.63667610596013,151.50194936952948,145.73065641774537,132.01798782791371,147.51603735662658,144.53718956532276,77.47563225932785,280.1840297846166
modelvit,do1,MSR,rew0,0.7166728411873919,146.6226197780033,150.77351487481008,144.98472932911835,131.3828594483083,146.89514007909912,143.1754306738131,76.70894889429017,279.4928004750167
modelvit,do1,PCE,rew0,0.716875310080003,146.54341775934066,150.6910355145456,144.89809815814013,131.29738948646894,146.8043283435539,143.07101061638912,76.58520485816135,279.40321184286466
modelvit,do1,MSR class pred,rew0,0.7176827199883216,146.72708645526865,150.74715619384583,145.0682991416773,131.42832520223124,147.0595439929901,143.16022320922218,76.79534908736241,279.5202911109505
modelvit,do1,PCE class pred,rew0,0.7178358061113007,146.64915049999587,150.66895048760438,144.9862212735748,131.3484348439245,146.96960626387823,143.06664675572705,76.67574846370681,279.44081192052283
modelvit,do1,MSR class,rew0,0.7178580263775075,146.76442023022022,150.77734666610576,145.2070587316529,131.5843926109167,147.07090972317087,143.30071834390947,76.74145441951448,279.58821737244926
modelvit,do1,PCE class,rew0,0.7178777795533986,146.6843490979385,150.69481849626393,145.11993988731007,131.49883490446618,146.97974455635705,143.19571094917683,76.61524796478788,279.4982193367031
modelvit,do1,PE,rew0,0.725620988936862,146.3333807530417,150.41288259161033,144.62078453563655,131.0192014971361,146.59162362084868,142.6965318437671,76.32052814336707,279.13615378918956
modelvit,do1,PE class pred,rew0,0.7257419784766778,146.41754292360568,150.37172359105753,144.69472053489835,131.05235131897888,146.73476942833605,142.6836853743418,76.36641710785287,279.1631336929199
modelvit,do1,PE class,rew0,0.7264506194703346,146.4824905751791,150.4282399815345,144.85510993509223,131.22998987544824,146.77715638929578,142.8241675116821,76.34392038343061,279.22566026599054
modelvit,do1,MSR class avg,rew0,0.7302654343573118,147.25371885467547,150.87805083254003,145.3056663392626,131.56574369356372,147.0825428812813,143.87758567750353,76.90458791129245,279.8346755367046
modelvit,do1,PCE class avg,rew0,0.7304432121131362,147.17218867719788,150.79433080156372,145.21845884312003,131.48056622033286,146.98886298806318,143.77580597632317,76.77490149813022,279.7481672005412
modelvit,do1,PE class avg,rew0,0.7391148169686657,146.95287861197954,150.49887256254766,144.93083106988647,131.1892722430526,146.75987680483718,143.36289589518012,76.45621214484889,279.4593332406487
modelvit,do1,NNGuide,rew0,0.7408037047199387,145.2888778390829,148.87347649980592,143.71268783764532,130.183202563939,145.93761620988033,141.71160052271537,75.88845640243083,278.643484637582
modelvit,do1,KPCA RecError class pred,rew0,0.7417370387768542,144.134636908281,143.24564965577943,141.65898876720502,127.41548253590297,142.11870747113136,143.05808041517054,75.59340035981154,278.4838399211822
modelvit,do1,PCA RecError class pred,rew0,0.7495938286838484,144.00445898211467,143.09117983242032,141.61350966561866,127.37498627074986,142.0361429379065,142.62809497598656,75.53854848550795,278.32634324157516
modelvit,do1,GE global,rew0,0.7520753099366427,146.33936815115794,149.84257421136084,144.48039382181054,130.80715815275676,146.73914652303162,142.36928715922437,76.18577535750794,279.0081047225043
modelvit,do1,KPCA RecError class,rew0,0.754667902903586,144.15498075455974,143.2261527666695,141.64611792886677,127.40093341977494,142.0992610655891,143.08501537438602,75.56716355858546,278.46730030601225
modelvit,do1,NNGuide class pred,rew0,0.7585740751269946,145.59966833583937,149.39207450428862,144.0016327859235,130.49517666221556,146.40703932321043,141.74099339067828,75.94720902097326,278.6934851884831
modelvit,do1,NNGuide global,rew0,0.760830865240132,145.72504835665964,149.5679512499809,144.0306049887174,130.52322066035694,146.57309865844283,141.74919488181936,75.96522306031594,278.7032253965218
modelvit,do1,NNGuide class avg,rew0,0.7642111111387042,146.1134325263894,149.5801581411356,144.06004768337502,130.46834056705538,146.73602947747958,141.82995918948808,75.89763718556678,278.78247823183756
modelvit,do1,KPCA RecError global,rew0,0.7659098781503012,145.00073741799466,146.27881947906266,142.17169064959754,128.2327879248061,144.75965707943058,141.03359921981314,75.89619353885129,278.29049444996724
modelvit,do1,PCA RecError class,rew0,0.7732234580552257,144.048980364997,143.09327860776472,141.62550474884333,127.38486112793643,142.03015570897327,142.69315120223104,75.53504060436978,278.3473376285244
modelvit,do1,GE class pred,rew0,0.7805395065413905,146.53199102266808,150.08289661808595,144.60166741202664,130.9458002938864,146.8216644760304,142.3293206155665,76.20200925909657,279.0080251758494
modelvit,do1,GE,rew0,0.7826555550599652,146.46507824065898,150.15406818562835,144.547775894038,130.93725251582288,146.6870504361306,142.3657570558004,76.18556447580906,279.0049768839234
modelvit,do1,GE class,rew0,0.7873345686670897,146.62672653521668,150.22754256238787,144.81394003910867,131.1610647861274,146.91475503437536,142.49497645427928,76.20889471113041,279.07842235968513
modelvit,do1,GE class avg,rew0,0.798114815385068,147.0944510352743,150.2373735183811,144.86949071742183,131.10287647647738,146.8735497043636,142.93841001685146,76.28571318220831,279.3080513016327
modelvit,do1,NeCo,rew0,0.8191296309982944,144.88822686066672,147.88541678093503,143.47955031138355,129.71217500181424,145.00388561080365,141.87360584442973,75.84325500104333,278.587411644693
modelvit,do1,pNML class pred,rew0,0.8313419776658216,144.21787303047498,145.29366373299197,142.71464820222081,128.53907768766064,142.97766514127724,145.3470492792573,75.82684384035163,279.56578142500695
modelvit,do1,MLS global,rew0,0.8949790151595758,146.23937283230862,149.7436129234253,144.1346186541141,130.47128282891367,146.64561987877036,141.8240304515985,75.9769508011931,278.70575690127987
modelvit,do1,PCA RecError global,rew0,0.9036086450419841,143.96741272887363,143.59079841535635,142.13368478568793,127.94447986627986,142.21746344298094,143.62125749785508,75.55618821312902,278.5782468237509
modelvit,do1,Energy global,rew0,0.913280248749652,146.19748214044654,149.69564771355186,144.08037957686778,130.41514074611217,146.60563105909233,141.75467328600112,75.94084416970382,278.66445729405524
modelvit,do1,ViM,rew0,0.9224777789757355,144.03494397131146,143.22532057830466,141.82418388575954,127.57511164034395,141.8737198298807,144.10846203888542,75.45757436332232,279.3521390098125
