model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,MSR global,rew0,13.216643220334664,181.4715969392153,178.62061161232603,173.5008251396201,155.73779059416205,173.329316666482,160.92951355323495,94.84582378167525,295.4592073829245
modelvit,do0,GEN global,rew0,13.21805803365876,182.4780827607446,179.89636922625058,173.53420658285432,155.99493148311106,174.77968315777724,162.26461531755504,97.74117923132405,296.98084295048227
modelvit,do0,PCE global,rew0,13.278312353212419,181.16807828325005,178.34902706547442,173.18138806688216,155.3988777534189,172.9594592577052,160.60001653180717,94.461197025151,295.2110535287669
modelvit,do0,MSR,rew0,13.408853096119453,180.65756720886125,179.39502816490943,173.42109262611098,155.66607908266832,174.0170462244153,160.3634066532351,94.44089656175973,295.1226562798562
modelvit,do0,GEN,rew0,13.416729638726654,181.93694554188937,180.76177900361233,173.75646862282906,156.2501003119896,175.41291245479104,162.69935835556586,97.36045352100753,297.23689704174825
modelvit,do0,REN global,rew0,13.4417518639051,185.0127632069627,183.96593819485528,172.53869173750505,155.37830292427998,180.44443498242157,164.69979789297173,116.6255883354304,299.04965706363635
modelvit,do0,PCE,rew0,13.47535432997457,180.36808569009602,179.1305435552826,173.12138526938793,155.34866179931404,173.6854569599856,160.05093150286186,94.07945981111206,294.89109201714393
modelvit,do0,REN,rew0,13.58183334078575,183.3297608074597,183.33233073372838,172.63470567188574,155.61049311669757,177.41565684496723,166.65884967178386,105.70860138082067,299.94405066723886
modelvit,do0,PE global,rew0,13.765700003548085,180.45853528289285,177.55062863199274,172.51646529036447,154.70907355650476,171.76278542446298,159.98613237076933,93.3848338080056,294.73717881623315
modelvit,do0,GEN class pred,rew0,14.038902473557552,181.53807936505106,178.98163674520248,172.08657052129354,154.93639450174004,176.12224191703064,161.37840308033682,98.14866887246336,296.78107667343346
modelvit,do0,PE,rew0,14.04057902471961,179.69861811467416,178.4389824981661,172.529287914437,154.73795197075037,172.70175896070072,159.4583383398819,93.10387646027105,294.45786270356757
modelvit,do0,MSR class pred,rew0,14.152591360186406,180.0779255035144,177.5664768484614,171.5932249686885,154.1303175445345,174.2363950531521,158.87694467152238,94.63692749267398,294.27587259965213
modelvit,do0,PCE class pred,rew0,14.173551852825039,179.9722683234957,177.49076321810915,171.47420016018683,154.01136068921372,174.0707840042657,158.80350031603808,94.46864138728141,294.2164060399268
modelvit,do0,REN class pred,rew0,14.521482722272534,180.75250210230783,179.4586037900139,170.60080245070947,153.44651044527245,175.48102432359815,159.07891295916062,99.46020393923327,294.9092852950308
modelvit,do0,GEN class,rew0,14.573598780344117,184.90305757888166,184.00288293444154,175.76010173438755,158.73527686159278,176.2720415060304,165.38343450554447,99.28809258278295,299.42470086918695
modelvit,do0,MSR class,rew0,14.627258039524246,182.35144052140407,181.31536262727266,174.75239028843194,157.23991624250715,173.92890740230047,161.32164232259743,94.46509640988845,295.5098330641821
modelvit,do0,PCE class,rew0,14.686369149198677,182.0854821859019,181.0652533793898,174.47322880122388,156.95209883546633,173.6152238521018,161.0326370303626,94.11768636846354,295.28390879937314
modelvit,do0,PE class pred,rew0,14.776097537830031,179.67535253500023,177.34849144988067,171.22807448804838,153.80071454385,173.2019561596724,158.62150830891102,93.65389185648839,294.0386673199097
modelvit,do0,REN class,rew0,14.964132110014745,185.5209438271517,185.26188277341777,174.3699203849963,157.6543055495587,175.8854272942005,165.77417063126546,101.25112589467099,299.41908142775054
modelvit,do0,PE class,rew0,15.338996300991534,181.5268789550409,180.54916127724317,173.93784939315017,156.52075484818445,172.81725476660426,160.57777687027283,93.35584266622699,294.9124258093947
modelvit,do0,GE global,rew0,15.993853105575061,180.66096220471636,177.27564486626315,173.2595326550861,155.4175596175888,170.4324170278022,159.8616553371989,92.02892552467605,294.4336717326609
modelvit,do0,GradNorm class pred,rew0,16.122177788316588,180.3031443614056,176.4577751296772,172.9234608077248,155.4292245488586,171.30264061087598,159.4828289526488,92.04341440172152,293.9140217930301
modelvit,do0,GE,rew0,16.628011107610977,179.89852806867697,178.45480160950694,173.3751870573721,155.5672706298006,171.96138173843775,159.2471744032718,91.95643306277938,294.174565519969
modelvit,do0,MLS global,rew0,16.655002479338627,180.91896727548615,177.29111457906188,173.41024406380527,155.60034706886844,170.3867445039387,159.89643999482166,92.11550098223697,294.49289757050093
modelvit,do0,PCA RecError class pred,rew0,16.961901243302336,196.4775805408787,189.07041840838957,198.5518935857554,180.59745501669732,168.25969001200644,197.5275773722985,91.97695273524542,313.6985649725701
modelvit,do0,MLS,rew0,17.31227160852965,180.19517073882918,178.5714457655926,173.52953528637858,155.74849199516802,172.02133675722058,159.32567240297982,92.10689921458807,294.2832198394286
modelvit,do0,ViM,rew0,17.409949387964865,191.6562714042209,185.29276257651088,190.9525606149413,172.69291031407184,161.929593348792,189.85484900829928,87.38361951540585,311.01031820472065
modelvit,do0,NeCo,rew0,17.417691371646328,183.24137827621334,177.62573438004767,177.61276128606198,158.906374683473,169.35674363080108,162.24112423718097,91.10435780261967,295.2403669437882
modelvit,do0,GE class pred,rew0,17.423221002819872,180.38617474566271,178.04479914465134,172.61794479215413,155.20599924621106,172.51824604205981,158.95870406713445,92.66288742681085,294.04218727422233
modelvit,do0,Energy global,rew0,17.440507413503816,181.0279016750564,177.34506529966836,174.0005116528515,156.09140993422267,170.21660724751638,160.18807315762575,91.80537969155583,294.49335668721886
