model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR class pred,rew2.2,53.19644567827669,210.81305297221988,217.20500716907864,227.5668064231807,208.5998682893347,215.35475386346215,208.0742296788971,145.28204732635882,339.4138886813122
confidnet,do1,MCD-MSR class,rew2.2,53.265848144776996,210.87523150495144,215.6908349377765,225.57328983287738,206.51631593991283,214.8159429521802,207.04671859015093,142.80489206941812,337.75769558787374
confidnet,do1,MCD-MSR global,rew2.2,53.28177162399095,210.79886099902902,216.1338909214479,226.29456344777668,207.1921772787547,215.0408268868035,207.17608657985448,143.67348588681278,338.57589325771136
confidnet,do1,MCD-MSR,rew2.2,53.45726791706903,210.14304483115515,212.69343386984488,221.82513025197653,203.3053285797896,214.19511278892628,206.83080553456233,140.57899329329734,336.3007083122625
confidnet,do1,MCD-MSR class avg,rew2.2,53.52789014357889,210.90314734843318,215.96503787549167,226.17902096856787,207.0723482775567,215.52702384044898,206.6016558597542,143.69388153841527,338.47743151672387
confidnet,do1,MCD-GEN class pred,rew2.2,53.588944444396,210.69133922350426,216.8839522653224,227.37201700361575,208.23808147430327,215.46737158793832,207.8778124927066,145.1601027438333,339.0011697626777
confidnet,do1,MCD-PCE class pred,rew2.2,53.65414199449329,210.4702765734415,215.83890975341583,226.15010536446448,207.1788880924183,214.81177935781133,206.97173759459102,144.31888724651049,338.666624277918
confidnet,do1,MCD-GEN class,rew2.2,53.68912963000945,210.8718480518397,215.57358278918332,225.60534340384157,206.34023930071416,215.07633968984288,206.98691945501474,142.83022422550854,337.54297614310894
confidnet,do1,MCD-GEN global,rew2.2,53.6938284007163,210.7169499899325,216.07090098866252,226.37866045253423,207.12874762521975,215.31938960100788,207.2139200089153,143.79662003558488,338.3747575387644
confidnet,do1,MCD-PCE class,rew2.2,53.7643740775193,210.5952708008695,214.5417291623524,224.4035225435163,205.36868346588466,214.41453219822347,206.2319830313681,142.19196607800137,337.314203102429
