model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,pNML global,rew2.2,0.22247061116886377,0.2678412319454483,0.2764820480355081,0.31943334620438807,0.2775247354427612,0.22810012310184846,0.20115196155994192,0.22666485729696184,0.2343880645438113
confidnet,do0,KPCA RecError class avg,rew2.2,0.232521706559878,0.21329194856008643,0.13392775619738742,0.1266666770828162,0.14604248003514447,0.23474933819627747,0.28503401850001525,0.20652198584881792,0.19724652972986567
confidnet,do1,KPCA RecError class avg,rew2.2,0.2978958764978255,0.3219301743463947,0.062053322491573436,0.08604772662861157,0.06934429365169692,0.2570988867497667,0.0953599040096733,0.05609082579988468,0.028034287520436418
confidnet,do1,PCA RecError class avg,rew2.2,0.3842408116164517,0.48264775458671794,0.15812317782566834,0.18928936201051508,0.14638041755353318,0.3049042521710245,0.10101174592017068,0.08227261559132623,0.06305599474805974
confidnet,do1,pNML class avg,rew2.2,0.45900094518194123,0.522329638874314,0.5000387897948231,0.5102982044045064,0.4754095959821603,0.4205711825022421,0.36689973718824476,0.4066699113178857,0.3940517943824033
confidnet,do0,PCA RecError class avg,rew2.2,0.48914071572716666,0.5198016774316929,0.5608052134492005,0.5457775145930766,0.5715005689516484,0.4799631644936759,0.5896169859741787,0.5832725516477527,0.4215305349798798
confidnet,do0,pNML global,rew2.2,0.5378100768136284,0.5519533629385326,0.6929387716240205,0.677093047117235,0.6692665499606697,0.5054533385371899,0.48442580893419257,0.6806443753648755,0.5636605788170389
confidnet,do1,Maha global,rew2.2,0.5755475794529675,0.5608662653113023,0.6698874624621141,0.6689061608384368,0.682856668081698,0.6315228962457495,0.7169254096909083,0.7216345246496753,0.6993551626399002
confidnet,do1,Maha class avg,rew2.2,0.5782107350781482,0.5428297386322021,0.6738133113358057,0.6850582855126355,0.6914391205885978,0.6152360774121688,0.6751630898734687,0.7381816321883192,0.7072800239510108
confidnet,do1,Maha,rew2.2,0.5786421261134741,0.5426240478483095,0.6733971491324875,0.6972582166753909,0.694892938003021,0.6137792578400235,0.6530886403707483,0.7411509893514715,0.7110422308010476
confidnet,do1,Residual,rew2.2,0.5801810882952153,0.5485769449629669,0.6671360096300603,0.7006094255307914,0.687108510663982,0.6019306798416761,0.5965697821042829,0.7205993529162029,0.6788881440008845
confidnet,do0,Residual,rew2.2,0.5914512429956025,0.5391712313945928,0.7628210844724089,0.7868838555492895,0.7724743193314957,0.5663364500196768,0.6376719069584287,0.6972178027612878,0.6218357097381536
confidnet,do0,GradNorm class avg,rew2.2,0.6551245440749162,0.7312718477453135,0.5507094259420542,0.5278466514881128,0.5482353040888751,0.6971992965871407,0.6541655509972806,0.6226990792397774,0.7117486826528185
confidnet,do1,Maha class pred,rew2.2,0.6563545006313791,0.6350752429153677,0.7888805524849556,0.7987903327029853,0.800681893428868,0.7008863465265941,0.763111315543789,0.8102874040121775,0.7876757817766165
confidnet,do0,Maha,rew2.2,0.664342918536159,0.61614284257475,0.8134428378926211,0.8351017725702274,0.8260953732773766,0.6656614819102402,0.7452766202495777,0.7857496323359034,0.7485302416600764
