model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,KPCA RecError class avg,rew2.2,0.18242261419295405,0.09283135579596277,0.06795475627141416,0.05112719935129748,0.05376146871706988,0.10329218237442186,0.04063050413292306,0.17867916576828816,0.09887464330645261
confidnet,do1,KPCA RecError class avg,rew2.2,0.22020406423310873,0.08674381661429326,0.07011141104884025,0.0456433507631811,0.044890337225102384,0.10742069732617343,0.06147110372214928,0.1661869353072523,0.09408458411789912
confidnet,do0,pNML class avg,rew2.2,0.2542718436276673,0.20292106871365503,0.19172574602951506,0.22539129095758303,0.2291588116212906,0.2545732816765495,0.1340224866373384,0.3245441035788358,0.20705377107029332
confidnet,do0,PCA RecError class avg,rew2.2,0.27059415074924087,0.15434893228899135,0.1364737877742753,0.17927422086930672,0.18876544358984376,0.25275656895618226,0.07484898903666429,0.326075620141333,0.08339318907196348
confidnet,do1,PCA RecError class avg,rew2.2,0.3419424907841918,0.10285064429362512,0.10693565858403857,0.06854626454714766,0.06904304050346291,0.2617126316296032,0.026593929507499902,0.23290801389149451,0.0344668797000854
confidnet,do1,pNML class avg,rew2.2,0.35281098819944795,0.19516969269860263,0.20558079243480143,0.1968522620804108,0.19776875719169462,0.3263970948474801,0.11500629156074309,0.3319153430938357,0.12170042996935031
confidnet,do0,Residual,rew2.2,0.44054914960497965,0.40448992588511345,0.4396330527296385,0.5662555183319204,0.5370326671423583,0.41660720940114115,0.6329491378750771,0.4316500526472492,0.41350268195034523
confidnet,do0,pNML global,rew2.2,0.5213415765623531,0.4561663266966625,0.48072721946444535,0.5397723810973994,0.5327359110472438,0.5510347167743868,0.3781880290841456,0.5143914618475008,0.3519754672597055
confidnet,do0,Maha,rew2.2,0.5276391110133786,0.5089508985583122,0.5414186074198662,0.6568003774952895,0.6337641784353145,0.5172006607292754,0.7333572951166966,0.5287634984140728,0.5250106288914089
confidnet,do1,Residual,rew2.2,0.5626218795662686,0.29903294036501904,0.34220493758737325,0.4089240859643778,0.3460904754141651,0.5519969870295391,0.1719638431304113,0.26763283623907774,0.15806798828619714
confidnet,do1,pNML class pred,rew2.2,0.570484320545434,0.5109572781613931,0.5347744156901648,0.45544253772787346,0.4473941152719981,0.6136639876195664,0.34945685104473695,0.5976492698284842,0.36314562100287456
