model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,Confidence,rew0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Maha class pred,rew0,0.576370074268377,0.6673337783152778,0.6267602129224477,0.560872726168643,0.5486262400981595,0.8651929319034117,0.3890821758994782,0.868281569707273,0.4257058773649729
modelvit,do1,PCA RecError class avg,rew0,0.5930437846524507,0.6216630128935012,0.7643968224745222,0.6733831194797244,0.6897195176129826,0.9595632652326792,0.41857788866503054,0.9788517163995722,0.4835104072598061
modelvit,do1,KPCA RecError class avg,rew0,0.5933939775714181,0.6495652582700828,0.7357308236241302,0.5486798629653954,0.5947229399234338,0.9297559399771792,0.29530299215828226,0.9640749597572699,0.4005574089149978
modelvit,do1,Residual,rew0,0.6161413168841182,0.6622067944973569,0.8461783257597185,0.7808679257487728,0.7730614561553495,0.9715099800768803,0.37935060712039503,0.9876055808367903,0.4193983500495415
modelvit,do1,pNML class avg,rew0,0.6420935245289451,0.6878401432098429,0.7054383477561414,0.5429635549923284,0.5595711456105079,0.889782729233041,0.46471466328957084,0.9505618900731768,0.5559499503333377
modelvit,do1,Maha,rew0,0.645751423650851,0.715233404343361,0.8058875205824394,0.7115970980123608,0.7071446926618657,0.9547235291517667,0.39630289781839456,0.9815985211494329,0.4980950453137531
modelvit,do1,Maha class avg,rew0,0.6460172483707589,0.7155349902849515,0.8039237316718679,0.7060092245340924,0.70235030494232,0.9540110412679365,0.38338720829246953,0.9809500748360961,0.44611297253698917
modelvit,do0,pNML class pred,rew0,0.6520354306506204,0.6690631102024575,0.6578260113765404,0.47727027529063093,0.48092791211727387,0.8480330357520696,0.3745397446513374,0.9448820448953394,0.6155414192135663
modelvit,do1,pNML,rew0,0.6586986236982313,0.6675410333814105,0.8430794049200285,0.7767542297021771,0.7738348715518218,0.9680674428597822,0.5188663650135095,0.9902492228055462,0.609572075645626
