model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,Maha class pred,rew0,0.36423974696944433,0.3651495556469686,0.4143678719909434,0.23139975616440306,0.23926866977027172,0.5034597861563643,0.07874253125309925,0.403766268952074,0.08024281743671759
modelvit,do1,KPCA RecError class avg,rew0,0.45796856278624665,0.22636178963536832,0.28308632086674407,0.09609352311787167,0.10009183821830185,0.7739457288519431,0.06681215203506072,0.6339762179386953,0.0730778831358216
modelvit,do1,PCA RecError class avg,rew0,0.4642911062026168,0.28532220272785663,0.357734134878123,0.1402388154106414,0.15726747096821364,0.7247003624760363,0.03900146987971664,0.6535630613613947,0.11742346487451319
modelvit,do1,pNML global,rew0,0.4757711733602532,0.42995725817733527,0.4757848639335244,0.22349962554211897,0.24152016541793783,0.6507459282605161,0.08820483004982907,0.6521606609544806,0.23876623003135836
modelvit,do0,GradNorm class avg,rew0,0.49478542495974837,0.5174367204673569,0.6357303979369667,0.3368787027699664,0.35865745218086204,0.7455970231042378,0.1403399055665546,0.7353999919004444,0.21858627701370015
modelvit,do0,KPCA RecError class avg,rew0,0.4999720512332203,0.140879708949358,0.21007111147422614,0.039755204222938254,0.04263055349129276,0.8430122075214618,0.0056865337786594795,0.6530401301486224,0.00421698335207358
modelvit,do1,Confidence,rew0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,pNML class avg,rew0,0.5012368318107067,0.4412857359997351,0.5177648819177744,0.23648891077791961,0.25896848874707945,0.6878650270217879,0.07854948608448534,0.6496275012281509,0.21263410137885558
modelvit,do0,CTMmean class avg,rew0,0.5082242665794336,0.42835477570694624,0.4727647141377287,0.32570009935977984,0.33952688872838305,0.6673574632283863,0.32251553961031687,0.6299251619095276,0.32167612433611154
modelvit,do1,GradNorm class avg,rew0,0.5353836286624674,0.44456489086868,0.5760522140001175,0.413350253873646,0.42472815255137475,0.7073624783153114,0.3199839623615757,0.6547137955681048,0.527781684829351
modelvit,do1,CTMmean class,rew0,0.5505143569368836,0.5314665911007579,0.5585935437883842,0.5819184818150236,0.5959965508400995,0.6303159741276099,0.4371552668456653,0.559768081623619,0.4003532215695283
modelvit,do1,CTMmean class avg,rew0,0.5768142435544951,0.46333743172196556,0.5283157928070941,0.49317053578154013,0.5157519978457344,0.7034154532901586,0.39629132700728925,0.6770326001689565,0.44140569509068583
modelvit,do0,PCA RecError class avg,rew0,0.5999123398988819,0.4085155566038745,0.5215231576357867,0.23077205749481783,0.24815593701021926,0.8546168615584511,0.056585830625892376,0.847532080915627,0.08303717595827102
modelvit,do0,Maha class pred,rew0,0.6022382276890632,0.5822272740859462,0.6803664216101326,0.5277732400163464,0.5221874470686572,0.7221810125903124,0.22661354152866986,0.6229748875065072,0.26879884974879864
modelvit,do1,pNML class pred,rew0,0.6159151465628425,0.5972295602050334,0.6332776464632486,0.5489385024811599,0.5511658139176822,0.7451313009600418,0.29664529731777123,0.7336253120351311,0.4808516257547389
modelvit,do1,CTMmean class pred,rew0,0.6225875338783282,0.5832991548693501,0.5935003622028153,0.6185182616988147,0.6490094947705224,0.7399362491154245,0.6255258285414336,0.7720789780616357,0.6580330741711566
modelvit,do1,pNML,rew0,0.6476534839838146,0.3725379533609109,0.3676545316738255,0.23076000550460035,0.23600820649503249,0.9282432194197989,0.09314532335834558,0.912667272252634,0.16620996412429562
modelvit,do0,pNML global,rew0,0.6494505117958884,0.5717575460722742,0.6795066051699747,0.3368059515787075,0.36310751072558045,0.8078704458428494,0.12777582929256054,0.8239661939580284,0.2227261912702057
modelvit,do1,Maha global,rew0,0.6505506816019676,0.5881028859035443,0.6361267134730344,0.3254852117970894,0.3504320441146568,0.8189037629154491,0.1305409466888527,0.7784753316490797,0.19887768155229685
modelvit,do1,Energy class avg,rew0,0.660089918732545,0.6867692797886358,0.7758289358792789,0.7184210523110547,0.7295093375813038,0.8017559518138799,0.6529547713292931,0.7995951358508987,0.7531097616638464
modelvit,do0,pNML class avg,rew0,0.6652938533376671,0.5998845308268885,0.7104885204447293,0.40388729162824005,0.42917218041126537,0.8402631809178986,0.15225732368243922,0.8467104349038269,0.23420730061029665
modelvit,do1,NNGuide class avg,rew0,0.6712119943493616,0.6700207344930285,0.7570722203764818,0.7776897601407726,0.7839399667452112,0.8060817393059267,0.7331187967480622,0.8150211652648917,0.822516055200375
modelvit,do0,CTMmean class,rew0,0.6739749929298049,0.617310667481163,0.6674194544328994,0.5931642615177312,0.6067592966123673,0.7804312386951855,0.5806891162648099,0.7267909784741,0.5463236525471739
modelvit,do1,Residual,rew0,0.6799287137039365,0.37211205076951137,0.38881141798015634,0.1716522923693809,0.17753350079756386,0.9450564950534076,0.051294352964505165,0.9043447775622205,0.07600649755386882
modelvit,do1,MLS class avg,rew0,0.6932986305403417,0.7109991228835997,0.7940896802599138,0.7532536727370109,0.7607198087937208,0.8153534875159252,0.680336978036116,0.8168737440563971,0.7871599343825559
modelvit,do0,CTMmean class pred,rew0,0.7149390955993843,0.6940344624380185,0.7328111056696283,0.6284294429691532,0.660448682608368,0.8363296134804811,0.7138896221237234,0.8528040497461099,0.7642337943663488
modelvit,do1,CTMmean global,rew0,0.7268506556944782,0.6696610766032765,0.6841303408605974,0.6821374684104994,0.709827524932835,0.8557727629200571,0.6757506309067722,0.8854548848955565,0.7573680870703166
modelvit,do1,CTM class avg,rew0,0.7281668705536597,0.7663114997104723,0.8178648681189555,0.8249224632718779,0.8233625099735628,0.8187464022041514,0.727453936085415,0.8218159515636254,0.7844684805384138
modelvit,do1,Maha,rew0,0.7324407955216282,0.5129659638412865,0.5498432510659231,0.2474095081323807,0.26240892375692637,0.9571208789585764,0.08608146028405092,0.9262965110630355,0.13482521150483345
modelvit,do1,CTMmean,rew0,0.7430317510565162,0.6735952252781986,0.6888845918046399,0.6621645012620343,0.6894307649693328,0.8892170701248918,0.6455215962327274,0.9106768516099644,0.7414116884765309
modelvit,do1,Maha class avg,rew0,0.7467172868654074,0.5639343053036071,0.608007279862939,0.2887745740603863,0.30638086747519305,0.9465392193420682,0.10702049171790182,0.918646579470562,0.16728841133483402
modelvit,do0,Energy class avg,rew0,0.7469692277693888,0.7935864605658571,0.8542484883767774,0.8060015044359755,0.8040528626552362,0.8686401013683478,0.761783772611363,0.8915835611083874,0.8130458567101332
modelvit,do1,PCA RecError global,rew0,0.755426383261106,0.6451540232918823,0.6715352435031811,0.516326191976787,0.5352582232506794,0.9311763325432671,0.37165456536692804,0.9375435323546286,0.5089008113243583
modelvit,do0,NNGuide class avg,rew0,0.7617095083017315,0.7635193783273381,0.8324397119729431,0.7979978818997391,0.8050228340698373,0.8822990758766736,0.8245519726624149,0.8985608401321731,0.8729497747531665
modelvit,do1,GE class avg,rew0,0.7656954846233552,0.7562236235386062,0.8155815628567176,0.8134865088935349,0.8114710817352296,0.8231388263444517,0.7374091674641046,0.8374339303108052,0.8428401054740776
modelvit,do0,MLS class avg,rew0,0.7722806557660901,0.8105209341538144,0.8625759295157481,0.8352532413883124,0.8302566209011871,0.876693946404959,0.803836526445278,0.9019265491753522,0.847737043815331
modelvit,do0,pNML,rew0,0.7858260773037247,0.6676268129833207,0.7265442461228971,0.5352655555643376,0.5496767169397483,0.9705175283722655,0.2772451836148381,0.9906106072836268,0.38007061531783337
modelvit,do1,KPCA RecError global,rew0,0.7871574084155688,0.7884232136916678,0.8118932326524604,0.9021174813428704,0.9148801717055146,0.9090383116455991,0.952898243088429,0.9106697138622195,0.963587035942648
modelvit,do0,CTMmean global,rew0,0.7899086670065704,0.7492200932308317,0.7866641718235912,0.6770833792186043,0.7048911327845416,0.9003774276736974,0.7493987300137465,0.9286004097784912,0.8092011566225086
modelvit,do0,Residual,rew0,0.7924169314818104,0.6575359700740032,0.7060063682226131,0.5399886973923701,0.5487637383184782,0.9732745869602335,0.24105962478837833,0.9903529382742595,0.3346303566185096
modelvit,do0,Maha global,rew0,0.7974798991187004,0.7379236266077027,0.8050252960427102,0.6078761153697734,0.6258876994853634,0.8782115659770031,0.3170386921730357,0.8849751184923184,0.44273472837151495
modelvit,do1,PE class avg,rew0,0.798490404415442,0.7742360171706293,0.8229632864037436,0.8284258274107176,0.8239112372619152,0.821127812553741,0.7604986836286486,0.8375679512570284,0.8582213712522304
modelvit,do1,KPCA RecError class,rew0,0.7997533137211482,0.7707295964176157,0.7911912697785278,0.6549410800016773,0.6756935405959792,0.9248413217360346,0.4971638166873625,0.932813162794233,0.6885141124299168
modelvit,do0,pNML class pred,rew0,0.8014497878816893,0.7696226573574518,0.8332897653323554,0.7532736500002771,0.7494985652574464,0.8975858945036078,0.5518217029734895,0.908568444273803,0.6509072612501277
