model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,MSR class avg,rew2.2,0.02995431354625962,0.2190767170998126,0.24122156979068793,0.24711531767033929,0.22396354532236487,0.225624435763923,0.22408134347734832,0.13260606396679311,0.31924437757432755
confidnet,do0,MSR class,rew2.2,0.032276449066855416,0.2221941654864985,0.24646855551761337,0.2530099947998115,0.23333842472709315,0.2330742896998183,0.25735984449934174,0.14266229563956503,0.3268931217622403
confidnet,do0,MSR,rew2.2,0.03243528258180702,0.221986291484381,0.2494666912803149,0.25556800400853563,0.23609880818629492,0.2334994668975615,0.26008522449864035,0.1436387480591379,0.330135941504294
confidnet,do0,MSR global,rew2.2,0.03251294304946252,0.22222669533525985,0.250218748428208,0.25646539682197333,0.23678961112746905,0.2336657176625992,0.2598190635313045,0.14375214069854084,0.33127140287328516
confidnet,do1,MSR class pred,rew2.2,0.03268133474981928,0.2301222651834403,0.1768017762298027,0.20203986617127337,0.18451941448802414,0.25107832261070395,0.19033340054615863,0.1710972088155923,0.41265613262541423
confidnet,do1,MSR global,rew2.2,0.03395821481115046,0.22095637192030826,0.15603075153617624,0.1828974386309819,0.1639087913560958,0.23811206744753668,0.1742377568082097,0.15377867494727843,0.3950771033036935
confidnet,do1,MSR,rew2.2,0.03440343126632306,0.2217544837165591,0.15665716884278685,0.18347064050930734,0.16448778754898832,0.23887046233631942,0.17503710352732352,0.154406505871648,0.3939990899435307
confidnet,do1,MSR class avg,rew2.2,0.03475283140637916,0.21159406745380602,0.1615698386208238,0.1837143620858948,0.16837502888703054,0.23523166237782997,0.17775829062003456,0.16356268374985183,0.4257945969444859
confidnet,do0,MSR class pred,rew2.2,0.03681803093940108,0.2494932892534855,0.2845511826951911,0.293294465226847,0.2716094005355581,0.26337589537281236,0.2965000345400422,0.17544297278539955,0.3769905779559114
confidnet,do1,MSR class,rew2.2,0.042277978389748214,0.21535252197815286,0.14811648253083234,0.17273426436663403,0.15662368046607436,0.23205432233504242,0.17380787230079725,0.1547573773439115,0.39222609743814285
confidnet,do1,Confidence,rew2.2,0.05065767334943838,0.25056980821059416,0.18008484675119696,0.2199978805827305,0.19201352810562122,0.2597396301124887,0.19930560594436253,0.16219521022259775,0.3844571980792212
confidnet,do0,Confidence,rew2.2,0.07262800727718399,0.30805059591119,0.33653635736621307,0.34595308043629625,0.32382873755771713,0.3229020765551524,0.3498577010823539,0.23831749869504826,0.4744298308127771
confidnet,do1,fDBD class avg,rew2.2,0.12913507841130095,0.2210509948637814,0.27483584966731406,0.26062859182474385,0.25926515334773464,0.23497501469250093,0.2586724283082991,0.18746549617495772,0.409124397457028
confidnet,do0,CTMmeanOC,rew2.2,0.13395540756516985,0.40750978369502144,0.4239043952426411,0.42727642174860714,0.4003148682758206,0.4050565731302197,0.40024072185169324,0.29810020097543244,0.5774962954823013
confidnet,do0,CTMmean,rew2.2,0.13402594120237557,0.407734036553728,0.42417074904953533,0.42760924914594406,0.4005015365820088,0.40524047693006143,0.400391418502524,0.2983616045756524,0.5777309943824789
confidnet,do0,CTMmean global,rew2.2,0.13763134821388454,0.43287415454328587,0.43805216043334905,0.44068909898163955,0.41382991803263297,0.4293695094845343,0.4239495887255861,0.3084472291631181,0.6003801331206331
confidnet,do0,CTMmean class pred,rew2.2,0.1412844725688298,0.443451292840614,0.4494393062596915,0.4512567676977592,0.42345084533755273,0.4403933193436737,0.4353374570709526,0.31591249951871775,0.6150217851076668
confidnet,do0,CTMmean class,rew2.2,0.14181873510148785,0.44454207488740344,0.45055404241045266,0.4523124043931099,0.4244869734805806,0.4415364458098394,0.4365368653225472,0.3169869470603963,0.6165214003556154
confidnet,do1,CTM global,rew2.2,0.16067604361044033,0.24965157799882592,0.30365675426351024,0.2964431740698622,0.29329410306177645,0.24065077215799974,0.3020983896279411,0.2544531390880015,0.39236378779439646
confidnet,do1,CTM,rew2.2,0.16363937786618865,0.24347409440197204,0.29926288022640135,0.2936835751393182,0.28992160877810264,0.23572857471597017,0.29851945917613887,0.24987638877884222,0.389477240354869
confidnet,do1,CTM class,rew2.2,0.16380162308216092,0.2532860592712296,0.31763535435811513,0.31035821320237567,0.3072930773752245,0.24644127821992173,0.3141261666374967,0.26150926253396756,0.40404213174199144
confidnet,do1,CTM class pred,rew2.2,0.16381701839698679,0.2522611879679908,0.31560190710091485,0.30846386894918904,0.3054385299576704,0.24537530913591893,0.3123873280514512,0.26054547082165463,0.4031642246156671
confidnet,do0,CTMmean class avg,rew2.2,0.16670262830919685,0.4904333239247481,0.4865364113346919,0.48642734446836766,0.4602463464815604,0.4876103260930525,0.48279161865817455,0.3519742041155533,0.6636712551443644
confidnet,do1,CTM class avg,rew2.2,0.1781467851840787,0.23635471406535338,0.29262199095505737,0.28737805690861423,0.27710593508621445,0.21290644477770937,0.28700818037114995,0.23943603142427694,0.3586828445787309
confidnet,do0,fDBD class avg,rew2.2,0.198803757312066,0.17122766491292302,0.19944961435285852,0.20272516063643065,0.19468829982598984,0.16102288684373528,0.16832150055334172,0.16931973767409494,0.2863711490518355
confidnet,do1,CTMmeanOC,rew2.2,0.20511994359890612,0.5106046521798426,0.48362413577672553,0.4882973659285323,0.46479418419767393,0.5116013395438955,0.49428105461481786,0.37315871772549014,0.680037659663338
confidnet,do1,CTMmean,rew2.2,0.20590088379647992,0.5120779083454023,0.4854440671172526,0.4896198595250169,0.46619332190436624,0.5128777556417518,0.4954182616823372,0.37395868024661705,0.6811119551076469
confidnet,do1,CTMmean class pred,rew2.2,0.20939499334759182,0.5179780953467179,0.49473072675759866,0.4983298341577008,0.4747977969002745,0.5193316247676714,0.503527851873536,0.3804992145050121,0.689870543289401
confidnet,do1,CTMmean class,rew2.2,0.20983309630023111,0.5188291786668906,0.4965216461548482,0.49992956293254887,0.476427609644834,0.5203463679864772,0.5046319536799543,0.38129127920336775,0.6910728037983178
confidnet,do1,fDBD global,rew2.2,0.21045259231593869,0.21379293778005964,0.27250306249450224,0.25366326062283684,0.25740839469591165,0.1972189258031431,0.2534904994677826,0.21187077537380863,0.3057056318591513
confidnet,do1,CTMmean global,rew2.2,0.21192146717839772,0.5196210656360543,0.4943129533089886,0.49839734130120006,0.474733028108597,0.5204646267470644,0.5038801308590538,0.3815425190445754,0.6905567564939346
confidnet,do1,fDBD,rew2.2,0.21318686265978543,0.2070109771860361,0.2747145315242229,0.257947242517437,0.26107355537903026,0.19233429738848906,0.2553579039373132,0.21660774317234624,0.2976839133936325
confidnet,do1,CTMmean class avg,rew2.2,0.22506933396127488,0.5387658541733387,0.5212100941430977,0.5238579088964584,0.4997427751414971,0.5401206107227278,0.5285599021636317,0.4019922614278248,0.7183928907240045
confidnet,do0,MLS class pred,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494719266209965,0.7939250148213354
confidnet,do0,NNGuide,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,GradNorm class pred,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,GradNorm global,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,MLS,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.4549467713734465,0.7939250148213354
confidnet,do0,MLS class,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.4549481363905922,0.7939250148213354
confidnet,do0,MLS class avg,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.4549473167942254,0.7939250148213354
confidnet,do0,GradNorm,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,GradNorm class avg,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,MLS global,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.4549467040956487,0.7939250148213354
confidnet,do0,NNGuide class pred,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,NNGuide class avg,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,Energy class avg,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,NNGuide global,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,NeCo,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.454949435329833,0.7939250148213354
confidnet,do0,Energy global,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,Energy class pred,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,Energy class,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do0,Energy,rew2.2,0.24922222222222218,0.5967661724114098,0.5967661724114098,0.5967661724114098,0.5691245348608567,0.5967661724114098,0.5967661724114098,0.45494967147863025,0.7939250148213354
confidnet,do1,fDBD class pred,rew2.2,0.2634932629638248,0.21322946782365348,0.25601159945561325,0.24453837044022206,0.23736071082927301,0.17954972649583145,0.2318555373926506,0.20063786760882385,0.24326780826507685
confidnet,do1,Energy class avg,rew2.2,0.26737777777777777,0.6026428568606631,0.6026428568606631,0.6026428568606631,0.5751172661372501,0.6026428568606631,0.6026428568606631,0.4610266035336513,0.7979013342218657
confidnet,do1,Energy class,rew2.2,0.26737777777777777,0.6026428568606631,0.6026428568606631,0.6026428568606631,0.5751172661372501,0.6026428568606631,0.6026428568606631,0.4610266035336513,0.7979013342218657
confidnet,do1,Energy,rew2.2,0.26737777777777777,0.6026428568606631,0.6026428568606631,0.6026428568606631,0.5751172661372501,0.6026428568606631,0.6026428568606631,0.4610266035336513,0.7979013342218657
