model,drop out,methods,reward,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,MSR class pred,rew0,0.15389265043684106,0.09190000000000001,0.12708,0.06326000000000001,0.0761008403361344,0.07646,0.03428,0.012482269503546039,0.01487400122925624
modelvit,do1,PCE class pred,rew0,0.15389265043684106,0.09188,0.12708,0.06323999999999999,0.0761008403361344,0.07644,0.03426,0.012482269503546039,0.01487400122925624
modelvit,do1,GEN,rew0,0.15560205214624276,0.09694,0.13458,0.07034,0.0828459383753501,0.07955999999999999,0.04392,0.01507092198581556,0.01873079287031344
modelvit,do1,PCE,rew0,0.15748884459907292,0.09064,0.12734,0.06294,0.07598879551820724,0.07524,0.034960000000000005,0.01255319148936164,0.014904732636754719
modelvit,do1,MSR,rew0,0.15748884459907292,0.09065999999999999,0.12736,0.06298,0.07601120448179269,0.07526,0.03498,0.01255319148936164,0.014927781192378581
modelvit,do1,GEN global,rew0,0.1575290140732047,0.09678,0.13424,0.06936,0.08230812324929968,0.08048,0.04364,0.015106382978723359,0.01858481868469572
modelvit,do1,GEN class,rew0,0.15759762470785305,0.09848,0.13512,0.07152,0.0840336134453781,0.08016,0.04498,0.01499999999999994,0.02002151198524888
modelvit,do1,GEN class pred,rew0,0.1576312947415231,0.0974,0.13378,0.06992000000000001,0.0827787114845938,0.08022,0.04222,0.01460992907801414,0.018477258758451083
modelvit,do1,PCE class avg,rew0,0.15937563705190314,0.0995,0.13126,0.06894,0.08020168067226886,0.08008,0.04986,0.01478723404255316,0.0207667486170866
modelvit,do1,MSR class avg,rew0,0.15937563705190314,0.09952,0.13128,0.06898,0.08026890756302515,0.0801,0.0499,0.01478723404255316,0.02077443146896122
modelvit,do1,PE class avg,rew0,0.16106622716354588,0.09714,0.12842,0.06604,0.07740056022408957,0.07842,0.046400000000000004,0.013687943262411278,0.01940688383527962
modelvit,do1,GEN class avg,rew0,0.16113002301681542,0.10422000000000001,0.13716,0.0741,0.08557983193277305,0.08322,0.05893999999999999,0.016879432624113438,0.02433927473878298
modelvit,do1,PE class pred,rew0,0.161175007272326,0.08990000000000001,0.12467999999999999,0.06144000000000001,0.07424089635854339,0.07526,0.03156,0.01184397163120564,0.014182544560540841
modelvit,do1,PCE class,rew0,0.16308061132291513,0.09290000000000001,0.12796000000000002,0.06573999999999999,0.07836414565826326,0.0769,0.037040000000000003,0.01262411347517726,0.01651044867854944
modelvit,do1,MSR class,rew0,0.16308061132291513,0.09292,0.12796000000000002,0.06576,0.07836414565826326,0.07692,0.037040000000000003,0.01265957446808506,0.01653349723417328
