model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,CTMmean class avg,rew0,0.6692194304034048,0.74742,0.7517199999999999,0.85598,0.8497030812324929,0.81914,0.6633600000000001,0.3978014184397163,0.30569299323909027
modelvit,do1,CTMmean global,rew0,0.6801078591993248,0.74812,0.6362,0.69234,0.7025882352941176,0.6588,0.60936,0.25297872340425526,0.4677473878303626
modelvit,do1,CTMmeanOC,rew0,0.6871709073457793,0.74524,0.61424,0.6913,0.6989803921568628,0.5562799999999999,0.64156,0.17450354609929075,0.490381069452981
modelvit,do1,CTMmean,rew0,0.6879550305852138,0.74644,0.61284,0.6892,0.6980168067226891,0.5537,0.64408,0.1729787234042553,0.4917639827904118
modelvit,do1,CTMmean class pred,rew0,0.688655062128422,0.7583,0.6519999999999999,0.7071799999999999,0.715764705882353,0.65716,0.6133200000000001,0.2682624113475177,0.48269821757836506
modelvit,do1,CTMmean class,rew0,0.6921965505167302,0.7620199999999999,0.65316,0.70612,0.7173557422969188,0.6567000000000001,0.61258,0.2699290780141844,0.4835125998770744
modelvit,do1,MSR global,rew0,0.7204189905641314,0.69386,0.73774,0.8315400000000001,0.8210420168067227,0.67956,0.76222,0.315531914893617,0.6855562384757222
modelvit,do1,GEN global,rew0,0.7204262154598455,0.77904,0.79682,0.8288,0.8164705882352941,0.82204,0.7854,0.7174113475177305,0.6896358328211433
modelvit,do1,GEN class avg,rew0,0.7214065679773671,0.7590399999999999,0.78766,0.83446,0.8208627450980392,0.80822,0.7849999999999999,0.668581560283688,0.7004917025199754
modelvit,do1,MSR class avg,rew0,0.7238144180357813,0.69572,0.74474,0.8382,0.8248291316526611,0.69416,0.7719400000000001,0.3357801418439716,0.7097956361401352
modelvit,do1,MSR class,rew0,0.7238797932715113,0.6965,0.7424799999999999,0.83898,0.823843137254902,0.68236,0.76974,0.32397163120567374,0.6998770743700062
modelvit,do1,MSR class pred,rew0,0.7243998814056265,0.7088,0.74244,0.83948,0.8253445378151261,0.67518,0.77552,0.3212056737588652,0.7219038106945298
modelvit,do1,GEN class,rew0,0.7248358164221503,0.77184,0.79022,0.83422,0.8191372549019608,0.8119799999999999,0.7842800000000001,0.6913475177304964,0.6893592501536571
modelvit,do1,GEN class pred,rew0,0.7277803687533602,0.78758,0.8049,0.84324,0.8268011204481793,0.8107599999999999,0.8,0.7203191489361702,0.7294637369391518
modelvit,do1,GEN,rew0,0.7306591090980853,0.76424,0.7857000000000001,0.8341200000000001,0.819764705882353,0.79862,0.78562,0.652340425531915,0.6926090964966196
modelvit,do1,PCA RecError class pred,rew0,0.7321784179320863,0.77006,0.55606,0.71538,0.7165042016806723,0.36336,0.84392,0.09648936170212762,0.6919560540872772
modelvit,do1,MSR,rew0,0.7328992613506828,0.70312,0.74756,0.84252,0.831327731092437,0.67662,0.77428,0.32645390070921987,0.7045098340503995
modelvit,do1,REN global,rew0,0.7374865627808354,0.79876,0.80482,0.81814,0.808515406162465,0.86618,0.7805199999999999,0.7895035460992907,0.6720344191763983
modelvit,do1,PCE global,rew0,0.7380829530454909,0.67828,0.7288399999999999,0.83798,0.8277871148459383,0.6576,0.76162,0.28209219858156026,0.6902658266748617
modelvit,do1,PCE class pred,rew0,0.7384873028165566,0.69508,0.73422,0.84406,0.8329411764705883,0.6575,0.7727999999999999,0.2928368794326241,0.7219422249539029
modelvit,do1,REN class,rew0,0.7393525856875358,0.78718,0.79406,0.82494,0.8090756302521008,0.8452999999999999,0.7771,0.7429787234042553,0.6754993853718501
modelvit,do1,REN class avg,rew0,0.7403830208599462,0.79104,0.8031,0.8283200000000001,0.8138935574229691,0.85662,0.78498,0.7764539007092199,0.7035033804548249
modelvit,do1,NNGuide class pred,rew0,0.7410384283566636,0.69276,0.69442,0.8137800000000001,0.8132212885154061,0.5849,0.73124,0.22191489361702127,0.677258758451137
modelvit,do1,REN class pred,rew0,0.7413125594862129,0.81074,0.8185800000000001,0.8377600000000001,0.8223865546218487,0.8547800000000001,0.8008200000000001,0.8065602836879432,0.7153964351567301
modelvit,do1,NNGuide global,rew0,0.7415908137507354,0.6755,0.68636,0.8100200000000001,0.8102184873949578,0.5857,0.72206,0.21301418439716308,0.6533036263060847
modelvit,do1,NNGuide class avg,rew0,0.7448052240413665,0.67878,0.68936,0.8082800000000001,0.8082913165266106,0.59494,0.71922,0.22262411347517727,0.6670251997541488
modelvit,do1,PCE class avg,rew0,0.7454825687786296,0.68026,0.7375200000000001,0.84504,0.8326050420168067,0.6740999999999999,0.77424,0.30184397163120563,0.7165719114935464
modelvit,do1,REN,rew0,0.7462315871927133,0.77534,0.78852,0.82248,0.8101512605042018,0.8294599999999999,0.78124,0.7081560283687943,0.6839735709895514
modelvit,do1,fDBD global,rew0,0.7464590828872206,0.6637000000000001,0.72146,0.80726,0.8057142857142857,0.6343799999999999,0.75062,0.280531914893617,0.6882682851874616
modelvit,do1,PCE,rew0,0.7488150633952059,0.68864,0.73834,0.8480399999999999,0.837109243697479,0.6537,0.77416,0.2880141843971631,0.7097188076213891
modelvit,do1,PCE class,rew0,0.7489352661151045,0.68742,0.7396,0.8476800000000001,0.8360336134453782,0.66676,0.77654,0.29489361702127653,0.7135832821143209
modelvit,do1,NNGuide,rew0,0.7492333502271402,0.69096,0.6905,0.81724,0.8164705882352941,0.56102,0.74234,0.20315602836879426,0.6763521819299324
modelvit,do1,fDBD class avg,rew0,0.7497740832874678,0.6795199999999999,0.7323999999999999,0.7936,0.7920224089635854,0.66938,0.7353799999999999,0.32095744680851057,0.6668254456054087
modelvit,do1,KPCA RecError class pred,rew0,0.75352800735802,0.79966,0.56972,0.72892,0.7302857142857142,0.36188,0.88002,0.09762411347517726,0.7426551936078672
modelvit,do1,MLS global,rew0,0.7596194369021168,0.6634399999999999,0.73084,0.8637600000000001,0.8539159663865545,0.61524,0.77226,0.2539007092198581,0.7333743085433313
modelvit,do1,PE class pred,rew0,0.7618803237295737,0.68562,0.73036,0.8514200000000001,0.8441680672268908,0.63208,0.7762,0.2654964539007092,0.7388905961893054
modelvit,do1,PE global,rew0,0.7626584162862409,0.6704399999999999,0.72746,0.85024,0.843047619047619,0.6317600000000001,0.77074,0.2574468085106382,0.7151275353411186
modelvit,do1,fDBD,rew0,0.7627424698241029,0.67792,0.7287399999999999,0.8301399999999999,0.8254341736694677,0.59116,0.78868,0.2552482269503546,0.7406807006760909
modelvit,do1,MLS class pred,rew0,0.7632727894025679,0.68226,0.73372,0.8624600000000001,0.8540728291316526,0.61724,0.7820400000000001,0.26156028368794326,0.7572526121696374
modelvit,do1,MLS class,rew0,0.7645318972881893,0.68184,0.7339800000000001,0.86416,0.8553501400560224,0.61672,0.78282,0.26102836879432617,0.7603718500307315
modelvit,do1,fDBD class pred,rew0,0.7655309954397167,0.67348,0.74692,0.82692,0.8229915966386555,0.63982,0.77508,0.31216312056737583,0.7336432083589428
modelvit,do0,KPCA RecError global,rew0,0.7678000770249287,0.8406600000000001,0.78056,0.8,0.8000672268907563,0.81106,0.6113799999999999,0.5439716312056737,0.3700522433927474
modelvit,do1,PE class avg,rew0,0.7678891506993384,0.67052,0.7346999999999999,0.85592,0.846453781512605,0.6477999999999999,0.7843600000000001,0.27421985815602834,0.7426628764597418
modelvit,do1,PE class,rew0,0.7719138649635197,0.68234,0.7407199999999999,0.86152,0.852593837535014,0.6455,0.7872600000000001,0.2712056737588652,0.7441149354640443
modelvit,do1,GE class pred,rew0,0.7724549506395172,0.67982,0.72934,0.85992,0.8555294117647059,0.60634,0.78558,0.24648936170212762,0.7583358942839582
modelvit,do1,MLS class avg,rew0,0.7727588763184897,0.66928,0.74164,0.8705,0.8602801120448179,0.62996,0.79132,0.27099290780141844,0.7652043638598648
modelvit,do1,PE,rew0,0.7732995558701669,0.6838599999999999,0.7396,0.86012,0.85290756302521,0.6307,0.7847999999999999,0.2683687943262411,0.7359711124769515
modelvit,do1,MLS,rew0,0.7742668844517416,0.6813,0.7472799999999999,0.8763400000000001,0.8666218487394957,0.62066,0.7871,0.26936170212765953,0.7568531038721573
modelvit,do1,GE global,rew0,0.7766985437626055,0.66478,0.72968,0.8614,0.8552156862745098,0.6058600000000001,0.78174,0.24237588652482261,0.7359941610325753
modelvit,do1,GradNorm class pred,rew0,0.7789632249075338,0.6806599999999999,0.70444,0.84182,0.8349355742296918,0.60078,0.75884,0.210886524822695,0.6675476336816226
modelvit,do1,GE class avg,rew0,0.7806818147293343,0.6689,0.73716,0.86618,0.8584649859943978,0.62224,0.79606,0.26085106382978723,0.7634526736324523
modelvit,do1,GE class,rew0,0.7836514587078034,0.67726,0.7438,0.8709,0.86296918767507,0.62358,0.79756,0.25964539007092197,0.7653503380454825
modelvit,do1,GE,rew0,0.7851655362862578,0.67906,0.7414,0.87112,0.8636190476190476,0.60692,0.795,0.2561702127659574,0.7546481253841426
modelvit,do1,CTM global,rew0,0.7856612604443598,0.64264,0.7724599999999999,0.8892,0.8809187675070028,0.6723600000000001,0.81888,0.33209219858156025,0.8343192993239091
modelvit,do1,Energy class pred,rew0,0.7884043084641637,0.6806800000000001,0.7413000000000001,0.8784599999999999,0.8722016806722689,0.5965,0.7942400000000001,0.25145390070921986,0.7868315918869084
modelvit,do1,PCA RecError class,rew0,0.7890206738194708,0.7973,0.55446,0.71006,0.7140840336134453,0.34038,0.8669399999999999,0.09035460992907798,0.711839274738783
modelvit,do1,Energy class,rew0,0.7922905507038399,0.69072,0.7419,0.88192,0.8765714285714286,0.58956,0.79746,0.25187943262411344,0.8031960663798403
modelvit,do0,pNML class pred,rew0,0.7939520173715419,0.85768,0.78002,0.95996,0.9483921568627451,0.5188200000000001,0.9763999999999999,0.20663120567375884,0.9224723417332514
modelvit,do1,NeCo,rew0,0.7963235740285219,0.68302,0.75756,0.90496,0.893579831932773,0.58782,0.8497199999999999,0.24531914893617018,0.8261370620774432
modelvit,do1,Energy global,rew0,0.7974717399963469,0.66662,0.7437400000000001,0.8865000000000001,0.8814789915966387,0.59626,0.7937799999999999,0.24921985815602832,0.7778503380454824
modelvit,do1,CTM class avg,rew0,0.7985653128876796,0.6331800000000001,0.77964,0.89602,0.8850196078431372,0.69638,0.82284,0.3583333333333333,0.8529578979717272
modelvit,do1,CTM,rew0,0.7986466426904275,0.66356,0.77862,0.9008800000000001,0.8906442577030813,0.64164,0.8409000000000001,0.31166666666666665,0.861240012292563
modelvit,do1,Energy class avg,rew0,0.8002309290896686,0.6692400000000001,0.7484999999999999,0.89008,0.8819943977591036,0.60176,0.80968,0.2599290780141844,0.800261216963737
modelvit,do1,CTM class,rew0,0.8008080775400567,0.6593600000000001,0.78688,0.90008,0.8897703081232493,0.67122,0.8389,0.35411347517730496,0.8765135218192993
modelvit,do1,GradNorm,rew0,0.8008184030901073,0.67804,0.74184,0.86344,0.8542969187675069,0.6344200000000001,0.7439600000000001,0.2604255319148936,0.6440688383527966
modelvit,do1,CTM class pred,rew0,0.8011015928504148,0.6611800000000001,0.7862199999999999,0.8981,0.8881344537815126,0.67226,0.83788,0.3532269503546099,0.8699293177627535
modelvit,do1,GradNorm global,rew0,0.802093135934113,0.66462,0.7177,0.8553200000000001,0.8466330532212885,0.5848800000000001,0.76488,0.20985815602836877,0.6643822987092809
modelvit,do1,Energy,rew0,0.8058196218824607,0.6863,0.7618199999999999,0.89962,0.8935350140056022,0.60022,0.8064600000000001,0.26893617021276595,0.8004379225568531
modelvit,do1,GradNorm class avg,rew0,0.8181113273763024,0.6757799999999999,0.73336,0.87318,0.8594509803921568,0.58396,0.8307,0.2220567375886524,0.7376075599262446
modelvit,do1,KPCA RecError class,rew0,0.828044231978993,0.8446999999999999,0.57124,0.74046,0.7422296918767508,0.31334,0.92806,0.08230496453900704,0.8042639827904118
modelvit,do1,pNML global,rew0,0.8328311740957556,0.79902,0.74328,0.9082000000000001,0.9024089635854342,0.55294,0.9461,0.2866666666666666,0.8646972956361403
modelvit,do1,ViM,rew0,0.8489485898692999,0.7576,0.5663199999999999,0.75752,0.7564593837535014,0.18832,0.94906,0.06925531914893612,0.9523048555623846
modelvit,do1,PCA RecError global,rew0,0.8629736141176446,0.86032,0.5524,0.7477199999999999,0.7438207282913165,0.18058000000000002,0.9484199999999999,0.0736879432624113,0.8613322065150584
modelvit,do1,Maha global,rew0,0.863756167004262,0.67854,0.79866,0.9325199999999999,0.931406162464986,0.59422,0.9740400000000001,0.40829787234042547,0.9438998156115549
modelvit,do1,pNML class avg,rew0,0.868970882035436,0.87356,0.75036,0.9235800000000001,0.9156750700280112,0.42103999999999997,0.97272,0.2089716312056737,0.9068070067609095
modelvit,do1,pNML,rew0,0.8704419303117671,0.87684,0.48138000000000003,0.65766,0.6585994397759103,0.118,0.95336,0.045212765957446735,0.9029425322679779
modelvit,do0,PCA RecError class avg,rew0,0.873501233414224,0.8707800000000001,0.7593,0.9785600000000001,0.9657591036414566,0.32118,0.9912000000000001,0.09670212765957442,0.9767286416717885
modelvit,do0,Maha class pred,rew0,0.8801523990246857,0.91196,0.8686,0.98628,0.9791372549019608,0.69706,0.99502,0.614645390070922,0.9885525507068224
modelvit,do1,KPCA RecError class avg,rew0,0.8835819106729919,0.8985,0.68396,0.8845000000000001,0.8665994397759104,0.2642,0.9831799999999999,0.15290780141843968,0.9395359557467732
modelvit,do0,Residual,rew0,0.8947906878479184,0.8606400000000001,0.51616,0.8400000000000001,0.8326274509803921,0.14832,0.9884600000000001,0.01734042553191484,0.9725952673632452
modelvit,do1,Maha,rew0,0.9089400785258753,0.79604,0.56896,0.77718,0.7786442577030812,0.15764,0.98918,0.07581560283687938,0.9776505838967425
modelvit,do1,Maha class avg,rew0,0.9091341218594872,0.79446,0.5727599999999999,0.78614,0.7864201680672268,0.16026,0.9907,0.07773049645390066,0.9787031346035648
modelvit,do0,Confidence,rew0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
