model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-PCE,rew2.2,0.7732949441572066,0.8197599999999999,0.80192,0.84344,0.8485602240896359,0.82108,0.71116,0.7774468085106383,0.8552704363859865
confidnet,do1,MCD-MSR class pred,rew2.2,0.774723830805177,0.80998,0.82918,0.8724000000000001,0.8788571428571428,0.84192,0.7623800000000001,0.8211702127659575,0.8798632452366318
confidnet,do1,MCD-NNGuide class pred,rew2.2,0.7748082337682037,0.807,0.7982199999999999,0.8452,0.8512268907563024,0.8426199999999999,0.74004,0.7926241134751774,0.8571911493546404
confidnet,do1,MCD-NeCo,rew2.2,0.775867423351929,0.8230599999999999,0.81046,0.84616,0.852795518207283,0.8210200000000001,0.71424,0.7832978723404256,0.8559772587584511
confidnet,do1,MCD-PCE class pred,rew2.2,0.7758715063466278,0.81626,0.8173400000000001,0.8577199999999999,0.8651652661064426,0.8286200000000001,0.73478,0.8018794326241135,0.8694145666871542
confidnet,do1,MCD-MLS class pred,rew2.2,0.7762734975473368,0.81792,0.8205600000000001,0.85768,0.8657927170868348,0.82552,0.72072,0.7988297872340426,0.8687845728334358
confidnet,do1,MCD-MSR class,rew2.2,0.7764677163668754,0.8144199999999999,0.8109,0.85662,0.8599887955182073,0.83696,0.7513,0.7982978723404255,0.8627304855562385
confidnet,do1,MCD-MLS class,rew2.2,0.776542153003275,0.8172599999999999,0.82096,0.85814,0.8657703081232493,0.8259599999999999,0.7195400000000001,0.7992198581560284,0.8684004302397049
confidnet,do1,MCD-PCE global,rew2.2,0.7767265069752863,0.8255399999999999,0.80854,0.8441000000000001,0.8521680672268908,0.82454,0.72586,0.7867730496453901,0.8595958819913954
confidnet,do1,MCD-MLS,rew2.2,0.7767597279036107,0.82172,0.8130000000000001,0.8494400000000001,0.8559327731092436,0.8217399999999999,0.71522,0.7871276595744681,0.8579440688383528
confidnet,do1,MCD-GEN,rew2.2,0.7767681001982836,0.81796,0.79436,0.84726,0.8477983193277311,0.83776,0.7639400000000001,0.7893971631205674,0.8590273509526736
confidnet,do1,MCD-PCE class,rew2.2,0.777000678934374,0.8199799999999999,0.80916,0.8516199999999999,0.8604145658263306,0.8292999999999999,0.7447,0.791241134751773,0.8616011063306699
confidnet,do1,MCD-NNGuide,rew2.2,0.7770333648983057,0.8092,0.79684,0.8428799999999999,0.8469915966386555,0.8401,0.73868,0.7878368794326241,0.8494775660725262
confidnet,do1,MCD-PE class pred,rew2.2,0.7770800295396258,0.8268599999999999,0.8147800000000001,0.8484400000000001,0.8592941176470589,0.81852,0.71238,0.7908156028368795,0.8634680393362016
confidnet,do1,MCD-GEN class pred,rew2.2,0.7777138610043263,0.8145199999999999,0.81792,0.86502,0.8675406162464986,0.8430199999999999,0.7840199999999999,0.8182978723404254,0.876221573448064
confidnet,do1,MCD-MLS global,rew2.2,0.7780118993157974,0.8260200000000001,0.80914,0.8445199999999999,0.8513389355742296,0.8230000000000001,0.71506,0.783936170212766,0.8577673632452367
confidnet,do1,MCD-EGEN,rew2.2,0.7781978594022583,0.82148,0.8045,0.8542799999999999,0.8501288515406162,0.82996,0.6616799999999999,0.7687234042553192,0.864920098340504
confidnet,do1,MCD-PE class,rew2.2,0.7782866901030174,0.8264400000000001,0.8118399999999999,0.8502600000000001,0.8597422969187676,0.82358,0.73774,0.7931560283687944,0.8618239090350338
confidnet,do1,MCD-fDBD class pred,rew2.2,0.7783896016554379,0.8110200000000001,0.8207000000000001,0.8606999999999999,0.8631484593837534,0.83414,0.7216400000000001,0.7918085106382978,0.8606253841425937
confidnet,do1,MCD-MSR,rew2.2,0.7787729487942074,0.8171799999999999,0.8089000000000001,0.85552,0.8551484593837536,0.8336600000000001,0.73784,0.7890425531914893,0.8579133374308544
confidnet,do1,MCD-NNGuide global,rew2.2,0.7789547036689279,0.8112,0.7922399999999999,0.83598,0.8418823529411765,0.8378399999999999,0.7351,0.7840425531914894,0.8491933005531653
confidnet,do1,MCD-GEN global,rew2.2,0.7790022053804883,0.82222,0.80074,0.84604,0.8500392156862745,0.8364,0.76434,0.7958865248226951,0.8631146281499692
confidnet,do1,MCD-EMSR,rew2.2,0.7793595480620974,0.82264,0.81334,0.8595,0.8585994397759104,0.8255600000000001,0.6643399999999999,0.7711347517730497,0.8658036263060849
confidnet,do1,MCD-PE,rew2.2,0.7795745974091755,0.82962,0.80488,0.83998,0.8477983193277311,0.8142400000000001,0.6904399999999999,0.7747163120567376,0.8538644744929318
confidnet,do1,MCD-EREN,rew2.2,0.779662340409561,0.82452,0.79256,0.84458,0.8387226890756303,0.83084,0.68906,0.7740425531914894,0.8647433927473879
