model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,GEN global,rew2.2,2,4.108432107012454,168.04782157692134,154.27434041096302,152.6665654758229,137.45993447233025,165.69755475456617,152.89508192182808,92.49563045618436,290.41728451721
confidnet,do0,GEN global,rew2.2,4,4.667907412261735,169.34541700713652,158.9085748500681,157.2500599192036,142.53450084577287,167.97477462446804,156.30157683420796,93.41241761330554,292.20568494968205
confidnet,do0,GEN global,rew2.2,5,4.023049391687285,167.32161657457866,156.30296405865698,155.29533921460248,139.6840433116296,166.05403659170358,152.93936918038736,91.43522234517346,288.51499209520574
confidnet,do0,GEN global,rew2.2,1,4.616240742312382,168.5513013515028,157.11935496265326,156.6094113419244,141.38580541517368,167.087610420262,156.06169933410897,93.68264905392212,289.60655542137096
confidnet,do0,GEN global,rew2.2,3,4.268339513752531,169.4048369700972,157.46624456464818,157.8359762805544,142.221534904267,168.2093277701221,156.74435293276525,94.3714377038092,291.7904483933981
confidnet,do0,GEN,rew2.2,2,4.107765433152154,168.34967403058496,154.58754509920254,152.96890308087197,137.77621308647662,166.07931701952654,153.26346729152303,92.8199920050681,290.4938316458603
confidnet,do0,GEN,rew2.2,4,4.673722224567124,169.43513971409334,158.91982517282293,157.25347291653958,142.54191461556067,168.06729244495787,156.34998525926096,93.45483737088912,292.2325063180239
confidnet,do0,GEN,rew2.2,5,4.019197533033244,167.3138211497004,156.26094784605016,155.27079950228358,139.65841189584802,166.1093947743481,152.9287002370655,91.3893265489155,288.4728635263198
confidnet,do0,GEN,rew2.2,1,4.619228405398543,168.75077998889154,157.2081066332299,156.70149009219122,141.46384597587306,167.36081969352415,156.1896353608685,93.80263176638933,289.6647104617993
confidnet,do0,GEN,rew2.2,3,4.265228405990961,169.45631918323116,157.52210885283307,157.89417669840293,142.2806036341555,168.33070276320132,156.81403092853162,94.40133483111008,291.8259919168031
confidnet,do0,REN global,rew2.2,2,3.953333338200335,165.97420323606042,155.38821109385702,154.0021494145617,139.27263826800694,164.3289251255628,152.77181426259313,90.40292306292643,289.4810104359326
confidnet,do0,REN global,rew2.2,4,4.854376542602647,168.62175366209215,177.64800182265844,185.135878545955,170.75318724971444,170.58188921545795,159.95400594628686,93.56830729265384,289.2622145611824
confidnet,do0,REN global,rew2.2,5,3.878086418364546,165.30188661883696,155.61391976426262,154.4782182669918,139.23769531021645,164.2924995885121,151.78276272154926,89.44535936299191,287.4681246594229
