model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,Confidence,rew2.2,2,4.043987650239918,168.41491861231034,153.98837458833734,152.48352456375142,137.40639545508722,165.80302868462348,153.19759817711886,93.22332822361942,290.3148857703387
confidnet,do0,Confidence,rew2.2,4,4.494382715603732,167.99543615493374,155.7876240324479,154.47975312790848,139.61762796423747,167.85438022628117,153.42040637177485,91.44544077755756,292.05157891589266
confidnet,do0,Confidence,rew2.2,5,3.951808646378696,167.0009411634156,155.08485867194435,154.54980649314658,138.85851314862248,165.5034720197143,152.34410083718387,91.49397228429171,288.82094215081
confidnet,do0,Confidence,rew2.2,1,4.526845679353655,167.30264048292452,153.81170776538255,153.1734683489666,137.78104721695593,166.00106622199783,153.06021409330543,91.9492995057178,287.7957556498536
confidnet,do0,Confidence,rew2.2,3,4.134604943954602,167.67003698138112,154.58090395454155,154.46885321669296,138.92986788661744,167.06688964662143,153.04625053969747,92.19568583550856,290.1276637353464
confidnet,do0,GEN global,rew2.2,2,4.108432107012454,168.04782157692134,154.27434041096302,152.6665654758229,137.45993447233025,165.69755475456617,152.89508192182808,92.49563045618436,290.41728451721
confidnet,do0,GEN global,rew2.2,4,4.667907412261735,169.34541700713652,158.9085748500681,157.2500599192036,142.53450084577287,167.97477462446804,156.30157683420796,93.41241761330554,292.20568494968205
confidnet,do0,GEN global,rew2.2,5,4.023049391687285,167.32161657457866,156.30296405865698,155.29533921460248,139.6840433116296,166.05403659170358,152.93936918038736,91.43522234517346,288.51499209520574
confidnet,do0,GEN global,rew2.2,1,4.616240742312382,168.5513013515028,157.11935496265326,156.6094113419244,141.38580541517368,167.087610420262,156.06169933410897,93.68264905392212,289.60655542137096
confidnet,do0,GEN global,rew2.2,3,4.268339513752531,169.4048369700972,157.46624456464818,157.8359762805544,142.221534904267,168.2093277701221,156.74435293276525,94.3714377038092,291.7904483933981
confidnet,do0,GEN,rew2.2,2,4.107765433152154,168.34967403058496,154.58754509920254,152.96890308087197,137.77621308647662,166.07931701952654,153.26346729152303,92.8199920050681,290.4938316458603
confidnet,do0,GEN,rew2.2,4,4.673722224567124,169.43513971409334,158.91982517282293,157.25347291653958,142.54191461556067,168.06729244495787,156.34998525926096,93.45483737088912,292.2325063180239
confidnet,do0,GEN,rew2.2,5,4.019197533033244,167.3138211497004,156.26094784605016,155.27079950228358,139.65841189584802,166.1093947743481,152.9287002370655,91.3893265489155,288.4728635263198
confidnet,do0,GEN,rew2.2,1,4.619228405398543,168.75077998889154,157.2081066332299,156.70149009219122,141.46384597587306,167.36081969352415,156.1896353608685,93.80263176638933,289.6647104617993
confidnet,do0,GEN,rew2.2,3,4.265228405990961,169.45631918323116,157.52210885283307,157.89417669840293,142.2806036341555,168.33070276320132,156.81403092853162,94.40133483111008,291.8259919168031
confidnet,do0,REN global,rew2.2,2,3.953333338200335,165.97420323606042,155.38821109385702,154.0021494145617,139.27263826800694,164.3289251255628,152.77181426259313,90.40292306292643,289.4810104359326
confidnet,do0,REN global,rew2.2,4,4.854376542602647,168.62175366209215,177.64800182265844,185.135878545955,170.75318724971444,170.58188921545795,159.95400594628686,93.56830729265384,289.2622145611824
confidnet,do0,REN global,rew2.2,5,3.878086418364546,165.30188661883696,155.61391976426262,154.4782182669918,139.23769531021645,164.2924995885121,151.78276272154926,89.44535936299191,287.4681246594229
confidnet,do0,REN global,rew2.2,1,4.763598766720356,170.62200069860444,163.3585149971789,163.2855943550504,148.34135576210556,170.39333480219878,162.23533562900167,96.83190541940677,293.159589020648
confidnet,do0,REN global,rew2.2,3,4.489203701056895,169.32237836705428,181.3341806525503,183.86510347964935,171.56126219881605,170.5079944946524,167.35293810076206,91.0688410705532,289.4423325236312
confidnet,do0,REN,rew2.2,2,3.959197533963662,166.0171341492408,155.25695217520746,153.88239374352042,139.1636585046515,164.4046112105704,152.846216409286,90.48323790012483,289.5018683179272
confidnet,do0,REN,rew2.2,4,4.828006174753277,168.45974331964234,176.57967646807376,183.43199513309824,168.91523419019714,170.21601790801972,159.81860284286483,93.46656274302464,289.303491799203
confidnet,do0,REN,rew2.2,5,3.994345672901546,167.0002496715094,168.49692996491828,165.7835011041776,154.06549461174646,168.0959237685312,160.7879538119368,90.00260281292607,287.80095103475105
confidnet,do0,REN,rew2.2,1,4.762154328606105,170.7601275263119,163.3891807259211,163.31469851002888,148.35194106016831,170.58821916468293,162.25821984367934,96.88212867277944,293.1662019380128
confidnet,do0,REN,rew2.2,3,4.4736234533047545,169.0791495194728,179.73739012950512,181.54467441433096,169.1573820571625,169.954412599011,166.8503886310373,91.01788065815197,289.4880221621846
confidnet,do0,GEN class,rew2.2,2,4.10819754380403,168.0386189823607,154.86760536262622,153.62582507032155,138.26717027830074,167.04184167952258,153.0788461330228,91.8479646314722,290.4557282052202
confidnet,do0,GEN class,rew2.2,4,4.786561731081746,169.24029359118936,159.0415092543706,157.77930563385496,142.94977489189557,169.44647893030233,155.4652879446246,92.1483851232986,291.3929044083056
confidnet,do0,GEN class,rew2.2,5,4.093938284370879,168.03754823311257,159.11705923456336,158.25263990710144,142.59584561024883,168.35884395238034,154.48255031694575,92.1578623523275,289.5289278791815
confidnet,do0,GEN class,rew2.2,1,4.688438267462415,168.50550668915136,157.55929992587826,157.50584614136497,142.1162395179687,168.6427726263095,156.2235698015657,92.98756039264086,289.06548136033894
confidnet,do0,GEN class,rew2.2,3,4.374746922863576,169.41593148186502,157.83107473520246,158.48425759917103,142.73191951033374,168.93089146693154,155.9705263772409,93.41493354153764,291.4095780179487
confidnet,do0,GEN class avg,rew2.2,2,4.117876548720233,168.843418565006,154.9231201013913,153.5101042547337,138.24253647965153,166.80560697894046,153.214866122977,92.75789331470492,290.8698107653829
confidnet,do0,GEN class avg,rew2.2,4,4.76210493789242,170.1387273689549,159.35836302077442,157.05102557925468,142.42401337507775,167.07514295627777,157.23751848127785,94.86451479525284,292.9614141814185
confidnet,do0,GEN class avg,rew2.2,5,4.297518522286232,169.81427801335315,157.38923746127847,155.38187907464115,139.90197742619063,166.22276387111285,153.6086068164329,93.94983826285204,289.05986590965404
confidnet,do0,GEN class avg,rew2.2,1,4.614561731901227,168.61491389263577,157.1195821827328,156.928916338836,141.64835389711672,167.72877044704566,156.2810585721153,93.67438810911472,289.45354926060554
confidnet,do0,GEN class avg,rew2.2,3,4.270734566892821,169.35931845374895,157.42462634658563,157.73586745173068,142.1736030601627,168.0866584419183,156.33440757716727,93.96248037415754,291.7253104462129
confidnet,do0,REN class pred,rew2.2,2,4.194716056875929,170.09287929016207,158.81478149451456,158.41483191572507,143.1499152929742,169.06585372512342,160.14649615518675,96.25875833364948,291.1276365611328
confidnet,do0,REN class pred,rew2.2,4,4.611228401011937,168.11876262310167,159.88622131218386,160.1697379733835,145.58640356253665,167.24159805243278,156.6243588529436,92.2059301736586,291.86550013823273
confidnet,do0,REN class pred,rew2.2,5,3.968543217966928,167.1788933596536,158.61753676378024,157.80835069131788,143.0309117442139,167.3576983142934,156.04269660375073,91.81055087096398,289.3522200088164
confidnet,do0,REN class pred,rew2.2,1,4.901635814555145,172.55996581840475,164.14164456428875,164.4180409344779,149.32193081261298,172.5514953003805,164.09909246587185,98.94922363788191,293.5135397231889
confidnet,do0,REN class pred,rew2.2,3,4.453685194471392,172.52776772619194,163.24901271229504,164.41352958141417,148.82214321428057,172.72361055225377,163.6843190370072,99.07711632851118,294.4158145205648
confidnet,do0,MSR global,rew2.2,2,4.191864207508236,169.0911070932482,154.27083135191742,152.3564660574965,137.19489059222428,166.22319169997883,152.72875265750724,93.32863937826076,290.95294378443145
confidnet,do0,MSR global,rew2.2,4,4.759734578431461,169.15289965670587,156.570080455562,154.35529873557863,139.7028569698678,166.85533631317435,153.97637007146724,92.1118330187456,291.6215040769888
confidnet,do0,MSR global,rew2.2,5,4.128864204636354,167.8374823621689,155.88248529952008,154.7404905017419,139.0322740678861,166.190149800444,152.49095417232405,91.7339321089767,288.6981545324999
confidnet,do0,MSR global,rew2.2,1,4.780870370847374,168.12623181067434,153.72510026009755,152.9189437633347,137.58211087350554,165.57250948951335,152.6881613497634,92.40381485400304,287.8876498487959
confidnet,do0,MSR global,rew2.2,3,4.367932114463151,168.91684993548537,154.35076042643544,154.28721731702808,138.65141593262393,166.96447080686033,153.4431004042738,92.89893459120177,290.6187383644743
confidnet,do0,MSR,rew2.2,2,4.1974444570660125,169.17463337135948,154.32412387393944,152.4070599791954,137.2514540178881,166.37590008991174,152.85483219782486,93.40496353297868,290.9539444643708
confidnet,do0,MSR,rew2.2,4,4.757586423302807,169.2133569726455,156.6100744691845,154.40938767157897,139.75532506345428,166.96384062878664,154.05286929906802,92.15922309914365,291.6483388526678
confidnet,do0,MSR,rew2.2,5,4.125012354774096,167.9007812438518,155.92414993009936,154.80039577506955,139.09027788062605,166.32293336060795,152.5648290214357,91.75613032011118,288.7033215361768
confidnet,do0,MSR,rew2.2,1,4.79222840010334,168.38821890363386,153.85004716803536,153.0456678165688,137.69844778076805,165.92018347255657,152.8770325787257,92.57657680691791,287.96802750857927
confidnet,do0,MSR,rew2.2,3,4.359351859630907,168.97458315454517,154.42424301474,154.36731657294828,138.73206854673202,167.11480238230882,153.53717297995794,92.9383743801892,290.65172760209936
confidnet,do0,MSR class,rew2.2,2,4.147777790411459,168.32570314956195,154.20368554800834,152.6547920756367,137.35613939485174,166.68954921638783,152.5438555577949,92.14544371179792,290.7362159226141
confidnet,do0,MSR class,rew2.2,4,4.780438267397889,168.38187133626613,156.5289731008306,154.74984956973964,139.96409040891953,167.66084421280647,153.00279237509085,90.57803211942895,290.4759881865119
confidnet,do0,MSR class,rew2.2,5,4.145975309913208,167.32693361635606,156.54776854591043,155.4936879197667,139.66086731962287,167.00610567053116,151.63502756671028,90.86424092706032,288.22628500226887
confidnet,do0,MSR class,rew2.2,1,4.798611106784343,167.71721764632184,154.07186527390877,153.63258744008226,138.13964023962765,166.69766403276887,152.53863173552685,91.3538999978865,287.50178905109715
confidnet,do0,MSR class,rew2.2,3,4.376067906641563,168.32423262947964,154.45012051736126,154.63559872993864,138.87826080363544,167.05073107615988,152.19499023804053,91.62790357703716,289.7437736705636
confidnet,do0,PCE global,rew2.2,2,4.1990493977064025,168.88180046023956,153.78468593469938,151.84809850290287,136.6694834268971,165.9322556722669,152.33728529340485,93.0571493362312,290.85996200469083
confidnet,do0,PCE global,rew2.2,4,4.777141983025003,168.97328223977482,156.1634573728702,153.883001219495,139.2447984240676,166.57540166868972,153.51711534863708,91.80422136083476,291.4526800521372
confidnet,do0,PCE global,rew2.2,5,4.121580259239029,167.62660817408232,155.43250132189397,154.2698717764723,138.55544273921748,165.90727766256882,151.99054552146663,91.4386381743837,288.4044192459895
confidnet,do0,PCE global,rew2.2,1,4.78588271946905,167.88228987314366,153.23427103065384,152.37355949461963,137.06508750816792,165.22330891548935,152.14242165162085,92.11383041887052,287.5941676399321
confidnet,do0,PCE global,rew2.2,3,4.371574085576059,168.6477987155909,153.78768595604402,153.69221167408725,138.04346736194876,166.6040633313611,152.77561627285485,92.50457141349314,290.29726735794026
confidnet,do0,PCE,rew2.2,2,4.205172854545204,168.9641967464916,153.83494870044734,151.8968652599718,136.7231992009936,166.08518480714145,152.4601317277928,93.13196952755156,290.8572408677754
confidnet,do0,PCE,rew2.2,4,4.774956794180778,169.0335151532356,156.2011867372557,153.9337150666991,139.2942674874434,166.6836903125355,153.5915772754165,91.84928828909324,291.4777510733722
confidnet,do0,PCE,rew2.2,5,4.118308651127639,167.68909059512524,155.47507247279165,154.33135764063798,138.61501146077043,166.04185678248604,152.0660648619733,91.46012141310024,288.4093663380855
confidnet,do0,PCE,rew2.2,1,4.796055560336552,168.14319324259515,153.35544810042634,152.49717212069584,137.17661110905834,165.56997194838056,152.33311663525862,92.28850569334104,287.67061837864617
confidnet,do0,PCE,rew2.2,3,4.362722233786674,168.7063706388285,153.85694607198013,153.77029981587603,138.12026161998176,166.7552364736975,152.868844355837,92.54122025870475,290.3276321400237
confidnet,do0,PCE class,rew2.2,2,4.1590247023794085,168.1034263379622,153.69737753782485,152.1284230916298,136.81096892173184,166.38602059583377,152.1577534460943,91.8757752981044,290.7213922199128
confidnet,do0,PCE class,rew2.2,4,4.795882714647127,168.1844603726149,156.1237577622068,154.28969131497334,139.51585012218214,167.36277501604565,152.54237471874944,90.27579457303402,290.2549091437097
confidnet,do0,PCE class,rew2.2,5,4.141679013025876,167.1093012134166,156.09022741422956,155.01756037964958,139.17894833118743,166.71086779149917,151.15140098489107,90.55726450532396,287.9470774898349
