model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR class pred,rew2.2,1,53.15038887210864,210.0516600023592,221.47049651231697,238.60886030362155,215.9711207632119,214.8239887498409,209.53129722368956,145.08925253603485,336.9546855505215
confidnet,do1,MCD-MSR class pred,rew2.2,3,53.20433331304472,210.6464507557486,219.6655063703407,223.3810828814568,208.1014222604853,215.19363019017845,208.0635579157345,144.98596883836814,337.9923610232221
confidnet,do1,MCD-MSR class pred,rew2.2,5,52.07348765397263,211.01596944582016,223.0517969296209,231.6890574909143,213.06445757199367,214.6648868967561,205.29843637415948,145.74499040152077,342.9365614337531
confidnet,do1,MCD-MSR class pred,rew2.2,4,53.52365433598364,210.89597022748197,206.18716895561005,214.01231786021555,196.65447591151616,216.0409420495387,209.1766027861417,146.78358783352024,338.8546761574695
confidnet,do1,MCD-MSR class pred,rew2.2,2,54.03036421627379,211.45521442968945,215.65006707750464,230.14271357969525,209.2078649394664,216.05032143099652,208.3012540947604,143.80643702235008,340.33115924159466
confidnet,do1,MCD-MSR class,rew2.2,1,53.25541357136778,210.14821727682428,220.16156688591565,236.6331860228078,213.97411737341625,214.2231528284912,208.367217423236,142.7318464174149,335.3815003116908
confidnet,do1,MCD-MSR class,rew2.2,3,53.27374072759752,210.66613607321275,218.08059484843093,221.42979907184696,206.0552209972813,214.73117395641748,207.27642456528156,142.93116970412152,336.5750518509091
confidnet,do1,MCD-MSR class,rew2.2,5,52.15821603894277,211.1240864482928,221.1500949156192,229.50460121694567,210.781025122332,214.2361570145329,204.1919810064853,142.93939292831797,340.81562746931814
confidnet,do1,MCD-MSR class,rew2.2,4,53.52855555992574,211.01452112501775,204.7406139876973,212.19713353127727,194.58892604747837,215.49692847127417,208.3723434285546,143.93478809806965,337.4148418534974
confidnet,do1,MCD-MSR class,rew2.2,2,54.11331482605117,211.4231966014096,214.32130405121933,228.10172932150925,207.18229015905624,215.39230249018516,207.0256265271973,141.48726319916645,338.60145645395323
confidnet,do1,MCD-MSR global,rew2.2,1,53.26273460614337,210.0532159453733,220.35460906793756,237.15959324122025,214.5622929403492,214.50074867047869,208.54479497838932,143.4226627888316,335.73487183737336
confidnet,do1,MCD-MSR global,rew2.2,3,53.26146914553182,210.6354561836204,218.13354033284563,221.5801120724566,206.08623068057315,214.88850379962764,207.31649800822487,143.69849550293563,337.3701722011549
confidnet,do1,MCD-MSR global,rew2.2,5,52.20526546478585,211.0225871143683,222.043539855739,230.55472208464136,211.8508411679761,214.39120836373596,204.385424762416,143.9641079615105,342.31718879617307
confidnet,do1,MCD-MSR global,rew2.2,4,53.56281483730224,210.86097543570264,205.2899183183636,212.91339705979863,195.3218511754397,215.6997880364308,208.1591710752296,144.78663468139712,337.944603602456
confidnet,do1,MCD-MSR global,rew2.2,2,54.11657406619148,211.42207031608052,214.84784703235368,229.2649927807665,208.13967042943543,215.7238855637444,207.47454407501263,142.49552849938917,339.51262985139954
confidnet,do1,MCD-MSR,rew2.2,1,53.47254943254585,209.42753495458388,217.1850847880337,232.38638297886092,210.7251413468728,213.6682861094484,207.92169810189,140.36920819671897,333.6283144618976
confidnet,do1,MCD-MSR,rew2.2,3,53.29181482950824,209.9213370924637,213.80889815448464,216.8679560834364,201.5932339618329,214.14332421931212,207.321150809654,140.55477548393318,335.3687018417222
confidnet,do1,MCD-MSR,rew2.2,5,52.39773459462353,210.17283796951835,217.35361033290445,225.05949144733432,206.92134387642085,213.52415383991223,203.58933551395407,140.8710887884077,339.3825049538527
confidnet,do1,MCD-MSR,rew2.2,4,53.80556788207873,210.32962151170935,202.79839786445856,209.6418691405991,192.47625754455643,214.7143198939613,208.12069951723907,141.59157945770227,335.7531127587955
confidnet,do1,MCD-MSR,rew2.2,2,54.31867284658882,210.8638926275006,212.32117820934303,225.169951609652,204.81066616926503,214.92547988199732,207.2011437300745,139.5083145397246,337.37090754504453
confidnet,do1,MCD-MSR class avg,rew2.2,1,53.52077161667452,209.9976779738071,220.92352839056983,238.12048216531085,215.3316998602608,214.99602805944951,207.94996408899095,143.6383717146156,335.8895386782442
confidnet,do1,MCD-MSR class avg,rew2.2,3,53.5039506494205,210.74087930389257,218.40849976805808,221.92367565718325,206.376992411845,215.45981323245695,206.65345226132104,144.05950749696868,337.3610097173476
confidnet,do1,MCD-MSR class avg,rew2.2,5,52.47114197427516,211.23167671782437,221.22812702135235,229.7243598469568,210.963197947792,214.7705740671148,203.92212500650848,143.88559451581818,342.47003042955896
confidnet,do1,MCD-MSR class avg,rew2.2,4,53.7667160785681,210.9002842422434,204.5691565037993,211.8915158827756,194.57716665362256,216.15060194581056,207.5120477072834,144.6904770311663,337.7066930579279
confidnet,do1,MCD-MSR class avg,rew2.2,2,54.37687039895616,211.6452185043985,214.6958776936789,229.235071290613,208.11268451426312,216.25810189741287,206.97069023466705,142.19545693350764,338.9598857005405
confidnet,do1,MCD-GEN class pred,rew2.2,1,53.62490742616097,209.8085385459171,220.6734832728245,237.9122731546636,215.2344376270885,214.70517099569025,208.9015343430112,144.64081080322794,336.43148876958026
confidnet,do1,MCD-GEN class pred,rew2.2,3,53.492481451341725,210.29271049013465,218.6088491691312,222.2708261431839,207.0078822769251,214.94326972020235,207.33130607277323,144.43022007531096,337.47772795395554
