model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR class,rew2.2,4,146.39143399976794,271.38254992372885,242.40684659773703,255.48591580714407,237.98009204213255,274.66350500462664,241.3922415310445,184.108369187744,376.2956466236601
confidnet,do1,MCD-MSR class,rew2.2,2,145.10345783201325,270.7758008054223,271.46519916730995,286.445890205806,269.2250514700418,273.5658963237533,247.82053112300488,187.94578987895864,376.77814345604975
confidnet,do1,MCD-MSR class,rew2.2,3,147.4745747564073,273.8493935746251,259.929533267194,274.61271500803616,253.6997883073225,276.26697143342005,246.26779132132245,186.0753435364083,379.4759374462579
confidnet,do1,MCD-MSR class,rew2.2,1,146.84611689433953,270.2908826773186,256.7770796328682,273.774590432002,253.4290461015319,274.9948516199023,247.32877840441532,182.96208701512495,374.7047677876189
confidnet,do1,MCD-MSR class,rew2.2,5,143.33511004571986,269.03454657125656,261.2264818558578,280.798757431713,258.96663358787225,270.5034208393381,251.8001782439903,183.09421577407247,363.5628834511005
confidnet,do1,MCD-MSR,rew2.2,4,146.94543734828935,271.83051986603834,242.9828768078324,256.0670727079856,238.5986950773074,275.1512291216933,242.1875683999237,184.97869846006617,376.2454214561411
confidnet,do1,MCD-MSR,rew2.2,2,144.7869453241891,270.93027463032377,269.1885585072574,284.286798604038,267.26539074055603,274.3560686570117,249.18595043318868,188.48014389647335,376.1434108953594
confidnet,do1,MCD-MSR,rew2.2,3,147.6948964523063,273.8355840075035,259.25702498901745,274.46487495515447,253.4507992358677,276.5275533422235,247.45698726572996,187.43593959744464,380.0045280580234
confidnet,do1,MCD-MSR,rew2.2,1,146.90785871367828,270.88217842346694,258.3996433204579,275.8420914116292,255.2086071960879,274.7751300358198,247.5757447879692,183.7047782012912,375.2009400360438
confidnet,do1,MCD-MSR,rew2.2,5,142.91282821443298,269.34961014128453,260.70239959408195,280.42515910080505,258.6875206785448,271.57237466170415,253.3702979770455,183.2252414251656,364.0168709349799
confidnet,do1,MCD-MSR class pred,rew2.2,4,146.7613582066322,271.1621984318121,243.97160367229748,257.6263113374003,240.65525907712043,275.47969494287,241.6729181725666,187.13637795757649,379.3803688288335
confidnet,do1,MCD-MSR class pred,rew2.2,2,145.03201732258063,270.4040509151798,270.247281420847,285.3720646087622,268.43487723431497,274.4592642515308,249.22064828931585,190.6549540004354,379.3427036730107
confidnet,do1,MCD-MSR class pred,rew2.2,3,147.49841902785613,273.08479348291803,262.2488474247501,276.82772442773273,256.73202878621606,276.56464567960813,246.913253211634,189.3520873219854,381.90403786640985
confidnet,do1,MCD-MSR class pred,rew2.2,1,146.88946004278898,270.24048061965266,257.5218693645538,274.5403479727308,254.27893812375268,274.8114016815196,247.4143488319704,185.7472736931394,378.4808440928721
confidnet,do1,MCD-MSR class pred,rew2.2,5,143.09876566381996,268.8205309986686,261.20129834694853,281.19678629290115,259.65764594034914,271.7235771064145,252.77427381669835,185.604076144784,365.3689264424482
confidnet,do1,MCD-PCE class pred,rew2.2,4,146.95503423558245,271.0652622571936,242.45194789396507,255.73126687428956,238.8591999929597,274.99655734142004,240.05568836999345,185.6863789265822,378.9932155574247
confidnet,do1,MCD-PCE class pred,rew2.2,2,145.27083024969147,270.4436708041219,270.1360481118107,284.33730856229266,267.6758271683435,274.1249715521617,247.88379442333053,189.5218647527946,379.5424892009714
confidnet,do1,MCD-PCE class pred,rew2.2,3,147.56700256981557,273.05559501262724,260.90313694711193,275.1293416932871,254.9337467940247,276.0653167994923,245.48516593621912,188.1226543641804,381.6531707051726
confidnet,do1,MCD-PCE class pred,rew2.2,1,147.2721801076981,270.3300931819073,255.7409596107125,272.60991100600035,252.4465640982469,274.5668533378226,245.88465563543824,184.49818036072,378.1034951931837
confidnet,do1,MCD-PCE class pred,rew2.2,5,143.27150055128115,268.83976230546546,260.3036462743932,279.95414508095035,258.36888529565294,271.15906689166525,251.5397148493944,184.35960846347743,364.7267699427027
confidnet,do1,MCD-GEN class pred,rew2.2,4,146.9547383025845,270.764534227261,242.3679729393392,256.5431147855724,239.32827321862456,276.2410785710547,244.0426412749978,187.40153889317773,379.5642387640895
confidnet,do1,MCD-GEN class pred,rew2.2,2,145.27741315616228,270.30497949997573,269.7453256618871,284.2506710360764,267.4466191398436,274.6307282270312,249.113326873307,190.0494999886802,379.5706807279435
confidnet,do1,MCD-GEN class pred,rew2.2,3,147.54140162310458,273.03612953866246,260.84635953561485,275.29625599269065,255.04431317955653,276.35535232876185,246.5173470784839,188.4630195471456,381.81842141565306
confidnet,do1,MCD-GEN class pred,rew2.2,1,147.20766456566287,270.2411164726638,256.3429803180947,273.2032420141182,253.03884215964635,274.8258690901566,246.93112461713912,185.07364196039853,378.2846764664273
confidnet,do1,MCD-GEN class pred,rew2.2,5,143.41080349554923,268.80954961444183,260.1048542197943,279.6309507080506,257.99389012754625,271.2837562551077,251.8852228160282,184.31133542577413,364.7851073297824
confidnet,do1,MCD-PCE class,rew2.2,4,146.7865708354573,271.26006238894814,241.42116817331265,254.41481706959752,237.12921243897276,274.8332202345633,240.4511242840756,183.3738779574083,376.8151235904143
confidnet,do1,MCD-PCE class,rew2.2,2,145.3548908749004,270.6130115221439,271.3982593884704,285.6206746936996,268.70774787012857,273.55418283663374,247.21647892875947,187.39315775247735,377.825955827141
confidnet,do1,MCD-PCE class,rew2.2,3,147.6072762637089,273.6569977508801,258.9778536975837,273.4435533591066,252.5634560517397,276.21040587628454,245.29512399220332,185.41641604415716,379.6890344103372
confidnet,do1,MCD-PCE class,rew2.2,1,147.26333209202917,270.22272560583525,254.971203079557,271.9883934828636,251.821599495263,275.17804802088875,246.50270375826327,182.35779798481656,375.253336029497
