model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,GEN global,rew0,0,15.072743987897413,222.2542491279285,244.9997066824204,250.6345475693591,228.88529081923448,247.21370438525256,224.2872024893042,111.3403885488773,441.4561461465991
modelvit,do1,GEN global,rew0,1,14.36955598488243,233.8759496679072,247.5034493109832,251.23029132099236,230.53111663484864,249.7108542889611,223.0475118237198,116.16569812330958,459.46332085918414
modelvit,do1,GEN global,rew0,2,15.79415234232632,248.87860876377783,257.34462030334055,261.59772084508484,245.22836746344075,265.18955396321275,232.10144193111591,127.76361109423884,454.2024308958245
modelvit,do1,GEN global,rew0,3,15.766543351191403,227.09561266234795,245.8625714033113,256.8189825849541,234.1024808506968,248.2254157057484,222.7214673055269,109.9042002072714,447.9958079911541
modelvit,do1,GEN global,rew0,4,15.048234808620894,227.9738108819704,246.09075153563143,257.2470211310168,235.8250179335136,252.1101524693236,221.51031303842475,113.3511602185559,447.18171981764726
modelvit,do1,MSR global,rew0,0,15.330577683945496,221.02503187461988,244.16428187813284,250.7130084240075,229.1425177955902,245.73502691180923,225.1347924290239,108.1936027403373,441.55080243704606
modelvit,do1,MSR global,rew0,1,14.863415644090209,227.48369742263495,243.30685487547865,249.00786112779545,227.81022513497496,244.9222905607784,220.53038795859325,107.81366793701726,455.90857834161216
modelvit,do1,MSR global,rew0,2,16.206129926334448,233.61348083062165,245.99046327920644,253.93456009062848,237.23073218926305,252.25330962448484,220.89758206414524,108.52487193673812,439.5007926235859
modelvit,do1,MSR global,rew0,3,15.93846078015243,226.18219512292077,245.76978808521395,258.01166741930194,234.7866324843889,247.33856396025524,223.7935407921568,108.79141210328106,448.71995218207127
modelvit,do1,MSR global,rew0,4,15.557419278245009,224.22062594461283,244.3908549930326,257.1993808123458,235.5354589459092,249.90973404037692,221.0362341940913,107.79977087839308,445.8199529350594
modelvit,do1,REN global,rew0,0,15.952923075787515,218.64374924642655,242.51016679987623,247.28989864992985,225.5813847315177,244.45970341675013,221.26995007135324,108.5763263408338,437.93593095448375
modelvit,do1,REN global,rew0,1,15.119486962626173,228.24569520316567,242.84231122717927,245.89993591603985,224.57389599213573,245.2802533360508,216.61036784790213,112.38998127665184,451.97236817381406
modelvit,do1,REN global,rew0,2,15.808139270766535,252.21245290100572,258.9566694869464,259.1468385326607,242.77851539254152,267.8048706416843,229.82197407269808,132.51665392832382,455.03277805317816
modelvit,do1,REN global,rew0,3,16.000639946536268,258.9871177548934,266.6628882890975,254.00951588563225,235.76118543212183,301.122119390998,224.7751640217754,226.31582786949076,443.72637330524975
modelvit,do1,REN global,rew0,4,15.242809919718033,300.95291031848103,285.9024509389509,257.13806616216056,239.3482379731695,305.172269625156,229.9657400507844,283.1202536261672,459.1233994866898
modelvit,do1,PCE global,rew0,0,15.415364796916643,220.42864702105263,243.6505811134532,250.26436818268115,228.69664499306512,245.18410417433557,224.63787312562985,107.64334954620604,440.9061946581932
modelvit,do1,PCE global,rew0,1,14.922983203497198,226.8608118838452,242.77568428976207,248.503607116825,227.2802129152855,244.3171417748942,219.7524536349881,107.2576280141092,455.2601734959581
modelvit,do1,PCE global,rew0,2,16.286431666230783,232.9697014981774,245.39172162251404,253.47677370844943,236.74300963646968,251.6272819109508,220.26188037407437,107.939978241695,438.7057661994915
