model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,GEN global,rew0,1,16.342606460235803,287.02598834248687,260.5982058448911,246.3166749150137,215.58756606328268,247.0333599697414,211.5325706963183,120.6885547506187,435.8053372137298
modelvit,do0,GEN global,rew0,0,15.882524415960589,285.72269842943786,268.86137074205914,267.3301879456713,217.0324905606385,246.08268966127216,213.0434249996445,124.5549489883376,440.8106008522897
modelvit,do0,GEN global,rew0,3,15.565321684000082,285.4420233824023,268.880811069081,253.19172174946507,214.2503023883953,250.41401525734724,212.65579474970045,122.4753548701332,435.38497198807977
modelvit,do0,GEN global,rew0,4,15.475844905931606,297.60312093614453,262.86509621059287,242.49640210892497,216.88269587290344,250.53200299811775,218.3449062675674,126.6246328622718,451.1704482389408
modelvit,do0,GEN global,rew0,2,15.453720499586778,286.03238621906166,254.8303402216589,248.4155745973364,214.10023153627824,248.28694736102744,214.21889349363556,120.78947776991056,439.64253711753565
modelvit,do0,MSR global,rew0,1,16.47995682112459,287.3775899316182,260.4725287747692,247.4143450230969,216.28425624911392,246.4986715550464,211.2522517009515,119.629399990091,435.7123592049066
modelvit,do0,MSR global,rew0,0,15.967058778223064,285.0650954871661,267.95636827645336,267.8689004601458,216.9138629261492,243.90900313497767,212.10403912159435,120.26376028076648,438.748885723656
modelvit,do0,MSR global,rew0,3,15.635618409969744,285.19665375389087,267.8919879400361,253.88578280312424,214.5253327197448,248.71176965759076,211.45432786363787,119.65349518147288,433.0774331375829
modelvit,do0,MSR global,rew0,4,15.465724677241976,295.2659494589432,258.9402548827387,242.22384832839407,215.7622276649261,245.9599919951735,212.63997244865752,119.22061433820996,444.3930678228707
modelvit,do0,MSR global,rew0,2,15.556632957395374,285.8369870017657,253.41249117353016,248.8924816538473,214.28370005285743,246.5743793677328,212.73015939853752,117.24521864592356,437.00378620147967
modelvit,do0,PCE global,rew0,1,16.499359959451894,286.9063032220333,260.12846486044424,246.93354268727117,215.76209277954493,245.90729383236135,210.62999666760453,119.0414449492122,435.02628769038006
modelvit,do0,PCE global,rew0,0,16.02148558760786,284.5758368195678,267.5120884642278,267.2954303989504,216.3037597573767,243.2757705808469,211.4281616784702,119.65283987577222,437.95952002764585
modelvit,do0,PCE global,rew0,3,15.740311692339471,284.74827748636056,267.49019855639574,253.3942703217569,214.00284709609764,248.16898311324056,210.9133794963816,119.11220810288606,432.4584142706564
modelvit,do0,PCE global,rew0,4,15.544073418047953,294.7805025332556,258.5159637440802,241.6933923422361,215.244305843246,245.36286233203617,212.03088069913625,118.64041893080808,443.68934191989774
modelvit,do0,PCE global,rew0,2,15.639991394813276,285.3855956250869,252.97313529003955,248.34403536537752,213.7395579982504,246.00847977754853,212.1256154897343,116.69614575352313,436.31905259607777
modelvit,do0,REN global,rew0,1,16.82962674946369,285.9956308451758,261.4320161634253,244.20604712454968,213.3933181548842,250.79625274744052,215.7816345243326,127.42732812682658,433.7313784279287
modelvit,do0,REN global,rew0,0,16.19589447682827,293.22505663095654,273.5486823176488,266.1516129156514,217.94451006534655,252.98034403287585,216.82451627563412,156.5154789848255,442.6052961852312
modelvit,do0,REN global,rew0,3,15.890424670664489,293.0237682303026,285.74417383833816,251.97828700750475,213.35642414787088,299.02632894101663,240.4756508379253,237.83707330258108,439.7620177734659
modelvit,do0,REN global,rew0,4,15.702499749184224,296.9334712459119,265.6172518232871,238.1626471003076,213.84911668089387,252.46265149298145,214.6380180873366,138.05531187945166,447.2218226439924
modelvit,do0,REN global,rew0,2,15.639599905271702,360.8820011862797,359.5299931115529,259.16531337468444,231.29353415487148,366.6448064376253,294.2850722312439,397.24101569354445,541.2463026951699
modelvit,do0,GEN,rew0,1,16.83867886493034,283.24209283456656,262.7130729264451,249.4524247258253,216.3779401606751,250.8592019562575,211.53032098799025,122.1138364644161,435.7960245763965
modelvit,do0,GEN,rew0,0,16.611079968667276,282.4218636651608,292.18776656244654,264.8020839906147,217.6882732606686,250.8490804628861,212.0554616875413,120.58379971035224,439.4882316829293
modelvit,do0,GEN,rew0,3,16.095006424299854,278.0689895641068,274.01329582009464,249.8669267637335,216.17860322342256,255.915195004017,212.6067990465528,123.0909839890316,435.6215822209783
modelvit,do0,GEN,rew0,4,15.79325593672305,292.68285809112143,272.1564304133165,248.03241256688293,222.398082252848,257.9004695999603,222.98858908275116,129.49511309515233,454.9658381105514
modelvit,do0,GEN,rew0,2,16.157438203433735,281.65322980436326,260.64723843649614,246.93972408443807,213.37388292660032,248.4788636384136,211.31001239951888,116.45619440594142,435.8780346703092
modelvit,do0,MSR,rew0,1,17.02109592475204,283.4311786837296,262.5203671204488,250.79825465076505,217.1358672304941,250.373082564376,210.48379479368532,120.61762421774012,435.0282348367829
modelvit,do0,MSR,rew0,0,16.796138732422452,281.7294495710178,292.2107684931944,265.0129199178686,217.66807426659216,249.40649456343976,210.37470221680613,116.94589583641168,436.8821099091837
modelvit,do0,MSR,rew0,3,16.257424075389284,277.3599071201262,272.7690724358731,250.26134815248008,216.1537243130859,254.41252822575933,210.04216553633225,120.00521902807212,432.09687629331086
modelvit,do0,MSR,rew0,4,15.777575247817571,287.3862368213085,266.3779469909411,245.42133277974165,219.0386336189155,251.35088826330383,210.8878098359148,118.74659683443129,442.7775019075534
modelvit,do0,MSR,rew0,2,16.163838279847468,282.1764218368779,260.7328719989831,247.65297926635492,214.06224688441887,248.67487208848195,211.4853287036269,116.18580746185653,435.8019220821024
modelvit,do0,PCE,rew0,1,17.05412782035354,282.97523235818335,262.1616497330025,250.3589328945308,216.6399070302141,249.84014594271548,209.9067077789459,120.08090237356213,434.3861144993289
modelvit,do0,PCE,rew0,0,16.878794227972524,281.3108532426198,291.82010114810504,264.5123994601332,217.1484670989754,248.8770677462836,209.78572967458524,116.41007465161844,436.1911203441909
modelvit,do0,PCE,rew0,3,16.361964701817165,276.9171227058574,272.3973485483878,249.8106567316758,215.6785801617036,253.94187478318247,209.51182165575509,119.49231192595325,431.4815931157293
modelvit,do0,PCE,rew0,4,15.861602373395325,286.9621223074366,265.99747516373503,244.9642205244447,218.5651296724448,250.845541376227,210.3291103615944,118.20082542803848,442.1585072865104
modelvit,do0,PCE,rew0,2,16.230660660658028,281.6940708924353,260.2534685183813,247.06603789323583,213.50055535388597,248.11151417036456,210.8585606940111,115.63051920868295,435.1050621041169
modelvit,do0,REN,rew0,1,17.07507591262563,282.49873668310204,264.14209512487366,246.57899755245012,214.2054807627025,253.03001551821785,224.6229022246648,127.8997419346732,436.0774033385193
modelvit,do0,REN,rew0,0,16.967396520233404,289.04955110144925,294.53906695531265,264.28246595775784,220.28276395424456,256.8785969401797,236.3040351293764,144.9291427161952,441.9899907339181
modelvit,do0,REN,rew0,3,16.314274193188695,296.60813582221806,314.0592063927222,249.95575071738745,223.33734210208692,291.0143634341793,288.17811633722675,205.48399257628523,482.0717482647222
modelvit,do0,REN,rew0,4,16.00620356688483,287.53011626433295,269.6437644446091,241.5535241109891,216.72952672550556,254.125098443384,218.4817753585531,127.49292907978844,447.0433926565495
modelvit,do0,REN,rew0,2,16.20468817831069,301.971886436598,284.2339610583121,247.1422890367128,215.10336736636583,269.2787132103969,243.93170823626025,199.7373814860823,484.5220388186857
modelvit,do0,PE global,rew0,1,17.28543886174965,286.0715149029379,259.8312241997126,246.48101005373772,214.80434734185212,243.38091517083777,209.24017188655407,117.11178113248718,433.36948279040826
modelvit,do0,PE global,rew0,0,16.7612311753522,284.0438095165528,267.3433039746995,266.0891153960652,215.04938050397192,240.69080347780096,210.1352026101474,117.58836982699556,436.1191610362416
modelvit,do0,PE global,rew0,3,16.53777334434239,283.608592770274,265.792268626553,251.9936703238048,212.9174144327097,245.6416598155492,209.52423070296103,117.23232972477712,431.0134708931658
modelvit,do0,PE global,rew0,4,16.203118839178284,294.3925187673412,256.9359524527437,240.7894782135924,214.26908266562,242.91652214858985,210.52493669121523,116.62932043427828,441.5249933288678
modelvit,do0,PE global,rew0,2,16.348414292106302,284.8414467130109,251.9570792984413,246.78406494310747,212.38117367305676,243.34140045793487,210.5725047826241,114.78450275994604,434.32392477417983
modelvit,do0,GEN class pred,rew0,1,18.027892229017905,282.3522011905965,254.11129261262744,243.0592755233149,212.8671079542998,252.77412064021576,209.5522206388294,125.24163613268018,435.00093074375474
modelvit,do0,GEN class pred,rew0,0,17.18280880420934,282.8937859739205,288.3773045112297,259.77490867997733,214.54258727825936,250.72759920559363,209.12489872195272,120.0680220254711,435.37984838658366
modelvit,do0,GEN class pred,rew0,3,17.377617147466584,277.12199310121946,262.6627279021853,249.2110468586644,213.67065433113052,255.0052295620108,209.6999066438574,125.08745415198744,435.27513600441887
modelvit,do0,GEN class pred,rew0,4,17.109584195474678,290.3679234891848,264.1726487866163,239.81492237768364,214.3386971537296,253.26777252544275,212.0113034155192,123.42557909555237,443.9636698988936
modelvit,do0,GEN class pred,rew0,2,16.48010823619552,286.5044904423726,252.65029960422564,245.4128090251768,212.81620637102424,253.14164435997176,216.4292812768705,125.04347864317587,442.98585755506525
modelvit,do0,PE,rew0,1,17.8798665879553,282.084993368282,261.9714250878497,249.992412086274,215.7216602864553,247.7296539463956,208.52432972941855,118.1955801111785,432.79350119967694
modelvit,do0,PE,rew0,0,17.87335095094103,280.5959129875994,292.3731426266965,263.16260787457617,216.13402884354,246.86473131163712,208.5633760935447,114.67026013121227,434.5710446280581
modelvit,do0,PE,rew0,3,17.299651473682992,275.9446210135053,270.9580711283768,248.72716714543245,214.9277599006454,251.97664488574227,208.1986687879736,117.77321046826624,430.19734074822713
modelvit,do0,PE,rew0,4,16.739862326312707,286.4945660571102,264.9087501226119,244.1771312453101,217.9196592102247,248.96927982872828,209.01096612956155,116.46649898169326,440.4608022199601
modelvit,do0,PE,rew0,2,17.09147251278369,281.14012849283773,259.50756453685176,245.5098561127644,212.2938453865563,246.015522916643,209.3602295600156,113.87040885221025,433.2302593075743
modelvit,do0,MSR class pred,rew0,1,18.56145722813542,281.99367125132505,253.46844461576583,244.76304724177152,213.12181669476783,250.3857430013601,206.81807471949048,121.3355326082584,432.0098708396421
modelvit,do0,MSR class pred,rew0,0,17.49845342958967,282.59679639684214,288.669107059236,260.0718401446736,214.6165673529096,249.1410981950012,208.32492808769547,117.1197979741654,433.75620462493833
modelvit,do0,MSR class pred,rew0,3,17.81362783068067,275.9173137285154,261.20722892421145,249.12644374857007,213.27254385070975,252.08221007407755,206.20545845113557,120.33596502889982,429.53228094169873
modelvit,do0,MSR class pred,rew0,4,17.415110900939908,289.6748835043582,261.9182627119472,240.1827154523052,214.21305761583696,250.25660141489408,208.11282416519717,118.95616693947152,439.3196799946135
modelvit,do0,MSR class pred,rew0,2,16.830501279082252,284.04503063778145,249.70683602793355,243.2712673987808,210.16343937693156,248.10126952203444,208.0699022754837,117.02365336297996,432.7269941297283
modelvit,do0,PCE class pred,rew0,1,18.57861737442565,281.83180602803,253.38581701425727,244.60254875423536,212.95076921983943,250.1363240451497,206.69309975550576,121.11029307011177,431.83512498975824
modelvit,do0,PCE class pred,rew0,0,17.536516330282513,282.4311048284489,288.5329868827964,259.8619488917204,214.4102184963086,248.8519620508223,208.1579229419326,116.8613064139814,433.56812108567794
modelvit,do0,PCE class pred,rew0,3,17.843750548031597,275.75437496366175,261.071111597364,248.92253091316508,213.0788952552131,251.8282920629845,206.0743427220445,120.07676865906204,429.3724051245627
modelvit,do0,PCE class pred,rew0,4,17.434030973242546,289.50583787408453,261.80611073211395,239.98019010906305,214.028267771072,250.01392568939468,207.957060409926,118.71013325274794,439.11773016342494
modelvit,do0,PCE class pred,rew0,2,16.854055557619883,283.887127851632,249.59709342268752,243.04616192957096,209.9561002364952,247.84253865972912,207.9125521540366,116.78067915402744,432.5359052094315
modelvit,do0,REN class pred,rew0,1,19.302035269922477,282.2146684866232,258.0039163000291,242.0931001418104,211.08277429861872,253.22036175320815,205.9581808401328,125.94390220673476,431.4176114375389
modelvit,do0,REN class pred,rew0,0,18.248906088087505,281.90011466656256,289.4715597032939,258.48335844022233,212.939410059989,247.9610782421296,206.7506739757704,117.10790855042042,432.4804571616617
modelvit,do0,REN class pred,rew0,3,18.239455490735253,275.2977489384615,262.02970266336115,245.82209105827425,211.33740887076505,253.7799009853833,205.5500818463368,125.03810746558348,430.76392904621
modelvit,do0,REN class pred,rew0,4,18.312712711049244,289.1669132357504,262.54755274198425,238.36677869629912,213.18625074589733,248.9825425791331,206.92431645481616,117.8976713591072,437.9936458366192
modelvit,do0,REN class pred,rew0,2,17.001673563396455,303.93688899518355,291.18951406629515,245.28875464374156,214.12343354809585,273.64318707944244,218.2978116929364,195.63460161595484,445.95073393164927
modelvit,do0,GEN class,rew0,1,19.82975521753542,291.01127013213426,275.7697485725529,255.64425171890963,227.35956284186608,255.23003662698497,221.44608298803735,127.76241767695343,444.6636796431605
modelvit,do0,GEN class,rew0,0,18.126564333189485,291.53302796996167,306.6668660868647,272.709813567732,225.1683479506701,252.1985931551288,215.94140605064976,121.04795829391388,442.6455378703761
modelvit,do0,GEN class,rew0,3,18.398527044492464,288.49249253303776,277.73396819055824,260.3076070732397,227.69504173244889,253.96721774995828,216.71650175418756,124.18249051430097,439.0965628331285
modelvit,do0,GEN class,rew0,4,18.35581044912235,304.68381910455184,286.8080176393951,253.2338497175674,228.199848456185,257.1697625534702,226.0234300033215,130.11502852645057,460.0473388318127
modelvit,do0,GEN class,rew0,2,17.969422518592584,297.26369556166685,267.1926235248732,259.374117764543,222.56089228808213,250.6894892466333,220.33121863396016,122.67762703761784,443.69149713700506
modelvit,do0,PE class pred,rew0,1,19.847725514477737,282.02956548685006,254.6533670231176,245.01186410049013,213.0036593407276,248.36951529718468,206.22875662065667,119.51927648029115,431.07569510983546
modelvit,do0,PE class pred,rew0,0,18.622641283811795,282.4946769752973,289.80541178164367,259.24477713011566,214.1729493708751,247.02253065351303,207.6948559565785,115.39968404621362,432.86363730634383
modelvit,do0,PE class pred,rew0,3,18.942723142992083,275.610171771622,260.6549827919878,248.28320263525632,213.12634289385824,249.962638860254,205.59612601093067,118.46866668903505,428.7861647395913
modelvit,do0,PE class pred,rew0,4,18.404318012426504,289.9235817998596,261.4286324360592,239.79021572703505,214.1471992873217,248.26433633697448,207.3839818922432,117.18220776636204,438.1114926005598
modelvit,do0,PE class pred,rew0,2,17.810183635343694,284.40939936825686,250.1904660073191,241.9758515951277,209.37298628371968,245.6762100057192,207.27243650377892,115.39336398256386,431.6138517887181
modelvit,do0,MSR class,rew0,1,20.14349879125237,288.3645119439984,272.9021355772152,254.9645262445715,225.80757506752803,251.9816956728048,214.14866657847747,121.08507325482172,437.9961699293795
modelvit,do0,MSR class,rew0,0,18.325286733555718,289.4875087509397,305.1905895837873,272.28907970123873,224.54482157382932,250.31593919647204,213.56183684181295,116.76938004338932,438.0415376751918
modelvit,do0,MSR class,rew0,3,18.59170802418764,286.42893405128183,275.5230531991993,260.1927005824991,226.99321807369884,252.08918823277747,213.004083290954,120.06216547022744,433.31759882805056
modelvit,do0,MSR class,rew0,4,18.51260802628369,298.6568016946392,279.7251220165349,249.1348025925664,224.0962575609683,250.70795130101536,214.9819385328309,119.74556850884798,447.9250985546439
modelvit,do0,MSR class,rew0,2,18.220372540604632,294.02472148056097,263.05770848475527,258.6983899874193,221.3125921653734,247.7263950392168,214.79751219074868,116.6076854411012,436.9092262310642
modelvit,do0,PCE class,rew0,1,20.17620312621714,287.9940173240846,272.6090691787317,254.53727868372667,225.36374179760867,251.49096790178223,213.64058564343628,120.57896526783458,437.39342003247015
modelvit,do0,PCE class,rew0,0,18.383694499627584,289.0552457221192,304.7880593036521,271.7947374916426,224.0399888241375,249.77482416015803,212.9698597735932,116.23247532046663,437.3623835119553
