model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR,rew2.2,4,218.89070295184723,509.2355664437145,376.2399011450896,411.4275747407676,376.963336479545,500.6199489169791,380.5208706353306,311.5037073058601,659.6659025333067
confidnet,do1,MCD-MSR,rew2.2,2,214.3522172858222,503.06411072254207,447.5345571578062,489.6937637259488,452.81292525008377,501.2526409247665,402.7136663156114,314.0793741252036,658.520728377404
confidnet,do1,MCD-MSR,rew2.2,3,219.85348570142656,518.5518683502982,421.9574851554712,469.4010417272785,419.8465367487525,509.3069501184131,394.2456439434417,311.1017204276513,673.2388712315384
confidnet,do1,MCD-MSR,rew2.2,1,218.06499901218697,508.9997072726786,416.8605853942476,464.6239416935444,418.8457465110302,502.6964146291231,399.6058635496003,299.30660244930345,657.6858750186917
confidnet,do1,MCD-MSR,rew2.2,5,210.39584268647903,500.0807046794367,426.7164635838893,483.3580085474578,432.7113636227973,490.7196944306789,412.1026502442207,300.0894700743144,618.1751540514692
confidnet,do1,MCD-MSR class,rew2.2,4,217.95774834476805,507.2342604220461,373.9322062369002,408.9922751791016,374.1025846681993,497.09294819696,376.1577454184495,308.7711556358909,658.8039290415546
confidnet,do1,MCD-MSR class,rew2.2,2,215.72799901522768,500.97061808717535,456.6076828540776,499.0314174068533,460.8041881640045,496.56838851892286,395.8724193094371,313.30876298627066,660.2213884695223
confidnet,do1,MCD-MSR class,rew2.2,3,219.99370717273385,519.9115209818148,423.5738642345188,469.3180780893002,419.54308367895567,506.9894236641743,388.4362309476299,306.1739915776292,670.3749727399523
confidnet,do1,MCD-MSR class,rew2.2,1,218.3569187479756,505.7313858672404,411.3985945587559,457.3404833836072,412.4860921483162,501.7444855474453,396.2170491309812,296.3205771405716,654.7375380832525
confidnet,do1,MCD-MSR class,rew2.2,5,211.3609567275853,493.9641648609264,427.8557809806923,484.0742884889168,432.45047769172777,483.6449118309254,404.8810131798065,298.75596530901515,616.3405804130089
confidnet,do1,MCD-MSR class pred,rew2.2,4,219.0261968347029,509.8118779829206,376.8937926418504,412.900899792258,379.0990975174376,499.9232456892089,376.6705027139905,316.76080144786334,668.277215991242
confidnet,do1,MCD-MSR class pred,rew2.2,2,215.55685880387992,502.8269521729186,452.03625167431227,494.1792919760368,456.76690121715984,500.1365253674892,399.4042477877426,320.4197970762476,668.3120802834615
confidnet,do1,MCD-MSR class pred,rew2.2,3,220.3039432166574,518.3849884531677,427.61477574200967,473.026587064488,424.81324532845554,508.6352144721892,389.9873672594042,315.6198481950406,678.2206099758525
confidnet,do1,MCD-MSR class pred,rew2.2,1,218.5636406106194,509.06574085784615,413.6066488655133,459.9260805853647,414.8270411948624,501.1695142130087,396.1008796180979,303.98097770615624,666.4664758968814
confidnet,do1,MCD-MSR class pred,rew2.2,5,211.1247319951116,499.34597478127966,427.6463229759788,484.7763721557039,433.5862295037675,489.5149435835629,407.1979220521713,305.65111603833043,621.6581066926307
confidnet,do1,MCD-PCE,rew2.2,4,219.62556795085013,508.7522947010248,372.3819242900992,407.3080076275269,373.3378342303936,500.3136741940895,376.58530537259367,308.8205335281949,661.0155768716749
confidnet,do1,MCD-PCE,rew2.2,2,215.1619754735237,502.66979316761785,447.3282394749898,487.525375176583,451.3556933471639,501.1618132641573,400.08401127685136,312.30706736946814,661.2380021032234
confidnet,do1,MCD-PCE,rew2.2,3,220.31841409177736,518.0292530455804,418.88368593482414,465.8276721433568,416.0746334651695,508.85223003520895,390.8460258434666,308.9059376045009,673.751943899324
