model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,PCA RecError class avg,rew2.2,4,0.4055355370375721,0.5965351015004413,0.2080764165931156,0.2928919240953221,0.2279252968619045,0.4299222506619594,0.1324296910856134,0.1288133399685764,0.1399409837630758
confidnet,do1,PCA RecError class avg,rew2.2,2,0.3604951765059209,0.5629488291413703,0.287650763226366,0.3286454032957502,0.2854961432968677,0.4074293842150911,0.1536207545533391,0.1432675782571521,0.0903507678320791
confidnet,do1,PCA RecError class avg,rew2.2,3,0.3993852058477752,0.570277914219612,0.3586952482648158,0.3899730379071009,0.3522522972527683,0.3703576793023669,0.1719658480156611,0.1482207183328095,0.0998173883597807
confidnet,do1,PCA RecError class avg,rew2.2,1,0.3667529786525223,0.5353741681109185,0.2883709878682842,0.3505537608318891,0.3016985858468171,0.3666006412478336,0.1402839081455806,0.1770021325761765,0.0462421500427683
confidnet,do1,PCA RecError class avg,rew2.2,5,0.4692033204976047,0.5933129118509575,0.3777846213558737,0.4190871312747973,0.359676119542176,0.363810229429015,0.1267133862342591,0.1442483547983366,0.1184728825678542
confidnet,do1,KPCA RecError class avg,rew2.2,4,0.4261460215797367,0.5066709179170344,0.2548426831421006,0.3481391085613415,0.2715564093245418,0.4581929744042365,0.217801253309797,0.1935291981997208,0.1648331220831608
confidnet,do1,KPCA RecError class avg,rew2.2,2,0.4737679764153547,0.6180689679098005,0.5538304249783175,0.5749028447528187,0.5413723692425799,0.50688710320902,0.3191408846487424,0.2571820505249949,0.2283656055313335
confidnet,do1,KPCA RecError class avg,rew2.2,3,0.4705535820048206,0.572525306994127,0.3408936198611852,0.3861745951236874,0.346796936963075,0.5221189980423563,0.4147537818117102,0.2515644425764156,0.3659186236540721
confidnet,do1,KPCA RecError class avg,rew2.2,1,0.4265222290015759,0.5156739601386482,0.3754136915077989,0.3782467764298093,0.3500378563903897,0.4537160138648181,0.237803596187175,0.2147675215408631,0.1176277377316706
confidnet,do1,KPCA RecError class avg,rew2.2,5,0.4252060751493305,0.5206404433327583,0.3133847679834396,0.3792354234949112,0.3226254766181097,0.5699615922028636,0.3456109366913921,0.2218664551363691,0.255238172251527
confidnet,do0,pNML class avg,rew2.2,5,0.5540632756586448,0.5236359343263373,0.5395361712931619,0.5739062880839539,0.5445752613841746,0.520201624915369,0.6600553994583616,0.6514000129647503,0.6920586893418819
