model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,KPCA RecError class avg,rew2.2,5,0.2451219794341373,0.331970971563981,0.0994603672985782,0.135373518957346,0.1353347500137496,0.4344857989167231,0.211824432972241,0.2380835338067868,0.3300321593932201
confidnet,do0,KPCA RecError class avg,rew2.2,3,0.2466676169161618,0.34033125,0.2024009181266846,0.2388510697439353,0.2509418767507002,0.4437585242587601,0.3328080188679245,0.3045222025482212,0.5011618210253771
confidnet,do0,KPCA RecError class avg,rew2.2,1,0.2714080906076022,0.3548156872852233,0.2444402405498281,0.2611133676975945,0.2687423835513587,0.3693109278350516,0.182072293814433,0.2760307602788135,0.3449626365224297
confidnet,do0,KPCA RecError class avg,rew2.2,2,0.2926542455298647,0.3704505302771125,0.1440827830995552,0.1312632654806705,0.1377611064952837,0.4258411392405063,0.3712285665412247,0.3429073919731744,0.2964334134351026
confidnet,do0,KPCA RecError class avg,rew2.2,4,0.2770101162857772,0.3562581438751273,0.16966940108585,0.1940273922633186,0.1915624206927426,0.3750861808618935,0.2098296572785883,0.3307972917524012,0.4966470979884537
confidnet,do0,PCA RecError class avg,rew2.2,5,0.3773097369821984,0.3723312203791469,0.2045301455653351,0.2151432464454976,0.2376461010944662,0.4383323290453622,0.3500224102911307,0.5455887437156974,0.5690977368253395
confidnet,do0,PCA RecError class avg,rew2.2,3,0.3601595785149117,0.4194846276954178,0.3276255475067385,0.3070442975067385,0.3441786431553753,0.4516122136118599,0.4168390835579514,0.5134121527976907,0.572841822712084
confidnet,do0,PCA RecError class avg,rew2.2,1,0.3948056881105659,0.4485040206185567,0.2471868642611683,0.2262351804123711,0.2601503941782899,0.5036134450171821,0.1781885481099656,0.4159683684287489,0.4755487925777842
confidnet,do0,PCA RecError class avg,rew2.2,2,0.4249519131880166,0.4236823982210058,0.2811608450222375,0.2112848528908655,0.2560476794207248,0.4901192781388984,0.2974514967499145,0.4730352844765045,0.3862869879509332
confidnet,do0,PCA RecError class avg,rew2.2,4,0.3926930137714808,0.4037760773668137,0.1651791822192059,0.1451889972853749,0.1649723737475988,0.4527598065829656,0.1747795045809297,0.3870655667381422,0.4382508605993322
confidnet,do1,PCA RecError class avg,rew2.2,4,0.4055355370375721,0.5965351015004413,0.2080764165931156,0.2928919240953221,0.2279252968619045,0.4299222506619594,0.1324296910856134,0.1288133399685764,0.1399409837630758
confidnet,do1,PCA RecError class avg,rew2.2,2,0.3604951765059209,0.5629488291413703,0.287650763226366,0.3286454032957502,0.2854961432968677,0.4074293842150911,0.1536207545533391,0.1432675782571521,0.0903507678320791
confidnet,do1,PCA RecError class avg,rew2.2,3,0.3993852058477752,0.570277914219612,0.3586952482648158,0.3899730379071009,0.3522522972527683,0.3703576793023669,0.1719658480156611,0.1482207183328095,0.0998173883597807
confidnet,do1,PCA RecError class avg,rew2.2,1,0.3667529786525223,0.5353741681109185,0.2883709878682842,0.3505537608318891,0.3016985858468171,0.3666006412478336,0.1402839081455806,0.1770021325761765,0.0462421500427683
confidnet,do1,PCA RecError class avg,rew2.2,5,0.4692033204976047,0.5933129118509575,0.3777846213558737,0.4190871312747973,0.359676119542176,0.363810229429015,0.1267133862342591,0.1442483547983366,0.1184728825678542
confidnet,do1,KPCA RecError class avg,rew2.2,4,0.4261460215797367,0.5066709179170344,0.2548426831421006,0.3481391085613415,0.2715564093245418,0.4581929744042365,0.217801253309797,0.1935291981997208,0.1648331220831608
confidnet,do1,KPCA RecError class avg,rew2.2,2,0.4737679764153547,0.6180689679098005,0.5538304249783175,0.5749028447528187,0.5413723692425799,0.50688710320902,0.3191408846487424,0.2571820505249949,0.2283656055313335
confidnet,do1,KPCA RecError class avg,rew2.2,3,0.4705535820048206,0.572525306994127,0.3408936198611852,0.3861745951236874,0.346796936963075,0.5221189980423563,0.4147537818117102,0.2515644425764156,0.3659186236540721
confidnet,do1,KPCA RecError class avg,rew2.2,1,0.4265222290015759,0.5156739601386482,0.3754136915077989,0.3782467764298093,0.3500378563903897,0.4537160138648181,0.237803596187175,0.2147675215408631,0.1176277377316706
confidnet,do1,KPCA RecError class avg,rew2.2,5,0.4252060751493305,0.5206404433327583,0.3133847679834396,0.3792354234949112,0.3226254766181097,0.5699615922028636,0.3456109366913921,0.2218664551363691,0.255238172251527
confidnet,do0,pNML class avg,rew2.2,5,0.5540632756586448,0.5236359343263373,0.5395361712931619,0.5739062880839539,0.5445752613841746,0.520201624915369,0.6600553994583616,0.6514000129647503,0.6920586893418819
confidnet,do0,pNML class avg,rew2.2,3,0.5835513661553584,0.5645041357816712,0.6875526617250673,0.7565910882749326,0.7175576928884762,0.536263140161725,0.7556605458221024,0.7456151221779359,0.7365667418764712
confidnet,do0,pNML class avg,rew2.2,1,0.5989185386935578,0.5457608247422681,0.6755443384879725,0.7236647422680412,0.6808139902008913,0.6096786340206186,0.7380365378006872,0.6968714051570764,0.4914010241426359
confidnet,do0,pNML class avg,rew2.2,2,0.5892277427775501,0.5392860930550805,0.7008483835100924,0.73976367601779,0.7063626257892825,0.5647670201847417,0.7693125042764284,0.7604972818900237,0.7229650351650149
confidnet,do0,pNML class avg,rew2.2,4,0.6006497049291138,0.5580496267390567,0.5260974211062097,0.5089571852731591,0.5043295322879746,0.5645762130980658,0.4526168221920597,0.5728770332613765,0.6310365004028349
confidnet,do1,pNML class avg,rew2.2,4,0.5329277665056465,0.6103553133274492,0.5883143424536629,0.6734322859664608,0.5725551113649343,0.4892796381288614,0.3561181200353044,0.3957073419591495,0.4950809608487835
confidnet,do1,pNML class avg,rew2.2,2,0.5509719871523188,0.6222180832610581,0.5585905464006938,0.5801575021682568,0.5303465469448838,0.50974855160451,0.3262860190806591,0.4156405122621837,0.3477836838081998
confidnet,do1,pNML class avg,rew2.2,3,0.5539051085339992,0.5906207777184553,0.7559477220145934,0.7879908435664709,0.7563708765228818,0.4667631518063712,0.4879688556682684,0.4476707857964176,0.4276513195034889
confidnet,do1,pNML class avg,rew2.2,1,0.5630407896657695,0.6278998786828422,0.7246509532062393,0.7486211611785094,0.6900754409216026,0.5399349999999999,0.4211676083188908,0.4408054623449734,0.2483961214513746
confidnet,do1,pNML class avg,rew2.2,5,0.736619089237277,0.6382911937208902,0.7091666637916163,0.6584115749525616,0.6755168349899905,0.6492762377091599,0.7731921769880973,0.6811664629662934,0.7079726466087466
confidnet,do1,pNML global,rew2.2,4,0.5902339063014062,0.622911226831421,0.6932647661076787,0.7744877493380407,0.6784311450970503,0.5641904942630185,0.6856910238305384,0.5071045927150039,0.6484880683208283
confidnet,do1,pNML global,rew2.2,2,0.6933676886243008,0.6628018126626192,0.6449060884648743,0.622163356461405,0.6052292764460512,0.6522598699045967,0.7478538855160451,0.5934471745000707,0.6654290722846415
confidnet,do1,pNML global,rew2.2,3,0.5984535727695636,0.5758098594055882,0.7669812511122976,0.81873399181349,0.7716275860762528,0.6082441270688734,0.798574443851219,0.5056281941083887,0.7208019804885369
confidnet,do1,pNML global,rew2.2,1,0.5822191569561783,0.625120883882149,0.7885964818024263,0.8013262218370885,0.7526366650646394,0.5587086828422877,0.6495897227036396,0.5110142796563295,0.618417826506558
confidnet,do1,pNML global,rew2.2,5,0.4967351283416088,0.4311730205278592,0.6011418406072107,0.5906444367776436,0.5680919861475727,0.5411820683111954,0.3717333965844402,0.4771506905626168,0.5505299159941046
confidnet,do0,Residual,rew2.2,5,0.5778682149745188,0.5161269211238998,0.5389169431279621,0.6141935257278267,0.595443997504215,0.5792115690589033,0.5196318466486121,0.6915638489942716,0.6957927887774393
confidnet,do0,Residual,rew2.2,3,0.6092936929095537,0.5355054497978436,0.6060781165768194,0.6470415852425876,0.624318953996693,0.5823864976415094,0.5762599393530998,0.6806880812591998,0.7984696997692661
confidnet,do0,Residual,rew2.2,1,0.6086608817659329,0.5587691065292096,0.6782212800687285,0.6733461597938144,0.6865768382954556,0.5821615120274914,0.5082868298969072,0.6984628847700519,0.8063224887634991
confidnet,do0,Residual,rew2.2,2,0.589913323540181,0.5247921997947314,0.6044749230242902,0.6156476565172768,0.594684387610672,0.5831898392062949,0.5679099213137188,0.7226416559301019,0.806017564161144
confidnet,do0,Residual,rew2.2,4,0.5838012461912188,0.5059378435697319,0.5240967763827622,0.5588851204614862,0.5578862899078871,0.5579019172039361,0.5179658890397014,0.6759744402890787,0.8077046601462969
