model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,KPCA RecError class avg,rew2.2,1,0.2183752402317864,0.0710123227917121,0.0590671664849145,0.0426342693565976,0.0409594168456186,0.1076386132315521,0.0591135768811341,0.1566566703017084,0.0688384854521248
confidnet,do1,KPCA RecError class avg,rew2.2,3,0.2249430253388462,0.1114163090515687,0.093898296069239,0.0549397403534078,0.0538407270589447,0.1124738820771727,0.0663371979805265,0.1726947637169975,0.1038379336059743
confidnet,do1,KPCA RecError class avg,rew2.2,5,0.2196419787806585,0.0862431163954943,0.0670535490792061,0.0485297425353119,0.0474743689716186,0.099661255140354,0.0583480153763633,0.1740403562964343,0.1257648682208894
confidnet,do1,KPCA RecError class avg,rew2.2,4,0.2208006347751237,0.093393751122284,0.0797183875022445,0.0510617346022625,0.0500324072886471,0.1086797180822409,0.068356266834261,0.16489411050789,0.1079881772925745
confidnet,do1,KPCA RecError class avg,rew2.2,2,0.2172594420391289,0.0716535837104072,0.0508196561085972,0.0310512669683257,0.0321447659606829,0.1086500180995475,0.0552004615384615,0.1626487757132312,0.0639934560179326
confidnet,do1,PCA RecError class avg,rew2.2,1,0.3172505855243864,0.0952978280625227,0.0965723191566703,0.0470221010541621,0.0469902362980815,0.2381600145401672,0.0213325427117411,0.2220415174623799,0.037297966270074
confidnet,do1,PCA RecError class avg,rew2.2,3,0.3557376417606204,0.1215999459069599,0.1391247475658132,0.0883636675081139,0.0890226685697719,0.2909876126938334,0.0286434096646231,0.2436539624750315,0.026956184859224
confidnet,do1,PCA RecError class avg,rew2.2,5,0.3427712772123694,0.0959355623100303,0.1044625245843018,0.0834506347219739,0.0817660631211182,0.2553080100125157,0.0208631414267834,0.2405063858952363,0.0184093452600279
confidnet,do1,PCA RecError class avg,rew2.2,4,0.3747819347421153,0.1001189621116897,0.0959971269527742,0.060897046148321,0.0566606258233226,0.2882590231639432,0.0304872867660262,0.2379160092151461,0.047970763472127
confidnet,do1,PCA RecError class avg,rew2.2,2,0.3191710146814674,0.101300923076923,0.0985215746606334,0.0629978733031674,0.0707756087050204,0.2358484977375565,0.0316432669683257,0.2204221944096787,0.0417001386389741
