model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,KPCA RecError class avg,rew2.2,2,0.1776572529633477,0.0853961001570406,0.0585930116908043,0.0501980020938754,0.0523696423256093,0.1047302739487,0.0400434217414063,0.1836025083191947,0.0829447277323846
confidnet,do0,KPCA RecError class avg,rew2.2,4,0.1847908052068497,0.096047577092511,0.0728407577092511,0.0515715418502202,0.0587847925073112,0.1005624933920704,0.038774308370044,0.1693798544068485,0.1050492311732899
confidnet,do0,KPCA RecError class avg,rew2.2,5,0.1817400825906619,0.0972081131078224,0.0764659002818886,0.0493485112755461,0.0528648020166487,0.099304316420014,0.0412340116279069,0.1758300939878747,0.1311589475120987
confidnet,do0,KPCA RecError class avg,rew2.2,1,0.1785552684857591,0.0914924295466479,0.0610950988972518,0.0539941361806406,0.0547036906833449,0.1042068790477857,0.0434234290215298,0.1826404691055487,0.0969292153426592
confidnet,do0,KPCA RecError class avg,rew2.2,3,0.1893696617181518,0.094012559075792,0.070779012777875,0.0505238053562051,0.0500844160524353,0.1076569490635392,0.0396773499037283,0.1819429030219742,0.0782910947718307
confidnet,do1,KPCA RecError class avg,rew2.2,1,0.2183752402317864,0.0710123227917121,0.0590671664849145,0.0426342693565976,0.0409594168456186,0.1076386132315521,0.0591135768811341,0.1566566703017084,0.0688384854521248
confidnet,do1,KPCA RecError class avg,rew2.2,3,0.2249430253388462,0.1114163090515687,0.093898296069239,0.0549397403534078,0.0538407270589447,0.1124738820771727,0.0663371979805265,0.1726947637169975,0.1038379336059743
confidnet,do1,KPCA RecError class avg,rew2.2,5,0.2196419787806585,0.0862431163954943,0.0670535490792061,0.0485297425353119,0.0474743689716186,0.099661255140354,0.0583480153763633,0.1740403562964343,0.1257648682208894
confidnet,do1,KPCA RecError class avg,rew2.2,4,0.2208006347751237,0.093393751122284,0.0797183875022445,0.0510617346022625,0.0500324072886471,0.1086797180822409,0.068356266834261,0.16489411050789,0.1079881772925745
confidnet,do1,KPCA RecError class avg,rew2.2,2,0.2172594420391289,0.0716535837104072,0.0508196561085972,0.0310512669683257,0.0321447659606829,0.1086500180995475,0.0552004615384615,0.1626487757132312,0.0639934560179326
confidnet,do0,pNML class avg,rew2.2,2,0.2467897299755816,0.2327089425929157,0.23833886756238,0.2812733292619089,0.2613205198324313,0.2622831006805095,0.1387188012563252,0.3121628390327087,0.2220590589979748
confidnet,do0,pNML class avg,rew2.2,4,0.2553686595342983,0.1728150308370044,0.1669926784140969,0.2603298502202643,0.2700426609410284,0.2637647577092511,0.1327245374449339,0.327861249101759,0.1942600161373734
confidnet,do0,pNML class avg,rew2.2,5,0.2429092155710407,0.2011504756871036,0.1897490045806906,0.1867327519379845,0.1891548176705495,0.2459736786469344,0.1353280214940098,0.3126323852078429,0.2229764788055076
confidnet,do0,pNML class avg,rew2.2,1,0.2572817209092611,0.1980591020479608,0.1740683528793978,0.1681040609137055,0.1863301203555113,0.2386776299667425,0.1265686066865045,0.3149164280048117,0.2156823594889366
confidnet,do0,pNML class avg,rew2.2,3,0.269009892148155,0.2098717924032907,0.18947982671101,0.2305164624540521,0.2389459393069323,0.2621672413793103,0.1367724663049186,0.3551476165470564,0.1802909419216742
confidnet,do0,PCA RecError class avg,rew2.2,2,0.2636722543733028,0.1652253446169952,0.1684758855348107,0.1767481416855697,0.187469582842734,0.2591005060198918,0.0642577473390333,0.2941074948859692,0.0739626279863115
confidnet,do0,PCA RecError class avg,rew2.2,4,0.2675442085389685,0.1408670660792951,0.1270231101321585,0.1891231982378854,0.2015950443613569,0.2561490925110132,0.071038167400881,0.3204615084200331,0.1056319433350752
confidnet,do0,PCA RecError class avg,rew2.2,5,0.270172974815742,0.1644596899224806,0.1424009601832276,0.2004676797040169,0.1971072065189712,0.2543712385482734,0.082071916842847,0.332897193108722,0.0841448176429898
confidnet,do0,PCA RecError class avg,rew2.2,1,0.2649006469108425,0.1575377910029756,0.1312182478557675,0.1771057062839138,0.1896341774938577,0.2215852791878172,0.0783597146858043,0.3458960712968928,0.0962954876471361
confidnet,do0,PCA RecError class avg,rew2.2,3,0.2866806691073487,0.1436547698232102,0.1132507351654122,0.1529263784351479,0.168021206732299,0.2725767285139157,0.0785173989147558,0.337015832995048,0.0569310687483048
confidnet,do1,PCA RecError class avg,rew2.2,1,0.3172505855243864,0.0952978280625227,0.0965723191566703,0.0470221010541621,0.0469902362980815,0.2381600145401672,0.0213325427117411,0.2220415174623799,0.037297966270074
