model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,KPCA RecError class avg,rew0,1,0.4616185354561879,0.7251165537488709,0.8485168981481481,0.3017088584010839,0.3721747967479675,0.9095287940379404,0.2908712116079494,0.9970415837801994,0.6105777488994157
modelvit,do0,KPCA RecError class avg,rew0,0,0.4766669521493232,0.7516453211112359,0.8445745922843326,0.4728499662580137,0.5191939351378837,0.9484081711843438,0.3048848442244967,0.999113933844967,0.8249727980727043
modelvit,do0,KPCA RecError class avg,rew0,4,0.4426365348399247,0.6968261751412429,0.8461377966101695,0.3449270677966101,0.4489839434078716,0.9213307005649718,0.2687944915254237,0.9954986576912288,0.7859531293948516
modelvit,do0,KPCA RecError class avg,rew0,3,0.3655704540560187,0.7707194152838921,0.9263241957331524,0.3507823569251608,0.4178728875001858,0.9960150129811493,0.3289761824133649,0.9999919343153054,0.8918055902161244
modelvit,do0,KPCA RecError class avg,rew0,2,0.5046361862630588,0.6977103707471458,0.8622370012433594,0.3920392166836215,0.4377425318494075,0.9595312817904376,0.3292889567084887,0.9948257994255376,0.5550088763990224
modelvit,do1,Confidence,rew0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,PCA RecError class avg,rew0,1,0.4938773461808692,0.7429543473351401,0.9627174345076784,0.576503043134598,0.6142584368887574,0.9936157125112915,0.441112742773261,0.9999116878727888,0.6953484439657063
modelvit,do0,PCA RecError class avg,rew0,0,0.4746826757085559,0.7912985097289393,0.9711526487459228,0.803782448543471,0.832457427915492,0.9961373467551456,0.5655626644921831,0.9999807359581886,0.8720108966533633
modelvit,do0,PCA RecError class avg,rew0,4,0.5187540489642184,0.8164833898305084,0.9800040338983051,0.62991393220339,0.7026883982971721,0.9983851073446328,0.5589663050847458,0.9999810073326122,0.9091860821448784
modelvit,do0,PCA RecError class avg,rew0,3,0.4467608770661562,0.748185348233435,0.953728857658878,0.5919296026639576,0.6273031303050626,0.9986307766113556,0.5635134157354103,0.9999906734266312,0.9361838834182428
modelvit,do0,PCA RecError class avg,rew0,2,0.6692856261603395,0.8406449587430767,0.9694875211936248,0.8233168192607663,0.8271357997251122,0.998590912173618,0.8133744715722845,0.9999644067348232,0.9013538340861088
