model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,Maha class pred,rew0,0,0.3540721749557106,0.3420797422085417,0.3923893677055278,0.2230680518148005,0.2280590430349387,0.494260760548929,0.0684517634987815,0.3945120622861857,0.0592250969377455
modelvit,do1,Maha class pred,rew0,1,0.3780075998938006,0.3640270417306707,0.4166014592933947,0.2604950076804915,0.261844874150377,0.4957048835125447,0.0888160714285714,0.4039734628122582,0.084021733875295
modelvit,do1,Maha class pred,rew0,2,0.3580798434486814,0.3742355386191879,0.4213323235557832,0.2143691046496733,0.2208570632044287,0.5090496861790701,0.0766606442935826,0.4211426915470477,0.0854577799783955
modelvit,do1,Maha class pred,rew0,4,0.3557187728147069,0.3531711814828945,0.396848473864937,0.2233066768409004,0.2291394472070909,0.4855571092458349,0.077413900546865,0.3811914902636731,0.0908761781056836
modelvit,do1,Maha class pred,rew0,3,0.3753203437343222,0.3922342741935483,0.4446677355350742,0.2357599398361495,0.2564429212545233,0.5327264912954429,0.0823702764976958,0.4180116378512055,0.0816332982864683
modelvit,do1,KPCA RecError class avg,rew0,0,0.4339952244138488,0.2032948762344491,0.268499185584199,0.0704295113505194,0.0774902147597528,0.7676117801718609,0.0606022188021033,0.5966450430562036,0.0456519600899247
modelvit,do1,KPCA RecError class avg,rew0,1,0.4446103809903093,0.2074749295954941,0.2633091589861751,0.1083599334357398,0.1158422437075188,0.757078904249872,0.0959537890424987,0.6325949484880508,0.0659750988660692
modelvit,do1,KPCA RecError class avg,rew0,2,0.4588403211552466,0.2056332137825028,0.268363385423338,0.0581854553605738,0.0620965742515784,0.7472690918406559,0.0771521647239656,0.6072293958776767,0.0336886781078144
modelvit,do1,KPCA RecError class avg,rew0,4,0.4891617453732459,0.2663997265674678,0.3042227775658146,0.1117364110390436,0.1181024769058074,0.8051284942134046,0.0651850120819025,0.6787271925338443,0.128491623141254
modelvit,do1,KPCA RecError class avg,rew0,3,0.4632351419985828,0.2490062019969278,0.3110370967741935,0.1317563044034818,0.1269276814668519,0.7926403737839223,0.0351675755248335,0.6546845097377012,0.0915820554740457
modelvit,do1,PCA RecError class avg,rew0,0,0.4420592100612903,0.2693137488777735,0.3539601064511992,0.1174743362831858,0.1350391750903259,0.7106867641400538,0.0362503975888162,0.6201484795479622,0.0793503530426616
modelvit,do1,PCA RecError class avg,rew0,1,0.4585380063650672,0.2809202956989247,0.3208794738863287,0.1478938044034818,0.1766788507517702,0.7250434395801332,0.0397814772145417,0.6605439826163059,0.1167209182026862
modelvit,do1,PCA RecError class avg,rew0,2,0.477037661840004,0.2718430639169975,0.3440804214166773,0.1101540092224926,0.1252883446192618,0.7188768797233251,0.0340765018573075,0.6802731477570139,0.0771698235607037
modelvit,do1,PCA RecError class avg,rew0,4,0.4728877251605691,0.3100741765229556,0.3858626542032303,0.1524618657001144,0.1708335782487992,0.7517230891517233,0.0424838229683326,0.6611356109005009,0.1928838148780346
modelvit,do1,PCA RecError class avg,rew0,3,0.4709329275861533,0.2944597286226318,0.3838880184331797,0.1732100614439324,0.1784974061309111,0.7171716397849461,0.0424151497695852,0.645714085985191,0.1209924146884798
modelvit,do1,pNML global,rew0,0,0.4291329092513894,0.3965794792869052,0.4448870655380273,0.1755517506733359,0.197101923493522,0.5941178401949467,0.0704482685648326,0.58123766915262,0.1597564109294869
modelvit,do1,pNML global,rew0,1,0.4619968135873153,0.4155206861239119,0.4296940732206861,0.2294336789554531,0.2598897551852282,0.6459648681515617,0.0869153737839221,0.6685968440987315,0.2514514708904492
modelvit,do1,pNML global,rew0,2,0.5827800206383014,0.514446483924683,0.5755647303701806,0.2357406237991546,0.2503246493935091,0.7791659216088126,0.1053761624183425,0.812249145384166,0.2420098069877088
modelvit,do1,pNML global,rew0,4,0.4465761007741298,0.4016376510237823,0.4350793017932087,0.2198579549790156,0.2381427606016334,0.6227988108864301,0.0841459430242909,0.5846404585440563,0.3011907086678984
modelvit,do1,pNML global,rew0,3,0.4583700225501301,0.4216019905273938,0.4936991487455197,0.2569141193036355,0.2621417384157964,0.6116822004608296,0.0941384024577572,0.6140791875928286,0.2394227526812484
modelvit,do0,GradNorm class avg,rew0,1,0.4464515088575633,0.4738964573768457,0.582443801960541,0.2338219506142201,0.2699624790976075,0.6530350912023825,0.0724857426479712,0.6293058551339896,0.1214263012876837
modelvit,do0,GradNorm class avg,rew0,0,0.659850241665174,0.666193023978134,0.7255052366753633,0.5720818362529507,0.576304783063679,0.8903458566281527,0.3438434463908559,0.9138864217307292,0.5289876129786801
modelvit,do0,GradNorm class avg,rew0,3,0.4553323710668582,0.4606214027881503,0.6188661812297735,0.2769633308439133,0.305843303216233,0.7309953759024148,0.0529058999253174,0.7110899245582163,0.1808940240379738
modelvit,do0,GradNorm class avg,rew0,4,0.4562899214473492,0.461606678700361,0.5709142412548238,0.273623247852608,0.2883836945708197,0.6879363936262916,0.0722821984314701,0.623818669530739,0.1136056650076884
modelvit,do0,GradNorm class avg,rew0,2,0.4560030817617972,0.5248660394932936,0.6809225285643318,0.3279031482861401,0.352793000955971,0.7656723981619473,0.1601822404371584,0.798899088548548,0.1480177817564747
modelvit,do0,KPCA RecError class avg,rew0,1,0.5386509218213866,0.1545489825040327,0.2155847561732224,0.0441022769574388,0.0465302567236101,0.7999575567688297,0.0055085370393349,0.651901006671542,0.0032741041922459
modelvit,do0,KPCA RecError class avg,rew0,0,0.3964869355011281,0.0785656168468132,0.0852996024350851,0.0146562989191203,0.0138659812291173,0.8136566219406136,0.0012833768169958,0.5591129773400334,0.0010129261286299
modelvit,do0,KPCA RecError class avg,rew0,3,0.556805484042715,0.1372994461040577,0.2241413057007717,0.0460061986557132,0.0522460704470984,0.8959208986806074,0.0037985187951207,0.7001307166174963,0.0020745636553253
modelvit,do0,KPCA RecError class avg,rew0,4,0.49534855638794,0.1671625420141914,0.250999943981078,0.048966183244118,0.0525471366188701,0.8190990352296775,0.0061176957550105,0.5998553396318201,0.008319197733902
modelvit,do0,KPCA RecError class avg,rew0,2,0.512568358412932,0.166821957277695,0.2743299490809736,0.045045063338301,0.0479633224377679,0.8864269249875807,0.0117245404868355,0.7542006104822201,0.0064041250502648
modelvit,do1,Confidence,rew0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,Confidence,rew0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do0,Confidence,rew0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
modelvit,do1,pNML class avg,rew0,0,0.4743727232301871,0.4251136911632679,0.504598698217263,0.2022058227523406,0.2286399171698948,0.6517069513915609,0.068942849814031,0.6107398781309779,0.148656042377259
modelvit,do1,pNML class avg,rew0,1,0.4990712940981758,0.4428231118791603,0.4917241423451101,0.250676625704045,0.2825957551479373,0.7002864759344598,0.0791578213005632,0.6594969028372426,0.2139363839998728
modelvit,do1,pNML class avg,rew0,2,0.5108897049105134,0.4296864160368899,0.5060829960292046,0.2012842385039067,0.2179821168892816,0.6839206673498142,0.0644558345074932,0.6815098311480786,0.1818240336218209
modelvit,do1,pNML class avg,rew0,4,0.5070746494134213,0.4550164568230954,0.5407785832379499,0.2519726185934122,0.2729626506586355,0.7133078850311586,0.0831999109754546,0.6196341064127437,0.3008772877858152
modelvit,do1,pNML class avg,rew0,3,0.5147757874012355,0.4537890040962621,0.5456399897593446,0.2763052483358935,0.2926620038696482,0.6901031554019457,0.0969910138248847,0.676756787611712,0.2178767591095099
modelvit,do0,CTMmean class avg,rew0,1,0.4979173916489166,0.426461893535178,0.4663857922819209,0.3353108450179923,0.353500594182331,0.6506438453902469,0.3241020536046655,0.6331273502423176,0.3484273472003836
modelvit,do0,CTMmean class avg,rew0,0,0.5488612140230991,0.4633833333333333,0.5173319977636973,0.2884379736613244,0.3063768799854393,0.7360141135544788,0.2876357870542925,0.7147667676439255,0.3029148691332277
modelvit,do0,CTMmean class avg,rew0,3,0.477454191837898,0.3812118122977346,0.4255521969131193,0.30141643017177,0.3070763470934802,0.6632393203883495,0.2592610903659447,0.5992692625490601,0.2030319742813999
modelvit,do0,CTMmean class avg,rew0,4,0.5491461604027132,0.450767926055023,0.4761424312212124,0.4145298145151251,0.4170916398427913,0.6598777044690651,0.4190069525706461,0.6043531425776474,0.3606445295837522
