model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MSR class avg,rew2.2,1,0.0096595286519274,0.3709821269533295,0.2866846240722714,0.2719338806793923,0.258593525447318,0.3516884950881845,0.3180235012767112,0.2377668069499924,0.4589844667338316
confidnet,do1,MSR class avg,rew2.2,3,0.0074443845661938,0.3751635196872479,0.278851932075198,0.2572141270012603,0.2418083981422616,0.3523867236752502,0.3443648970621746,0.2503358741981243,0.525876403097581
confidnet,do1,MSR class avg,rew2.2,5,0.0085117147678308,0.3760834308313379,0.2792313172553191,0.262517463170922,0.2435844730811159,0.35203308900753,0.3365980373607445,0.2409996437265341,0.4415335033707604
confidnet,do1,MSR class avg,rew2.2,4,0.0085081179379188,0.3808189260680208,0.298971862786672,0.2834516444957112,0.2679432034155716,0.3609975884054341,0.3436230139046279,0.2592205324624589,0.5927542760704737
confidnet,do1,MSR class avg,rew2.2,2,0.0048694671915715,0.3712159444920067,0.2930648044311513,0.2851092355462546,0.2617972621282982,0.3511105018177198,0.3001347178064718,0.2395569308514259,0.4270056153050084
confidnet,do1,MSR,rew2.2,1,0.0090653088115279,0.3703119865935215,0.2830952237735824,0.2693173701039358,0.2551469305597817,0.3525029097980487,0.3124702656415964,0.2357181734063136,0.4492077109224158
confidnet,do1,MSR,rew2.2,3,0.0085454946190028,0.366584851764046,0.2617749462685173,0.2447390183334229,0.2301145723050557,0.3508669314633431,0.3212740558695208,0.2373536493222001,0.4830876203693848
confidnet,do1,MSR,rew2.2,5,0.0086921244297284,0.3695741358739792,0.2674522924693659,0.2555823658550228,0.2385720464537658,0.3513081421163745,0.321990459744521,0.2321650811506525,0.4150436319420345
confidnet,do1,MSR,rew2.2,4,0.0113990541570176,0.3744469658703928,0.2843545915179618,0.2706213610162572,0.2560927668049549,0.3585910388270796,0.3290767719212805,0.2528408759851867,0.5729195868919753
confidnet,do1,MSR,rew2.2,2,0.0073149956129209,0.3698218062642615,0.2849335724964313,0.2781245351619259,0.2555360616994476,0.3548103498810441,0.2947243814215978,0.2361903776814173,0.4217396023046224
confidnet,do1,MSR class,rew2.2,1,0.0080717947232673,0.3678887307990399,0.2827871298899198,0.2721746985977537,0.2564947169096862,0.3515064645113353,0.3095599896953937,0.2305506981072788,0.424557529151256
confidnet,do1,MSR class,rew2.2,3,0.0095373980507074,0.3625923079602297,0.25976285041228,0.2476682764430551,0.2322102420656855,0.3488289037014492,0.2991929730430843,0.2295045389758053,0.4256450630107332
confidnet,do1,MSR class,rew2.2,5,0.0092020876364003,0.3687207320707958,0.2654023100820288,0.2602897174938366,0.2399015533167968,0.3521001561060697,0.3123018798204883,0.2261629762227288,0.4014609172263321
confidnet,do1,MSR class,rew2.2,4,0.011626815364645,0.3722194639584944,0.2898251684200932,0.2842610529826821,0.2634808780601624,0.357841753083215,0.3192869214703853,0.2428641932908205,0.5329488786263679
confidnet,do1,MSR class,rew2.2,2,0.006906373646014,0.3627572385913229,0.2820390431339395,0.2795625155738152,0.2554359523537951,0.3495040352142843,0.2825415932308279,0.2239060378006474,0.3846705989741458
confidnet,do0,MSR class,rew2.2,2,0.0072749021189361,0.3753710991217838,0.3046048015915142,0.2899214202945543,0.2736181490354118,0.361639482862666,0.2826873035214766,0.2421350929671948,0.4857014004033353
confidnet,do0,MSR class,rew2.2,4,0.010823355992263,0.384452574007104,0.3299527938525825,0.3159824162641768,0.2969363687515371,0.3714927515163421,0.3112529178943124,0.2473508982595592,0.4869099189352469
confidnet,do0,MSR class,rew2.2,5,0.0105249346677038,0.3873355873176858,0.3371479120913695,0.330631590822643,0.3063632924680623,0.3770661049507975,0.2938718202493188,0.2518661128066767,0.4474546639666023
confidnet,do0,MSR class,rew2.2,1,0.010079768758725,0.3697715431653681,0.2931545372201589,0.2888847188152201,0.2647861052565292,0.3561207522895955,0.289537601598976,0.2359942820626015,0.4060278980469277
confidnet,do0,MSR class,rew2.2,3,0.0070020085304612,0.3795071750748585,0.3093013117882263,0.3062777807088143,0.2822045446307474,0.3666797892981038,0.2882909933599488,0.2395224756022709,0.4533512944011154
confidnet,do1,MSR global,rew2.2,1,0.0098767174465532,0.3687941886356567,0.2810745987578053,0.2663914072188913,0.2523614721982518,0.3498547230534583,0.3074722650261622,0.2341441450088938,0.4453585423331616
confidnet,do1,MSR global,rew2.2,3,0.0092824415609984,0.3650110058628715,0.2593976248261226,0.2415443933731125,0.227142614509289,0.3483870861847272,0.3187355280146141,0.2358356162599619,0.4835532686250239
confidnet,do1,MSR global,rew2.2,5,0.0096842069096213,0.367554474070632,0.2646094856737627,0.2516309945635451,0.2350970789006087,0.3485942919337138,0.318039112588395,0.230123327678517,0.4092155030161978
confidnet,do1,MSR global,rew2.2,4,0.0099789281190895,0.3721696656817148,0.2790534579306389,0.264301951858909,0.2504312174842625,0.355404691785307,0.3236884161520521,0.2502221103654115,0.5715530941388753
confidnet,do1,MSR global,rew2.2,2,0.0076222183598327,0.3689686512678458,0.2825593307969266,0.2755948391101182,0.2529938026006634,0.3532300872908196,0.2919309393517517,0.2350739613310044,0.425470245514822
confidnet,do0,MSR class avg,rew2.2,2,0.0073882001882921,0.3791332629061212,0.3097197578320556,0.2945998166772875,0.2781393044998692,0.3657195773114235,0.2817417061295093,0.2466098418763146,0.4857099215431337
confidnet,do0,MSR class avg,rew2.2,4,0.0114485386304708,0.3900459577582811,0.3353126547048938,0.3156517037419056,0.2980536818257073,0.3731051170646625,0.3310222646159663,0.2575405500119621,0.5208561285454727
confidnet,do0,MSR class avg,rew2.2,5,0.0096495461584218,0.390616331471418,0.3385418249946374,0.3289554659639416,0.305590568272049,0.3756159216376621,0.3123808511218102,0.2575782748630428,0.4761579831390886
confidnet,do0,MSR class avg,rew2.2,1,0.0105153546046322,0.372895389419438,0.2937097183003762,0.2903551746302898,0.2663765763763807,0.3593700577416979,0.2976333176495491,0.2405474532849273,0.4102224954663802
confidnet,do0,MSR class avg,rew2.2,3,0.0074970334431949,0.3834546253496393,0.3130926975311659,0.3070871999118455,0.284194033301308,0.3698246085202804,0.3018373017224592,0.2439808178468971,0.4723588478472522
confidnet,do0,MSR global,rew2.2,2,0.0101818677518078,0.3796179984523565,0.3099332477913613,0.2936921705594141,0.2777151587514186,0.3651525711270865,0.2830132856427681,0.2473249002711249,0.484245961430973
confidnet,do0,MSR global,rew2.2,4,0.0111231465832624,0.3890397406104587,0.3334086391936136,0.317650902645497,0.2992641564818369,0.3755468526272433,0.3222732064169375,0.2547461369655179,0.5088014124072462
confidnet,do0,MSR global,rew2.2,5,0.0105703077214273,0.3889663495670211,0.3354908387642779,0.3284304786232608,0.3047863997916991,0.3775208656810129,0.3066860944434293,0.2551955455788904,0.4636724304372064
confidnet,do0,MSR global,rew2.2,1,0.0112389149311014,0.3726669732995231,0.2936350210435486,0.28841308410123,0.2653377135457544,0.3573461769761497,0.2941379905849541,0.240609121886345,0.4112642171517364
confidnet,do0,MSR global,rew2.2,3,0.0080870006379179,0.384221930266366,0.3129788697782641,0.3088022539613858,0.2851570492221824,0.3707674645747554,0.3052522258294567,0.2457688809468913,0.4770306154880969
confidnet,do0,MSR,rew2.2,2,0.0096750711328695,0.3799844578002126,0.3105055107025468,0.2943336457937685,0.2783310859002739,0.3657252052658948,0.2841334149326477,0.247545338913832,0.4844265652125483
confidnet,do0,MSR,rew2.2,4,0.01116332863384,0.3892398729365007,0.3337784110354244,0.3182147148587127,0.2997189997848922,0.3758707936959461,0.3228232331585664,0.2548795590699231,0.5091093529843167
confidnet,do0,MSR,rew2.2,5,0.0104150695906,0.389231237813854,0.3358838431665705,0.3289972195549203,0.3052500859636319,0.3779687189556072,0.3075349184736534,0.2552743939572541,0.463696308395596
confidnet,do0,MSR,rew2.2,1,0.011656911079835,0.3737404583181051,0.2951758952167265,0.2900162991440559,0.2668375342130786,0.3587332401449979,0.2965102049833139,0.2416759358923593,0.4138712166353104
confidnet,do0,MSR,rew2.2,3,0.0087232920943755,0.3845630185154082,0.3138398894574892,0.309699471564328,0.2860608075430713,0.3713948730397354,0.3060617402351539,0.2459927968543547,0.4777929125019267
confidnet,do1,MSR class pred,rew2.2,1,0.0160198873164897,0.4032303247090719,0.3210124803898638,0.3128966707496602,0.2984406471181655,0.396743115481167,0.3655742428559612,0.268167794407791,0.4747559395370839
confidnet,do1,MSR class pred,rew2.2,3,0.0130760759602296,0.4034010735635672,0.2937033211620119,0.2797217503754955,0.266626951605304,0.3973508509247395,0.3723491574352898,0.268268343970891,0.5287280290400129
confidnet,do1,MSR class pred,rew2.2,5,0.0097747396691449,0.3994296909478656,0.3116780971883026,0.2997973888560695,0.2853927311320903,0.3903479193473318,0.3601128298662805,0.2650649312146063,0.4643333436673782
confidnet,do1,MSR class pred,rew2.2,4,0.0154470560820593,0.4084120061539172,0.3199657800158492,0.3096086980834314,0.2966181538195491,0.4012151326606005,0.3819741117447384,0.2811753307537251,0.5909876335022258
confidnet,do1,MSR class pred,rew2.2,2,0.0095579849515054,0.400933735355119,0.3121006595284676,0.3096792594175174,0.2877288816303295,0.3954982362576826,0.3421949489189787,0.2685525124158488,0.4531779820935113
confidnet,do1,Confidence,rew2.2,1,0.015594857316878,0.3769495362304327,0.2879445654357678,0.2720195809758724,0.2561926316993041,0.3566295132149839,0.3058176610230355,0.239906077341593,0.4472282787055819
confidnet,do1,Confidence,rew2.2,3,0.0183625247793064,0.3743951077799539,0.265726986259222,0.2449657759400638,0.2284590776938105,0.3578976575998036,0.3270254511760699,0.2439654174933929,0.504868066647984
confidnet,do1,Confidence,rew2.2,5,0.0176666359272268,0.3744981883989746,0.2657101461916068,0.2502750567360867,0.2323261450290256,0.357598147335436,0.3256590153039858,0.2369096673842206,0.3985163876311335
confidnet,do1,Confidence,rew2.2,4,0.0184525663355985,0.3779088895595047,0.27673470758968,0.2652244607998605,0.2484076539484617,0.3611337291851915,0.3178490180093131,0.2529399565115973,0.5782042134896255
confidnet,do1,Confidence,rew2.2,2,0.0154471200969484,0.375983290522373,0.2994229034011109,0.2888094861327192,0.265708374647456,0.3611626680362903,0.2918625150591801,0.2435827298308052,0.4281476064865144
confidnet,do0,MSR class pred,rew2.2,2,0.0167267469436167,0.4150098806210939,0.3505561870531209,0.3370435263142908,0.3187718054822988,0.401479899983553,0.3602586967852318,0.2876440725361803,0.5664684751187263
confidnet,do0,MSR class pred,rew2.2,4,0.0222529394781268,0.4315779518639185,0.3767669310249086,0.3656514151094308,0.3431021143029799,0.4189684288952345,0.4068495506347583,0.2956246931806688,0.6109313093933483
confidnet,do0,MSR class pred,rew2.2,5,0.0200246234830363,0.4375061098782461,0.3833836833633172,0.3873879319064669,0.3565469389067791,0.4319890063020175,0.3984986963205631,0.3031204573424283,0.5909464842522302
confidnet,do0,MSR class pred,rew2.2,1,0.018673360710764,0.4119744793731549,0.3380675019145253,0.3331507238183033,0.3072121467499655,0.3959689804517338,0.3592418791867174,0.2793784483104524,0.5200600609740019
confidnet,do0,MSR class pred,rew2.2,3,0.0144059831685142,0.416834994317066,0.3526180115232317,0.3475746451454077,0.3229190108790563,0.4065438014566679,0.3597027680669385,0.2816809892832605,0.5404054767066956
confidnet,do0,Confidence,rew2.2,2,0.0187175644536813,0.4038720826168724,0.3280276272129085,0.3138064384152049,0.2968901626642539,0.3920521361126305,0.3132415673908031,0.2665665065503564,0.4992330329662763
confidnet,do0,Confidence,rew2.2,4,0.0215361145734787,0.4059845137869971,0.3425085823310217,0.3281973919938361,0.30860867734498,0.3949672944076708,0.3275807071192594,0.2695893230099365,0.5433227053579176
confidnet,do0,Confidence,rew2.2,5,0.019575470323364,0.4050765451639826,0.344389420087036,0.3441588646238698,0.3175465146591974,0.3978054538231026,0.3152219780454506,0.2668150549947694,0.4791659632981644
confidnet,do0,Confidence,rew2.2,1,0.0210603981845908,0.4055411615341848,0.3198448767613211,0.3194914437734334,0.2929261923664525,0.3940532719912979,0.3230871925044125,0.2641654084228532,0.4270743340979937
confidnet,do0,Confidence,rew2.2,3,0.0199667229453722,0.4040882476278211,0.3334424804613353,0.3323984712118258,0.3067927133634496,0.3932793284253378,0.3224554285346861,0.2624982626058094,0.4880716047559726
confidnet,do1,CTMmean,rew2.2,1,0.0336143800748719,0.4753957808653161,0.4568759480836916,0.4561411848160617,0.4305426013336815,0.4724031216209665,0.4653768747830469,0.3371114070873623,0.6544043194594453
