model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MSR,rew2.2,1,0.0341477187417938,0.103707809600572,0.0991138194919601,0.110180162981581,0.097266577506172,0.1555222682935291,0.0780111103317431,0.086494286020945,0.2640456795434341
confidnet,do1,MSR,rew2.2,3,0.0280852388550636,0.1114591125697479,0.1025416171281167,0.1090048513314464,0.0806279653317882,0.138511609770847,0.0681558802087393,0.0751610494289489,0.2792575134124584
confidnet,do1,MSR,rew2.2,5,0.0252134816398102,0.1089666222722354,0.0957301136421221,0.1031595542600605,0.082431657047844,0.134042094073442,0.0684193564943197,0.0728855701597362,0.2817742763902177
confidnet,do1,MSR,rew2.2,4,0.0298183172464479,0.1074632071725154,0.1038393718442527,0.1299056730722131,0.1053225447797307,0.14624460840438,0.066994512220158,0.0761341713459864,0.2247677780870819
confidnet,do1,MSR,rew2.2,2,0.0282534367365207,0.099557292317582,0.0885538901198364,0.1061295552011317,0.085845230881292,0.1479253742200022,0.0674937393540513,0.0805892707312265,0.2321005206588489
confidnet,do1,MSR global,rew2.2,1,0.0345804911181427,0.1038182460821831,0.0992429794866831,0.1102965014825764,0.0972672487582354,0.1555434537543633,0.0780303839938865,0.0865681327396269,0.2639223369204196
confidnet,do1,MSR global,rew2.2,3,0.0274032754437703,0.1113401778282435,0.1025751500420562,0.1089106049551515,0.0805295769635968,0.1381203531540527,0.0678934810352738,0.074827608378001,0.2794072468155077
confidnet,do1,MSR global,rew2.2,5,0.0251324952606437,0.1091533591950841,0.09596088152891,0.1033007363359441,0.0826139421926054,0.1340612769400226,0.0684411462271896,0.0729236911908927,0.2826906318700523
confidnet,do1,MSR global,rew2.2,4,0.0301047397840333,0.1076299751712381,0.1040348817714349,0.1301485283342792,0.1055600233977608,0.1463063260667523,0.0671434659706312,0.0762242626457702,0.2249149081391719
confidnet,do1,MSR global,rew2.2,2,0.0289530804911667,0.0995683192396186,0.0885666232534467,0.1062472571851067,0.0859499838960782,0.1478803941679031,0.067442641134095,0.0805693412840219,0.2320622620150045
confidnet,do1,MSR class,rew2.2,1,0.0365631283051663,0.102081109162923,0.0983599132580362,0.1072655377807885,0.094041128470563,0.1551881616147325,0.0761456081073442,0.0872526010541825,0.2544315527909089
confidnet,do1,MSR class,rew2.2,3,0.0308718230882909,0.1111862410374969,0.1019803161348718,0.1087235900842521,0.0793807267960852,0.1378012090531206,0.0665232117023227,0.0750919029084018,0.2795004331618084
confidnet,do1,MSR class,rew2.2,5,0.0234263964408172,0.1087664687075408,0.095784018409359,0.1010520881508806,0.0800527460682739,0.1332503534128102,0.06673517989557,0.073280367985391,0.2845185339737568
confidnet,do1,MSR class,rew2.2,4,0.0313233514230059,0.106703440435327,0.1033846842948255,0.1294504929815811,0.1044785589283422,0.1455413609521609,0.0657159809067675,0.0761478266195459,0.2214777172881808
confidnet,do1,MSR class,rew2.2,2,0.0295452255705874,0.0992158492961178,0.0873726604799979,0.1041007670126557,0.0841706034652195,0.1476742975578197,0.0662232455976903,0.0812017399329372,0.2297305581302903
confidnet,do1,MSR class pred,rew2.2,1,0.0441322789312587,0.1194912042133672,0.1164961401112928,0.1247245995556742,0.10962501076259,0.1729787600828376,0.0878659472889037,0.0984945509448189,0.2725972802797429
confidnet,do1,MSR class pred,rew2.2,3,0.0309328247851007,0.1234401271208873,0.1158637060736945,0.1234376120270123,0.0919890201820268,0.1503704674475719,0.0760038164641846,0.0835069937399682,0.2956155513588425
confidnet,do1,MSR class pred,rew2.2,5,0.0255717066192453,0.1179325631482932,0.1056417917931696,0.113293240990348,0.0910724023882419,0.1455550476435952,0.0759170436943843,0.0807935676764421,0.289027858686158
confidnet,do1,MSR class pred,rew2.2,4,0.0323496094590944,0.1167700914814539,0.1133763547823017,0.1429561246646845,0.1168909726524993,0.158059529040705,0.0726652856293905,0.0839320086011391,0.2335009436590898
confidnet,do1,MSR class pred,rew2.2,2,0.0321266392952066,0.1108464904022435,0.1020688733755036,0.1191755937110652,0.0977566657663534,0.1604252390211509,0.0777200887374341,0.0884832820304784,0.2401399612056873
confidnet,do1,MSR class avg,rew2.2,1,0.0489630015586014,0.0996588699401906,0.1059402278903745,0.1281308499715397,0.1117581464556654,0.1412881884631962,0.1094464531601201,0.0610254230728834,0.3002524965046065
confidnet,do1,MSR class avg,rew2.2,3,0.0452744044057831,0.118125631644396,0.1113663665848257,0.1317521592310695,0.0954868798709603,0.1267758704336116,0.0755760066387382,0.0528719591106049,0.3338804124026954
