model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,MSR class avg,rew0,0,0.0190531128589907,0.2653503407961002,0.3030190443097723,0.3290971206225113,0.3001635344752892,0.3095739157943099,0.3069416188021819,0.1367501770811379,0.3845893582813743
modelvit,do1,MSR class avg,rew0,1,0.0151627458452135,0.2718469300160929,0.2984996693511486,0.3147162348267038,0.2921194268462504,0.3031197182425834,0.2855310780300946,0.1356054139502181,0.4226281280672809
modelvit,do1,MSR class avg,rew0,2,0.017833972390795,0.268231679180597,0.29295654075273,0.3108793094184972,0.2907408942982142,0.3047470168829506,0.2778544140498055,0.1401524094985331,0.380528879499594
modelvit,do1,MSR class avg,rew0,3,0.0170888749762709,0.2642021928467712,0.2951521913325589,0.3193263450570002,0.294171533064348,0.3045816021341592,0.2854935702171668,0.1287068957431414,0.3918949086764841
modelvit,do1,MSR class avg,rew0,4,0.0208509587888497,0.2713975059811019,0.2965091730339321,0.3249718571149439,0.2988239803675436,0.3125513000279905,0.3019264817333031,0.1380217051031787,0.425823507440192
modelvit,do0,MSR,rew0,1,0.0210009985258891,0.2256251532364576,0.2919604548221207,0.315496316745931,0.3165682858437604,0.2844892936827586,0.2833465454966867,0.084759726404445,0.3615815764185692
modelvit,do0,MSR,rew0,0,0.0171127280018095,0.2682438642919667,0.1898384697948273,0.2041176583930094,0.2105224605079591,0.2296942035881921,0.2103564483545414,0.1812532927811192,0.4106811320539273
modelvit,do0,MSR,rew0,4,0.0205946629301115,0.224661577865924,0.2826530211630537,0.284343923869971,0.2864177161708874,0.2877449092389847,0.2699898161973621,0.0967604170281062,0.3936540554280808
modelvit,do0,MSR,rew0,3,0.0164191635413986,0.2344846702954964,0.2772693504382559,0.2720406595533818,0.2774403763211153,0.2797426001923201,0.2660136497054025,0.0969586919071812,0.3352864031823317
modelvit,do0,MSR,rew0,2,0.0181546347110275,0.2214743052395897,0.2782210002130191,0.2718871579063417,0.2773973798790128,0.2704345345585745,0.2683447846074254,0.087989960973002,0.4268115035674028
modelvit,do1,MSR,rew0,0,0.0214954205073902,0.2538095136721265,0.2917397874892843,0.3164215578060277,0.2928238760730428,0.2941015737408368,0.2895106352148577,0.1196777558495054,0.3510348431730559
modelvit,do1,MSR,rew0,1,0.0159002760425062,0.261954021244107,0.288129063579861,0.3092131383574784,0.2871719799977983,0.2921058237388503,0.2710140531033426,0.1202819692054229,0.3900725492796367
modelvit,do1,MSR,rew0,2,0.0203024751089311,0.2465785705892458,0.2752363409736455,0.3022431544457811,0.2800456106583543,0.2836662606058559,0.2396938358603691,0.1167589162542546,0.3058015066828524
modelvit,do1,MSR,rew0,3,0.0176694732727903,0.2554935854599879,0.2801229013830761,0.3075044341278693,0.2847112716657575,0.2896976638147285,0.2667892424362005,0.115104547924991,0.3512780749778073
modelvit,do1,MSR,rew0,4,0.0184958012893805,0.2631611425324169,0.2877890703606369,0.3189805229467031,0.2945426919204986,0.2978518959032331,0.2728692952401592,0.1168598960199036,0.3643523943959267
modelvit,do0,MSR global,rew0,1,0.0219359902717328,0.224717723589703,0.2924228481183347,0.3146063368757341,0.3159279339935011,0.2844824771369575,0.2815325321242786,0.0845617535037203,0.3624559333428542
modelvit,do0,MSR global,rew0,0,0.017985107120941,0.2675550353142241,0.1882007296183432,0.205552962218256,0.2117033599506638,0.2313300599095765,0.2117815071079367,0.1817188837849307,0.417388803986147
modelvit,do0,MSR global,rew0,4,0.0211676956546471,0.2230193611379081,0.28122345939233,0.2793493656978045,0.2825068963955932,0.2874003959101541,0.2694158250700041,0.0940618854908015,0.3933428132357797
modelvit,do0,MSR global,rew0,3,0.0142983822136297,0.2307227046753284,0.2777065420736591,0.2690031256327058,0.2731211149024765,0.279052392553123,0.2603420710130882,0.0909882926565141,0.3110808542343711
modelvit,do0,MSR global,rew0,2,0.0196090319140935,0.2111648041550964,0.2735942719169917,0.2712787448348016,0.2741418659190441,0.2656880187213161,0.2679193685818706,0.0824722361570373,0.3976616047806313
modelvit,do1,MSR global,rew0,0,0.0222149372442441,0.2550297353356127,0.2897929721151451,0.3181362536105565,0.293171909292768,0.2962269331372426,0.2873866869255708,0.1184819893666946,0.3382469022344451
modelvit,do1,MSR global,rew0,1,0.0172381694676531,0.260214356749234,0.2870863377401231,0.3073854125275275,0.2845891433400203,0.2923278941652422,0.2618293535728381,0.118815578896555,0.3767659680156618
modelvit,do1,MSR global,rew0,2,0.0199750768834968,0.2497948090154773,0.2742513686597451,0.2975740956683809,0.2776972344688531,0.2848613116939745,0.2397711656199146,0.1133089225287901,0.2997799403535674
