model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,MSR global,rew0,0,0.011272578846623,0.2638113544074797,0.2665487793703045,0.2444041790329504,0.2219576165867642,0.2480033182041415,0.1862682813231164,0.1378613202385535,0.2671020544056843
modelvit,do1,MSR global,rew0,1,0.0099603264754148,0.2679486713236638,0.276885973394174,0.2353675934413379,0.2153135254971249,0.2483311013141187,0.1842357629621553,0.1329234086262292,0.2446142099361758
modelvit,do1,MSR global,rew0,2,0.010077308236876,0.274193258207777,0.2836422048028611,0.2471299593685069,0.2249439058859139,0.2559998747019522,0.1892928505520626,0.1456312244080283,0.283245269886904
modelvit,do1,MSR global,rew0,4,0.0096130253120256,0.277625595343474,0.2898651669908947,0.2462882833957964,0.2250552307024976,0.258647130443925,0.204562553893392,0.144901837178731,0.2704208715377014
modelvit,do1,MSR global,rew0,3,0.0065171009208954,0.2660890841214188,0.2690059181821812,0.2326543337075057,0.2119726393462196,0.2430947706637383,0.1808003317916984,0.1305402470630758,0.2779649595994924
modelvit,do1,MSR,rew0,0,0.0074915617747696,0.2621166299990077,0.2680944630808877,0.2425456807912609,0.2197632827089303,0.2494281470057599,0.1779977899323123,0.1349535711595721,0.263177479071792
modelvit,do1,MSR,rew0,1,0.0073374527083195,0.2659494246616991,0.2765559914487253,0.2366692717920885,0.2148823423227098,0.2489134976073413,0.1782326515370877,0.1334918256870329,0.2395967276070547
modelvit,do1,MSR,rew0,2,0.0138935038141961,0.2739154841091135,0.2857240551690065,0.2476956207739621,0.2250263724908049,0.2569879947473915,0.1881229824102775,0.1431947222137972,0.2866374799322535
modelvit,do1,MSR,rew0,4,0.0096780400048339,0.2749368537039145,0.2893712779634475,0.2413808880551082,0.2204263719760532,0.2595511870344538,0.195865609370878,0.1436071799622247,0.2562761584848957
modelvit,do1,MSR,rew0,3,0.0094214600905777,0.2639108849902131,0.2720908348739174,0.2331619201724457,0.2115702974712716,0.2449560607106918,0.1779951092313908,0.1269899917744668,0.2676104712269631
modelvit,do1,MSR class,rew0,0,0.0153393440588336,0.2467256215158189,0.2509751312640315,0.225640173577462,0.2020656930519584,0.2268320895878394,0.1671045221318556,0.1214531613889441,0.2476302923221463
modelvit,do1,MSR class,rew0,1,0.0191976772547496,0.2418782754071418,0.248934294494158,0.2146356278275559,0.1930815398008497,0.2174694647428168,0.1549020430443677,0.1135812977635412,0.2176849668341908
modelvit,do1,MSR class,rew0,2,0.0192329806120931,0.2536788735879623,0.2614019951773079,0.2318787350595259,0.2067101985792238,0.2302917236020806,0.1853394961028164,0.1219329876285829,0.2612504990483171
modelvit,do1,MSR class,rew0,4,0.0207709137894411,0.2604244008848482,0.2741693873465288,0.2291868849658602,0.208196242561665,0.2389920030538426,0.1752724519877726,0.1261648677805706,0.2410559504150523
modelvit,do1,MSR class,rew0,3,0.0205782212964555,0.2533841314018685,0.2588265170644776,0.2148173283681912,0.1948140335363997,0.2220258852700647,0.1676060323802496,0.1082354741758286,0.2525641702594766
modelvit,do0,MSR,rew0,1,0.0229189464514991,0.2663764220079148,0.2849946703744718,0.2666860892032139,0.2393746634412341,0.2580828440562263,0.1526108724916792,0.1165667010936471,0.2008410556973497
modelvit,do0,MSR,rew0,0,0.0208729238156209,0.2538781462085431,0.2755893291262922,0.2579044740992194,0.2222716445427562,0.244209320051508,0.1526814780195167,0.1021644200284344,0.1963052895755277
modelvit,do0,MSR,rew0,3,0.0202484666079334,0.2574701269406961,0.2714183915807114,0.2509496773236038,0.2235205218976297,0.2521798085529879,0.1420526943437249,0.1134229040023487,0.1625235837059667
modelvit,do0,MSR,rew0,4,0.0184737651021702,0.259210743394007,0.2721283318480474,0.2596703378026438,0.2369605730211196,0.2551706423149987,0.1562784404791354,0.1211988531060604,0.2226445945767427
modelvit,do0,MSR,rew0,2,0.0197275257508275,0.2518289241213413,0.2633649391458666,0.2536570810901636,0.222887190767943,0.2492474908246086,0.1518082272540437,0.1060287834363902,0.1854724658711016
modelvit,do0,MSR global,rew0,1,0.022115200653201,0.2638011770935692,0.2848292260348687,0.264722397163065,0.2366537984130879,0.2538439548218061,0.1557915824100155,0.1154487264844938,0.2063804250520061
modelvit,do0,MSR global,rew0,0,0.022967422286496,0.2528380349195118,0.2688695351883748,0.2560237960495263,0.2214822750987681,0.2379553228106723,0.1604097146765945,0.1031318968857864,0.2055894585056365
modelvit,do0,MSR global,rew0,3,0.0207759714484148,0.259339399367868,0.2727160553521347,0.2518308728579334,0.2246344728850018,0.2475271468356087,0.1477483351440853,0.1112004040801029,0.1675491352428995
modelvit,do0,MSR global,rew0,4,0.0189779341076765,0.2591254152382209,0.2736464784334253,0.259039654948943,0.2390990300154994,0.2512576599988602,0.1681716333886211,0.1201523772864337,0.2327371727694243
modelvit,do0,MSR global,rew0,2,0.0198115998506846,0.2536141801094267,0.2649179901046723,0.2552390128458967,0.2244779444586088,0.2470660126771663,0.1588587192435522,0.1078743783932072,0.196767809311628
modelvit,do0,MSR class,rew0,1,0.0288919913069293,0.2421603023256524,0.2657281477450111,0.2401174612608857,0.2142724865842177,0.2295261355369762,0.1321803447398909,0.0976891287806814,0.1825703940132872
