model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR,rew2.2,4,0.0221339140314315,0.2055547150557828,0.1364397660427854,0.171636862394787,0.1459510622674684,0.2152667508369218,0.1310513472577276,0.0713954680462217,0.3508743648475895
confidnet,do1,MCD-MSR,rew2.2,2,0.0177439609207628,0.2031684485182603,0.2057990588814275,0.2479781396479671,0.2246555701641699,0.2134295828073746,0.1498748632406822,0.0811065472151063,0.3529232610683334
confidnet,do1,MCD-MSR,rew2.2,3,0.0287987641457316,0.2076866776369435,0.1795075437211071,0.2189067539155182,0.1786620926768054,0.2185536779575825,0.1450007390137089,0.0773041318891121,0.3711620634894929
confidnet,do1,MCD-MSR,rew2.2,1,0.0209287701314291,0.1985466534366798,0.1721325001593864,0.2190397846507935,0.1818449956506065,0.2109374175576686,0.1416878513490013,0.0616168420291443,0.3422748556202653
confidnet,do1,MCD-MSR,rew2.2,5,0.0194392579963225,0.2004657421687534,0.183588355150482,0.2354719663112216,0.1961067060646282,0.2066739624756003,0.16306864705953,0.0661144022020627,0.2894767359311211
confidnet,do1,MCD-EMSR,rew2.2,4,0.0513138679414519,0.2521844372133104,0.1879446444239443,0.2184187570754807,0.1933214511331007,0.2595136441404519,0.174845747560172,0.1056825436039831,0.4102208931609993
confidnet,do1,MCD-EMSR,rew2.2,2,0.0478136711768708,0.2493526532622135,0.2532963616843625,0.2815820684584218,0.2528744183728512,0.2574024365768284,0.1933977380539013,0.1130562374746169,0.4148475596859229
confidnet,do1,MCD-EMSR,rew2.2,3,0.0534903089032823,0.2556137234354988,0.2314367731357787,0.2634382389956569,0.224785482093161,0.2633860682383828,0.1888241570771079,0.113403095837624,0.4247822651988533
confidnet,do1,MCD-EMSR,rew2.2,1,0.0485924376253545,0.2442589840091616,0.2118852709046473,0.2524533665694685,0.2167345469825926,0.2538012079024447,0.1828763134692352,0.0982697442231127,0.4015536771246953
confidnet,do1,MCD-EMSR,rew2.2,5,0.043926685009638,0.2461778388284061,0.2298167272899833,0.2722445158509196,0.2332384902402883,0.2498122116087048,0.2036401877912802,0.1040816932709922,0.3500543390421636
confidnet,do1,MCD-MSR class avg,rew2.2,4,0.0511841478850468,0.2416676522350276,0.1685190929888477,0.2078023328292733,0.1806517653213128,0.2502961592184727,0.1567822276527822,0.1008960106532551,0.3955926758954669
confidnet,do1,MCD-MSR class avg,rew2.2,2,0.0466156381738897,0.2416198549197052,0.2591947324808645,0.3047000901366499,0.2794032717578846,0.2488275882110457,0.1783553057399785,0.1207152510708086,0.403404070022357
confidnet,do1,MCD-MSR class avg,rew2.2,3,0.0580186665338805,0.2446863085301907,0.223862421178436,0.2641259051351922,0.223356587818142,0.2544368250514716,0.1734088583928407,0.1100113922943981,0.4135728667736505
confidnet,do1,MCD-MSR class avg,rew2.2,1,0.049535508678189,0.2343215125958456,0.2095777459031712,0.2609769462617734,0.2226870290725955,0.2477826671645102,0.1701230522516811,0.0972854597327655,0.3863573136540623
