model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,Confidence,rew2.2,1,0.5630390143737166,0.5494,0.3516,0.49,0.4374229691876751,0.5654,0.4927,0.5308510638297872,0.5528964351567301
confidnet,do1,Confidence,rew2.2,3,0.5854665565648225,0.5618,0.4741,0.4934,0.4969187675070028,0.5916,0.4498,0.5484042553191489,0.5800169022741242
confidnet,do1,Confidence,rew2.2,5,0.5579345088161209,0.5603,0.3779,0.4618,0.4313725490196078,0.568,0.3735,0.5531914893617021,0.6338352796558082
confidnet,do1,Confidence,rew2.2,4,0.5623953098827471,0.5612,0.3549,0.4246,0.4153501400560224,0.5747,0.4303,0.5473404255319149,0.5124078057775046
confidnet,do1,Confidence,rew2.2,2,0.5625779625779626,0.5458,0.3922,0.5054,0.4681232492997199,0.5707,0.414,0.5338652482269504,0.6208512599877074
confidnet,do0,GEN class,rew2.2,2,0.6217312894499549,0.5832,0.5675,0.5362,0.5426330532212885,0.6053,0.6551,0.6117021276595744,0.4474877074370006
confidnet,do0,GEN class,rew2.2,4,0.608,0.6035,0.6558,0.6685,0.6533333333333333,0.6019,0.6221,0.5884751773049646,0.4884373079287031
confidnet,do0,GEN class,rew2.2,5,0.5931003980539584,0.5629,0.6437,0.6774,0.6789915966386555,0.5812,0.6461,0.5888297872340426,0.6169714197910264
confidnet,do0,GEN class,rew2.2,1,0.5918548030101815,0.5584,0.6252,0.6517,0.6466106442577031,0.5866,0.6162,0.5815602836879432,0.6477028272894899
confidnet,do0,GEN class,rew2.2,3,0.614279299506062,0.5813,0.6009,0.6304,0.6214005602240896,0.5958,0.619,0.5849290780141844,0.3944760295021512
confidnet,do0,GEN global,rew2.2,2,0.6172227231740307,0.5796,0.583,0.5455,0.5537254901960784,0.6007,0.6686,0.6166666666666667,0.4487937922556853
confidnet,do0,GEN global,rew2.2,4,0.6128888888888889,0.6104,0.6711,0.6815,0.6657703081232493,0.6078,0.6313,0.5884751773049646,0.5006530424093424
confidnet,do0,GEN global,rew2.2,5,0.5922158337019018,0.5633,0.6428,0.6734,0.6756302521008404,0.5806,0.6466,0.5909574468085106,0.6260755992624463
confidnet,do0,GEN global,rew2.2,1,0.5940681717574148,0.5597,0.6401,0.662,0.6566946778711484,0.5886,0.6302,0.5870567375886525,0.652120467117394
confidnet,do0,GEN global,rew2.2,3,0.6210148181409969,0.5917,0.6307,0.6647,0.6492997198879552,0.6034,0.6297,0.600886524822695,0.4156038721573448
confidnet,do0,GEN,rew2.2,2,0.6352569882777277,0.5858,0.6003,0.5655,0.5746778711484594,0.6109,0.6964,0.623758865248227,0.4669253226797787
confidnet,do0,GEN,rew2.2,4,0.6195555555555555,0.6211,0.6762,0.6837,0.6696918767507003,0.617,0.6385,0.5985815602836879,0.5027658266748617
confidnet,do0,GEN,rew2.2,5,0.5913312693498453,0.5651,0.6421,0.673,0.6722689075630253,0.5813,0.6443,0.5955673758865249,0.6236939151813153
confidnet,do0,GEN,rew2.2,1,0.5905267817618415,0.5591,0.638,0.6606,0.6546778711484594,0.587,0.6278,0.5867021276595744,0.64920098340504
confidnet,do0,GEN,rew2.2,3,0.6237090255949708,0.5911,0.6321,0.6592,0.6514285714285715,0.604,0.638,0.6040780141843972,0.4222495390288875
confidnet,do0,fDBD,rew2.2,2,0.6316501352569883,0.5859,0.4419,0.4037,0.4086274509803921,0.6038,0.6313,0.5223404255319148,0.4626229256299938
confidnet,do0,fDBD,rew2.2,4,0.6137777777777778,0.5742,0.5594,0.5779,0.5754621848739496,0.5895,0.6336,0.4888297872340426,0.5139443761524278
confidnet,do0,fDBD,rew2.2,5,0.6076957098628926,0.5701,0.5515,0.5456,0.5743417366946779,0.5894,0.6351,0.5140070921985815,0.6407498463429625
confidnet,do0,fDBD,rew2.2,1,0.5852146967684816,0.5575,0.5199,0.5125,0.534453781512605,0.5908,0.6269,0.4882978723404255,0.6286109403810695
confidnet,do0,fDBD,rew2.2,3,0.6286484059272563,0.5885,0.5437,0.5774,0.573109243697479,0.606,0.6451,0.5237588652482269,0.4438383527965581
confidnet,do0,MSR global,rew2.2,2,0.6307484220018035,0.5923,0.625,0.5938,0.6039215686274509,0.6219,0.7052,0.6375886524822695,0.4911263060848186
confidnet,do0,MSR global,rew2.2,4,0.612,0.5771,0.666,0.665,0.6659943977591036,0.5886,0.675,0.5810283687943263,0.574139520590043
confidnet,do0,MSR global,rew2.2,5,0.6063688633348077,0.573,0.6764,0.7035,0.7074509803921568,0.5974,0.6814,0.6086879432624114,0.6559234787953289
confidnet,do0,MSR global,rew2.2,1,0.6055776892430279,0.562,0.6605,0.6895,0.6825770308123249,0.604,0.6635,0.598758865248227,0.6856561155500922
confidnet,do0,MSR global,rew2.2,3,0.6246070947462955,0.576,0.6279,0.6661,0.6589355742296918,0.6053,0.6656,0.6125886524822695,0.485479409956976
confidnet,do0,MSR,rew2.2,2,0.6321009918845807,0.5925,0.623,0.593,0.6030252100840336,0.6231,0.7066,0.6368794326241135,0.4926244622003687
confidnet,do0,MSR,rew2.2,4,0.6146666666666667,0.579,0.6638,0.6615,0.6621848739495798,0.5909,0.6796,0.5842198581560284,0.5735633066994469
confidnet,do0,MSR,rew2.2,5,0.611233967271119,0.5773,0.6768,0.7056,0.7102521008403362,0.6025,0.6847,0.6127659574468085,0.6556929932390904
confidnet,do0,MSR,rew2.2,1,0.5998229305002213,0.5595,0.6592,0.6876,0.6831372549019608,0.6038,0.6619,0.601063829787234,0.6856561155500922
confidnet,do0,MSR,rew2.2,3,0.6246070947462955,0.5785,0.6339,0.6686,0.6640896358543418,0.6077,0.6727,0.6132978723404255,0.4871312231100184
confidnet,do0,CTM class avg,rew2.2,2,0.6230838593327321,0.5786,0.3806,0.3548,0.3623529411764706,0.6076,0.6199,0.5092198581560283,0.4363859864781807
confidnet,do0,CTM class avg,rew2.2,4,0.6182222222222222,0.5902,0.5414,0.5489,0.5603361344537815,0.6143,0.6524,0.5065602836879433,0.5692224953902889
confidnet,do0,CTM class avg,rew2.2,5,0.6068111455108359,0.5754,0.4853,0.4723,0.5070028011204482,0.6125,0.6702,0.5301418439716312,0.7116241548862938
confidnet,do0,CTM class avg,rew2.2,1,0.5953961930057547,0.5683,0.4739,0.467,0.4941176470588235,0.6057,0.625,0.4826241134751773,0.6248463429625076
confidnet,do0,CTM class avg,rew2.2,3,0.6416704086214639,0.5974,0.4979,0.5335,0.5236974789915967,0.623,0.6331,0.5115248226950354,0.4477566072526122
confidnet,do0,fDBD global,rew2.2,2,0.6330027051397655,0.5877,0.4482,0.4077,0.4138935574229692,0.5999,0.6225,0.5225177304964539,0.458819913952059
confidnet,do0,fDBD global,rew2.2,4,0.62,0.5766,0.5645,0.5849,0.5778151260504202,0.58,0.6217,0.4808510638297872,0.5089889366933006
confidnet,do0,fDBD global,rew2.2,5,0.6125608137992039,0.5705,0.5618,0.5544,0.5801680672268907,0.5839,0.6284,0.5106382978723404,0.6367547633681623
confidnet,do0,fDBD global,rew2.2,1,0.5900841080123949,0.5629,0.5267,0.5212,0.5401680672268907,0.5902,0.6252,0.4893617021276595,0.6168177627535341
confidnet,do0,fDBD global,rew2.2,3,0.6295464750785811,0.5915,0.552,0.5887,0.5827450980392157,0.5993,0.6293,0.5209219858156028,0.4456822372464659
confidnet,do0,MSR class,rew2.2,2,0.6330027051397655,0.5908,0.6098,0.5797,0.5902521008403361,0.6169,0.6924,0.6310283687943262,0.4876690227412416
confidnet,do0,MSR class,rew2.2,4,0.6128888888888889,0.5778,0.6565,0.6571,0.6580392156862745,0.5868,0.666,0.5840425531914893,0.5605792870313461
confidnet,do0,MSR class,rew2.2,5,0.6121185316231755,0.5759,0.6722,0.7074,0.7071148459383754,0.599,0.6773,0.6079787234042553,0.6467040565457898
confidnet,do0,MSR class,rew2.2,1,0.6007082779991146,0.5625,0.652,0.688,0.6766386554621848,0.6014,0.6535,0.6030141843971631,0.6927243392747388
confidnet,do0,MSR class,rew2.2,3,0.6281993713515941,0.5773,0.6178,0.6471,0.6405602240896359,0.6046,0.6642,0.6060283687943262,0.4690765212046712
confidnet,do0,CTM global,rew2.2,2,0.6339044183949504,0.5931,0.415,0.395,0.4090756302521008,0.6411,0.6898,0.5645390070921986,0.4963890596189305
confidnet,do0,CTM global,rew2.2,4,0.6084444444444445,0.5876,0.5574,0.5765,0.5891316526610644,0.6287,0.7,0.5352836879432624,0.5908497234173326
confidnet,do0,CTM global,rew2.2,5,0.6081379920389208,0.5768,0.5101,0.5025,0.5457703081232493,0.6278,0.7174,0.5602836879432624,0.739820221266134
confidnet,do0,CTM global,rew2.2,1,0.6126604692341744,0.5814,0.5151,0.5085,0.5446498599439776,0.6394,0.7021,0.5390070921985816,0.6798171481253842
confidnet,do0,CTM global,rew2.2,3,0.6295464750785811,0.5935,0.5202,0.5559,0.565266106442577,0.644,0.7064,0.5590425531914893,0.4935464044253226
confidnet,do0,CTM,rew2.2,2,0.630297565374211,0.5902,0.4111,0.3901,0.4061624649859944,0.6423,0.692,0.5618794326241134,0.4972341733251383
confidnet,do0,CTM,rew2.2,4,0.6164444444444445,0.5938,0.5577,0.577,0.5913725490196079,0.6374,0.7075,0.5434397163120568,0.5971496619545175
confidnet,do0,CTM,rew2.2,5,0.6094648385670057,0.5773,0.506,0.5016,0.5426330532212885,0.6284,0.7188,0.5643617021276596,0.7372080516287646
confidnet,do0,CTM,rew2.2,1,0.6077910579902612,0.5802,0.516,0.5096,0.5446498599439776,0.6394,0.7033,0.5429078014184398,0.6873847572218807
confidnet,do0,CTM,rew2.2,3,0.6299955096542433,0.5941,0.5246,0.5567,0.567843137254902,0.6479,0.7114,0.5593971631205674,0.4920866625691457
confidnet,do0,GEN class pred,rew2.2,2,0.6217312894499549,0.5881,0.6141,0.5873,0.5976470588235294,0.6122,0.6993,0.6609929078014184,0.4822910264290104
confidnet,do0,GEN class pred,rew2.2,4,0.6124444444444445,0.5817,0.6867,0.6916,0.6802240896358543,0.599,0.672,0.624113475177305,0.5230101413644745
