model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM global,rew2.2,2,0.592230039767513,0.3854,0.2917,0.2928,0.2919887955182073,0.459,0.1746,0.599290780141844,0.4665411800860479
confidnet,do0,CTM global,rew2.2,4,0.6045112781954888,0.4216,0.3509,0.213,0.2345098039215686,0.4624,0.1498,0.5796099290780142,0.5322679778733866
confidnet,do0,CTM global,rew2.2,5,0.6212394705174489,0.3954,0.3241,0.2171,0.2542296918767507,0.4817,0.1573,0.5838652482269504,0.4105716041794714
confidnet,do0,CTM global,rew2.2,1,0.5829023425616063,0.3861,0.2591,0.2233,0.2416806722689075,0.4455,0.1522,0.5560283687943263,0.5313844499078058
confidnet,do0,CTM global,rew2.2,3,0.631578947368421,0.406,0.3514,0.2804,0.2816806722689076,0.4771,0.1785,0.5875886524822695,0.3000921942224954
confidnet,do0,CTM,rew2.2,2,0.5940654634444784,0.3876,0.294,0.2943,0.294453781512605,0.461,0.1768,0.6,0.4719575906576521
confidnet,do0,CTM,rew2.2,4,0.6036090225563909,0.4309,0.3633,0.2166,0.2361904761904762,0.4616,0.1615,0.5847517730496454,0.5524354640442533
confidnet,do0,CTM,rew2.2,5,0.6206377858002406,0.3959,0.3241,0.2172,0.2536694677871148,0.4818,0.1583,0.5828014184397163,0.4109557467732022
confidnet,do0,CTM,rew2.2,1,0.5822938850015211,0.3887,0.2605,0.2237,0.2425770308123249,0.4473,0.1536,0.5562056737588652,0.5356868469575906
confidnet,do0,CTM,rew2.2,3,0.6324916337085489,0.4256,0.3724,0.2919,0.2960224089635854,0.4828,0.1952,0.599645390070922,0.3305547019053472
confidnet,do0,CTM class,rew2.2,2,0.5965126950137657,0.401,0.317,0.3201,0.323249299719888,0.472,0.1734,0.625354609929078,0.4635064535955747
confidnet,do0,CTM class,rew2.2,4,0.6066165413533835,0.4454,0.3806,0.2487,0.2717086834733893,0.4854,0.1584,0.6193262411347518,0.5968039336201598
confidnet,do0,CTM class,rew2.2,5,0.6224428399518652,0.4016,0.331,0.25,0.2821288515406162,0.4964,0.1577,0.6099290780141844,0.4169867854947756
confidnet,do0,CTM class,rew2.2,1,0.5844234864618193,0.3981,0.275,0.2476,0.2638655462184874,0.4548,0.1526,0.5833333333333334,0.5442916410571604
confidnet,do0,CTM class,rew2.2,3,0.633100091268634,0.4331,0.3825,0.3198,0.3256022408963585,0.5045,0.1946,0.6210992907801418,0.3085433312845728
confidnet,do0,CTM class pred,rew2.2,2,0.5974304068522484,0.4051,0.3218,0.3234,0.3264985994397759,0.4763,0.1771,0.626241134751773,0.4656960663798402
confidnet,do0,CTM class pred,rew2.2,4,0.6111278195488722,0.448,0.3853,0.2533,0.2779831932773109,0.4901,0.1623,0.6218085106382979,0.5969191763982791
confidnet,do0,CTM class pred,rew2.2,5,0.6239470517448856,0.4045,0.3363,0.2529,0.2844817927170868,0.4997,0.1597,0.6115248226950355,0.4137215734480639
confidnet,do0,CTM class pred,rew2.2,1,0.5862488591420748,0.4002,0.2774,0.2491,0.2658823529411764,0.4568,0.1536,0.5826241134751773,0.5459818684695759
confidnet,do0,CTM class pred,rew2.2,3,0.6312747185883785,0.4314,0.3817,0.3183,0.3240336134453782,0.5019,0.1945,0.6189716312056738,0.3077750460971112
confidnet,do0,fDBD global,rew2.2,2,0.5992658305292138,0.4153,0.339,0.3752,0.3586554621848739,0.4813,0.2236,0.5817375886524823,0.4870159803318992
confidnet,do0,fDBD global,rew2.2,4,0.6093233082706767,0.4372,0.3825,0.2783,0.2954621848739496,0.4782,0.1799,0.5374113475177305,0.5288106945298094
confidnet,do0,fDBD global,rew2.2,5,0.6212394705174489,0.4154,0.3624,0.2678,0.3003921568627451,0.5027,0.1934,0.5647163120567376,0.4067301782421635
confidnet,do0,fDBD global,rew2.2,1,0.5813811986613934,0.4086,0.3065,0.2791,0.2896358543417367,0.4669,0.1918,0.5274822695035462,0.5490165949600492
confidnet,do0,fDBD global,rew2.2,3,0.6464861575905081,0.4511,0.4147,0.3868,0.3706442577030812,0.5095,0.2265,0.5620567375886525,0.3476490473263675
confidnet,do0,fDBD,rew2.2,2,0.6004894463138575,0.4168,0.3396,0.3732,0.3582072829131653,0.4803,0.2246,0.5828014184397163,0.4910878918254456
