model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,MSR global,rew0,0,0.5013550135501355,0.2913,0.3674,0.4245,0.4086274509803921,0.3851,0.3271,0.1409574468085106,0.2071681007990166
modelvit,do1,MSR global,rew0,1,0.4649933949801849,0.3174,0.3767,0.4091,0.404593837535014,0.3896,0.2847,0.1370567375886524,0.2918715427166564
modelvit,do1,MSR global,rew0,2,0.5224867724867724,0.3297,0.3824,0.4223,0.4270028011204482,0.4062,0.2681,0.1539007092198581,0.1784726490473263
modelvit,do1,MSR global,rew0,3,0.4616336633663366,0.3139,0.3597,0.4095,0.3985434173669467,0.3791,0.2881,0.1292553191489361,0.2407037492317148
modelvit,do1,MSR global,rew0,4,0.4811443433029909,0.3159,0.3656,0.4288,0.4221848739495798,0.3913,0.2923,0.1283687943262411,0.2486939151813153
modelvit,do1,MSR,rew0,0,0.5094850948509485,0.2952,0.3781,0.4222,0.414453781512605,0.3863,0.3372,0.1420212765957446,0.2280654578979717
modelvit,do1,MSR,rew0,1,0.4623513870541612,0.3187,0.3792,0.4129,0.4121008403361345,0.3907,0.3035,0.1375886524822695,0.3121926859250153
modelvit,do1,MSR,rew0,2,0.5370370370370371,0.3275,0.3843,0.4348,0.4298039215686274,0.4025,0.2715,0.1620567375886525,0.1870774431468961
modelvit,do1,MSR,rew0,3,0.4504950495049505,0.306,0.3567,0.409,0.4017927170868347,0.3782,0.2872,0.1329787234042553,0.2430470190534726
modelvit,do1,MSR,rew0,4,0.4798439531859558,0.3155,0.3693,0.4372,0.4284593837535014,0.3918,0.2971,0.1354609929078014,0.2521127842655193
modelvit,do0,GEN,rew0,1,0.4449612403100775,0.2425,0.3403,0.3512,0.4054901960784314,0.3474,0.2681,0.1113475177304964,0.219998463429625
modelvit,do0,GEN,rew0,0,0.5828571428571429,0.5678,0.371,0.4192,0.4783193277310924,0.4612,0.4208,0.6384751773049645,0.579978488014751
modelvit,do0,GEN,rew0,4,0.52099533437014,0.2306,0.3246,0.2737,0.3314285714285714,0.3355,0.2214,0.076595744680851,0.2547633681622618
modelvit,do0,GEN,rew0,3,0.4488549618320611,0.2579,0.3252,0.2563,0.3282913165266106,0.3493,0.2264,0.0785460992907801,0.1913414259373079
modelvit,do0,GEN,rew0,2,0.4478527607361963,0.2581,0.3242,0.2692,0.3126050420168067,0.3376,0.2224,0.1615248226950354,0.3356637984019668
modelvit,do1,GEN global,rew0,0,0.510840108401084,0.3024,0.3752,0.4271,0.4116526610644258,0.3978,0.3261,0.1592198581560283,0.2082821143208359
modelvit,do1,GEN global,rew0,1,0.4597093791281373,0.3793,0.4058,0.4095,0.4106442577030812,0.4208,0.2872,0.2609929078014184,0.314920098340504
modelvit,do1,GEN global,rew0,2,0.5515873015873016,0.772,0.7349,0.6577,0.6766386554621848,0.7242,0.6051,0.8106382978723404,0.6943761524277812
modelvit,do1,GEN global,rew0,3,0.4603960396039604,0.3141,0.3581,0.4012,0.3912605042016807,0.382,0.2769,0.1317375886524822,0.2336355255070682
modelvit,do1,GEN global,rew0,4,0.4642392717815344,0.3441,0.38,0.4284,0.4226330532212885,0.4089,0.2956,0.2037234042553191,0.2679778733866011
modelvit,do1,PCE,rew0,0,0.5203252032520326,0.282,0.3652,0.409,0.4021288515406162,0.3692,0.3208,0.1329787234042553,0.2134296250768285
modelvit,do1,PCE,rew0,1,0.4676354029062087,0.3078,0.3695,0.4026,0.403921568627451,0.3768,0.2914,0.1281914893617021,0.2997080516287645
modelvit,do1,PCE,rew0,2,0.544973544973545,0.3054,0.365,0.4144,0.4078431372549019,0.3803,0.2461,0.1439716312056737,0.1661032575291948
modelvit,do1,PCE,rew0,3,0.4653465346534653,0.297,0.3485,0.401,0.3922689075630252,0.3677,0.276,0.126063829787234,0.2327904118008605
modelvit,do1,PCE,rew0,4,0.4746423927178153,0.3009,0.3569,0.4248,0.4151260504201681,0.3782,0.2816,0.1246453900709219,0.2365165949600491
modelvit,do1,PCE global,rew0,0,0.516260162601626,0.2822,0.3578,0.4144,0.3998879551820728,0.3739,0.3166,0.1303191489361702,0.1970651505838967
modelvit,do1,PCE global,rew0,1,0.4715984147952444,0.3046,0.3644,0.3964,0.3929411764705882,0.3763,0.2682,0.1280141843971631,0.2785033804548248
modelvit,do1,PCE global,rew0,2,0.5343915343915344,0.3097,0.3627,0.405,0.4060504201680672,0.3822,0.2446,0.1375886524822695,0.1589582052858021
modelvit,do1,PCE global,rew0,3,0.4641089108910891,0.3005,0.3456,0.3951,0.3845378151260504,0.3649,0.2693,0.1161347517730496,0.2265673017824216
modelvit,do1,PCE global,rew0,4,0.4993498049414824,0.3051,0.3557,0.4241,0.4171428571428571,0.3827,0.2833,0.1207446808510638,0.23889827904118
modelvit,do1,GEN class pred,rew0,0,0.505420054200542,0.3749,0.4652,0.48,0.4678991596638655,0.4855,0.356,0.3874113475177305,0.3073140749846343
modelvit,do1,GEN class pred,rew0,1,0.4623513870541612,0.4037,0.4478,0.4575,0.4617366946778711,0.466,0.3351,0.2849290780141844,0.3892132759680393
modelvit,do1,GEN class pred,rew0,2,0.5568783068783069,0.4261,0.4932,0.4674,0.4724929971988795,0.4878,0.2992,0.374645390070922,0.3053165334972342
modelvit,do1,GEN class pred,rew0,3,0.4851485148514851,0.4183,0.4678,0.4867,0.4720448179271708,0.4958,0.323,0.326595744680851,0.3453057775046097
modelvit,do1,GEN class pred,rew0,4,0.505851755526658,0.4134,0.4788,0.4785,0.4803361344537815,0.495,0.3399,0.3367021276595744,0.397318684695759
modelvit,do1,MSR class,rew0,0,0.5271002710027101,0.2746,0.3748,0.4226,0.4135574229691877,0.3768,0.3391,0.1413120567375886,0.234019668100799
modelvit,do1,MSR class,rew0,1,0.4663143989431968,0.3132,0.3785,0.4155,0.4141176470588235,0.3899,0.31,0.1384751773049645,0.323640135218193
modelvit,do1,MSR class,rew0,2,0.5529100529100529,0.3152,0.3844,0.4351,0.4341736694677871,0.397,0.2876,0.1618794326241134,0.1921865396435156
modelvit,do1,MSR class,rew0,3,0.4863861386138614,0.3017,0.3635,0.4237,0.4157983193277311,0.3834,0.3375,0.1342198581560283,0.2472725875845113
modelvit,do1,MSR class,rew0,4,0.5240572171651495,0.3086,0.3833,0.4501,0.4462745098039216,0.402,0.3275,0.1359929078014184,0.2707437000614628
modelvit,do1,GEN class,rew0,0,0.5271002710027101,0.2729,0.3731,0.4173,0.4082913165266106,0.3796,0.3294,0.1450354609929078,0.2281807006760909
modelvit,do1,GEN class,rew0,1,0.463672391017173,0.3558,0.4104,0.4348,0.4311484593837535,0.4319,0.323,0.2226950354609929,0.3463045482483097
modelvit,do1,GEN class,rew0,2,0.5502645502645502,0.4588,0.4795,0.4537,0.4593837535014005,0.5103,0.3175,0.4390070921985816,0.2944837123540258
modelvit,do1,GEN class,rew0,3,0.4962871287128713,0.5706,0.5827,0.5058,0.5191036414565826,0.5939,0.4243,0.6015957446808511,0.453518746158574
modelvit,do1,GEN class,rew0,4,0.5214564369310793,0.3058,0.3799,0.4374,0.434733893557423,0.3986,0.3157,0.1409574468085106,0.2670559311616472
modelvit,do1,REN,rew0,0,0.551490514905149,0.2776,0.363,0.3721,0.3686274509803922,0.3916,0.27,0.2833333333333333,0.1733635525507068
modelvit,do1,REN,rew0,1,0.4953764861294584,0.3361,0.3754,0.3823,0.3808403361344538,0.4,0.2483,0.2085106382978723,0.2721650276582667
modelvit,do1,REN,rew0,2,0.5542328042328042,0.5491,0.5175,0.4246,0.4342857142857143,0.5329,0.3111,0.5317375886524822,0.3358558696988322
modelvit,do1,REN,rew0,3,0.4764851485148514,0.3678,0.3891,0.364,0.3640336134453781,0.4472,0.2351,0.3062056737588652,0.1949907805777504
modelvit,do1,REN,rew0,4,0.5032509752925878,0.4516,0.4368,0.3967,0.3937254901960784,0.4852,0.2617,0.4120567375886524,0.2692839582052858
modelvit,do1,REN global,rew0,0,0.5745257452574526,0.2452,0.3299,0.3706,0.3624649859943977,0.3433,0.2659,0.1182624113475177,0.1530424093423479
modelvit,do1,REN global,rew0,1,0.4887714663143989,0.3028,0.3491,0.3628,0.3605602240896358,0.3696,0.2175,0.1741134751773049,0.2390135218192993
modelvit,do1,REN global,rew0,2,0.5383597883597884,0.748,0.6869,0.582,0.6052661064425771,0.6881,0.5172,0.7895390070921986,0.6210817455439459
modelvit,do1,REN global,rew0,3,0.4752475247524752,0.3531,0.3759,0.3503,0.3476750700280112,0.4573,0.2151,0.3017730496453901,0.1727873386601106
modelvit,do1,REN global,rew0,4,0.505851755526658,0.4876,0.4706,0.4075,0.40593837535014,0.5163,0.2908,0.4913120567375886,0.3134987707437001
modelvit,do1,PCE class,rew0,0,0.532520325203252,0.2663,0.3651,0.413,0.4035854341736695,0.3666,0.3291,0.1349290780141843,0.2241856177012907
modelvit,do1,PCE class,rew0,1,0.47556142668428,0.2998,0.3658,0.4014,0.4014565826330532,0.3732,0.292,0.12677304964539,0.3073909035033804
modelvit,do1,PCE class,rew0,2,0.5582010582010583,0.295,0.3632,0.4111,0.4104201680672268,0.3726,0.2621,0.1455673758865248,0.1691763982790411
modelvit,do1,PCE class,rew0,3,0.4925742574257425,0.2849,0.347,0.4098,0.3989915966386554,0.3676,0.3179,0.1234042553191489,0.2309849416103257
modelvit,do1,PCE class,rew0,4,0.5240572171651495,0.2914,0.3659,0.4332,0.4280112044817927,0.3828,0.3056,0.1228723404255319,0.2498847572218807
modelvit,do0,MSR class pred,rew0,1,0.5054263565891473,0.2068,0.3314,0.3561,0.4206162464985994,0.3251,0.2386,0.0608156028368794,0.2377842655193608
modelvit,do0,MSR class pred,rew0,0,0.6273015873015872,0.6296,0.3951,0.4245,0.4919887955182073,0.5352,0.4261,0.673049645390071,0.6446296865396435
modelvit,do0,MSR class pred,rew0,4,0.4961119751166407,0.2238,0.3401,0.3122,0.3746778711484594,0.3667,0.2492,0.0806737588652482,0.3072756607252612
modelvit,do0,MSR class pred,rew0,3,0.4946564885496183,0.2279,0.3112,0.2485,0.3231372549019607,0.3295,0.2094,0.0634751773049645,0.1879609711124769
modelvit,do0,MSR class pred,rew0,2,0.4677914110429448,0.1986,0.2935,0.2914,0.3401680672268907,0.2987,0.2001,0.0526595744680851,0.2465427166564228
modelvit,do0,PCE class pred,rew0,1,0.5054263565891473,0.2019,0.3235,0.3494,0.4128851540616246,0.3175,0.2325,0.0579787234042553,0.2268746158574062
modelvit,do0,PCE class pred,rew0,0,0.6241269841269841,0.6165,0.3679,0.3981,0.4654341736694677,0.5112,0.4042,0.6478723404255319,0.6128226797787338
modelvit,do0,PCE class pred,rew0,4,0.5038880248833593,0.2195,0.3334,0.3056,0.3690756302521008,0.36,0.2443,0.0774822695035461,0.2987092808850645
modelvit,do0,PCE class pred,rew0,3,0.4961832061068702,0.2256,0.3085,0.2458,0.3201120448179271,0.3252,0.208,0.0618794326241134,0.1846573448063921
modelvit,do0,PCE class pred,rew0,2,0.4708588957055215,0.1964,0.2896,0.2879,0.3373669467787115,0.2957,0.1982,0.050177304964539,0.2414720344191764
modelvit,do0,REN class,rew0,1,0.5255813953488372,0.2587,0.3226,0.3294,0.3904761904761905,0.34,0.2675,0.1939716312056737,0.2268362015980332
modelvit,do0,REN class,rew0,0,0.6171428571428571,0.5605,0.3968,0.4552,0.5110364145658264,0.4415,0.42,0.6478723404255319,0.5263137676705593
modelvit,do0,REN class,rew0,4,0.5147744945567652,0.372,0.3786,0.2816,0.3416246498599439,0.4074,0.2543,0.3891843971631206,0.2682851874615857
modelvit,do0,REN class,rew0,3,0.5099236641221374,0.6556,0.6083,0.4388,0.5090196078431373,0.696,0.3673,0.750886524822695,0.5555086047940996
modelvit,do0,REN class,rew0,2,0.5122699386503068,0.425,0.3951,0.3048,0.3509243697478991,0.4531,0.2664,0.6356382978723404,0.2306776275353411
modelvit,do1,PE global,rew0,0,0.5772357723577236,0.2368,0.3188,0.3733,0.3639215686274509,0.3258,0.2766,0.0991134751773049,0.1578057775046097
modelvit,do1,PE global,rew0,1,0.5165125495376486,0.2621,0.3272,0.3625,0.3530532212885154,0.3261,0.2182,0.0945035460992907,0.2354409956976029
modelvit,do1,PE global,rew0,2,0.5621693121693122,0.2672,0.3141,0.3659,0.3623529411764706,0.3293,0.2005,0.101063829787234,0.121619545175169
modelvit,do1,PE global,rew0,3,0.5061881188118812,0.2581,0.3036,0.3622,0.3489075630252101,0.3179,0.2282,0.0886524822695035,0.1852335586969883
modelvit,do1,PE global,rew0,4,0.5227568270481144,0.2513,0.311,0.3843,0.3728851540616246,0.332,0.2286,0.0858156028368794,0.1861170866625691
modelvit,do1,REN class pred,rew0,0,0.5555555555555556,0.3145,0.4246,0.4088,0.3998879551820728,0.4548,0.2775,0.401950354609929,0.2155424093423479
modelvit,do1,REN class pred,rew0,1,0.5297225891677675,0.636,0.6421,0.5986,0.6181512605042017,0.6525,0.493,0.6638297872340425,0.5933082360172096
modelvit,do1,REN class pred,rew0,2,0.548941798941799,0.6774,0.6903,0.5869,0.6030252100840336,0.6627,0.4785,0.7514184397163121,0.6178165334972342
modelvit,do1,REN class pred,rew0,3,0.525990099009901,0.2968,0.3683,0.3815,0.3722128851540616,0.4007,0.2293,0.1849290780141844,0.1904578979717271
modelvit,do1,REN class pred,rew0,4,0.540962288686606,0.4159,0.4954,0.4452,0.4433613445378151,0.4935,0.3094,0.4386524822695035,0.3889059618930547
modelvit,do1,PE,rew0,0,0.573170731707317,0.2364,0.3266,0.3694,0.367843137254902,0.3214,0.2791,0.100354609929078,0.1731714812538414
modelvit,do1,PE,rew0,1,0.512549537648613,0.2604,0.332,0.3667,0.3602240896358543,0.3241,0.2422,0.0936170212765957,0.2538414259373079
modelvit,do1,PE,rew0,2,0.5846560846560847,0.2666,0.3257,0.383,0.3740056022408963,0.328,0.2084,0.1065602836879432,0.1309157959434542
modelvit,do1,PE,rew0,3,0.5099009900990099,0.2542,0.3114,0.37,0.359327731092437,0.3223,0.2371,0.0960992907801418,0.1956438229870928
modelvit,do1,PE,rew0,4,0.5227568270481144,0.2522,0.3143,0.3975,0.3831932773109244,0.3334,0.2311,0.0920212765957446,0.1911877688998156
modelvit,do0,PE class pred,rew0,1,0.5457364341085271,0.1783,0.2938,0.3192,0.3857703081232493,0.2802,0.2065,0.0420212765957446,0.1685233558696988
modelvit,do0,PE class pred,rew0,0,0.64,0.6247,0.3371,0.363,0.4340616246498599,0.5036,0.3978,0.6265957446808511,0.5757145052243393
modelvit,do0,PE class pred,rew0,4,0.5443234836702955,0.1985,0.2937,0.2725,0.3349019607843137,0.3117,0.2093,0.0492907801418439,0.2435848186846957
modelvit,do0,PE class pred,rew0,3,0.5236641221374045,0.2109,0.2842,0.2296,0.3064425770308123,0.2907,0.1987,0.0421985815602836,0.1558082360172095
modelvit,do0,PE class pred,rew0,2,0.5291411042944786,0.1759,0.2661,0.2608,0.3158543417366947,0.2646,0.1828,0.0358156028368794,0.2073217578365089
modelvit,do1,PE class,rew0,0,0.5799457994579946,0.2253,0.3258,0.3699,0.3680672268907563,0.3178,0.2935,0.1044326241134751,0.1852335586969883
modelvit,do1,PE class,rew0,1,0.5323645970937912,0.2632,0.3376,0.3709,0.3643697478991596,0.3327,0.2536,0.0941489361702127,0.2702059004302397
modelvit,do1,PE class,rew0,2,0.5965608465608465,0.2598,0.3279,0.3832,0.3796078431372549,0.3303,0.2309,0.1111702127659574,0.1384834050399508
modelvit,do1,PE class,rew0,3,0.551980198019802,0.2469,0.3174,0.3856,0.375126050420168,0.3281,0.2928,0.0985815602836879,0.1987937922556853
modelvit,do1,PE class,rew0,4,0.5370611183355006,0.2439,0.3313,0.4026,0.3923809523809524,0.339,0.265,0.0948581560283687,0.2055547019053472
modelvit,do1,fDBD global,rew0,0,0.5989159891598916,0.2467,0.3294,0.3345,0.3446498599439775,0.3273,0.2592,0.1031914893617021,0.1688306699446834
modelvit,do1,fDBD global,rew0,1,0.5099075297225891,0.2565,0.3274,0.3253,0.3282913165266106,0.3174,0.2242,0.0934397163120567,0.2328672403196066
modelvit,do1,fDBD global,rew0,2,0.5992063492063492,0.2838,0.326,0.3375,0.3453221288515406,0.3277,0.1941,0.1111702127659574,0.1199677320221266
modelvit,do1,fDBD global,rew0,3,0.5482673267326733,0.2506,0.3058,0.3147,0.3177591036414566,0.3042,0.2264,0.0898936170212766,0.1622618315918869
