model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR,rew2.2,1,0.6193258426966292,0.5556,0.6409,0.7388,0.7234733893557423,0.6088,0.5796,0.6127659574468085,0.6003380454824832
confidnet,do1,MCD-MSR,rew2.2,3,0.6302177858439202,0.5701,0.6337,0.6536,0.6694677871148459,0.6019,0.5554,0.6051418439716312,0.6107098955132145
confidnet,do1,MCD-MSR,rew2.2,5,0.6300230946882217,0.5741,0.6374,0.6755,0.6732773109243697,0.6046,0.5194,0.6193262411347518,0.6843116164720344
confidnet,do1,MCD-MSR,rew2.2,4,0.6390134529147982,0.5823,0.5288,0.6161,0.611764705882353,0.6227,0.5523,0.649113475177305,0.6119775660725261
confidnet,do1,MCD-MSR,rew2.2,2,0.6154533273782938,0.5667,0.5916,0.6922,0.660280112044818,0.5924,0.5478,0.5962765957446808,0.6414028887523049
confidnet,do1,MCD-MSR class pred,rew2.2,1,0.6229213483146068,0.5603,0.6696,0.7683,0.7548459383753502,0.6283,0.6141,0.6695035460992907,0.6658343577135832
confidnet,do1,MCD-MSR class pred,rew2.2,3,0.6429219600725953,0.578,0.6723,0.6881,0.7096918767507003,0.6263,0.5832,0.6540780141843971,0.640980331899201
confidnet,do1,MCD-MSR class pred,rew2.2,5,0.6457274826789838,0.5785,0.6735,0.7119,0.7149579831932773,0.6178,0.5584,0.6583333333333333,0.7374769514443762
confidnet,do1,MCD-MSR class pred,rew2.2,4,0.6381165919282511,0.5868,0.5771,0.6599,0.6671148459383753,0.643,0.5827,0.698404255319149,0.660840503995083
confidnet,do1,MCD-MSR class pred,rew2.2,2,0.6203662349263064,0.5725,0.6105,0.7185,0.7015126050420168,0.6094,0.578,0.6420212765957447,0.6904578979717271
confidnet,do1,MCD-MSR class,rew2.2,1,0.6256179775280899,0.554,0.6481,0.7438,0.726610644257703,0.6171,0.5937,0.6320921985815603,0.6222341733251383
confidnet,do1,MCD-MSR class,rew2.2,3,0.6415607985480943,0.5755,0.644,0.6679,0.6802240896358543,0.6129,0.5668,0.625354609929078,0.613360479409957
confidnet,do1,MCD-MSR class,rew2.2,5,0.6503464203233257,0.5825,0.6498,0.6884,0.6892997198879551,0.6129,0.5328,0.6265957446808511,0.7079748002458512
confidnet,do1,MCD-MSR class,rew2.2,4,0.6421524663677131,0.5871,0.5431,0.6341,0.6296918767507003,0.6349,0.5669,0.6583333333333333,0.6352181929932391
confidnet,do1,MCD-MSR class,rew2.2,2,0.6225993747208576,0.5763,0.5907,0.6958,0.6654341736694678,0.6056,0.5513,0.6099290780141844,0.6525046097111248
confidnet,do1,MCD-MSR global,rew2.2,1,0.6332584269662921,0.5642,0.6481,0.7456,0.730532212885154,0.6176,0.5962,0.6278368794326241,0.6287261831591887
confidnet,do1,MCD-MSR global,rew2.2,3,0.6533575317604355,0.5779,0.6474,0.6687,0.6770868347338935,0.6111,0.5619,0.6329787234042553,0.6217732022126613
confidnet,do1,MCD-MSR global,rew2.2,5,0.6420323325635104,0.5811,0.6519,0.6932,0.6905322128851541,0.6198,0.5328,0.6317375886524823,0.7196527350952674
confidnet,do1,MCD-MSR global,rew2.2,4,0.636322869955157,0.5831,0.5517,0.6407,0.6333893557422969,0.6385,0.5588,0.6629432624113475,0.6335663798401967
confidnet,do1,MCD-MSR global,rew2.2,2,0.619472979008486,0.5731,0.5902,0.7031,0.674733893557423,0.6101,0.5578,0.6129432624113476,0.6631453595574678
confidnet,do1,MCD-MSR class avg,rew2.2,1,0.6364044943820225,0.5593,0.6514,0.7507,0.7309803921568627,0.6276,0.59,0.6351063829787233,0.6220036877688998
confidnet,do1,MCD-MSR class avg,rew2.2,3,0.6497277676950998,0.5814,0.6476,0.6698,0.6850420168067227,0.617,0.564,0.6274822695035461,0.615818992009834
confidnet,do1,MCD-MSR class avg,rew2.2,5,0.6466512702078522,0.5894,0.6506,0.6857,0.6828011204481793,0.6174,0.5255,0.6352836879432624,0.7170021511985248
confidnet,do1,MCD-MSR class avg,rew2.2,4,0.6376681614349776,0.5947,0.5471,0.6348,0.6248739495798319,0.6487,0.5576,0.6705673758865248,0.6314535955746773
confidnet,do1,MCD-MSR class avg,rew2.2,2,0.6288521661456007,0.5858,0.5939,0.7011,0.6674509803921569,0.6193,0.5563,0.6184397163120567,0.6563076213890596
confidnet,do1,MCD-GEN class,rew2.2,1,0.6444943820224719,0.5535,0.6276,0.7328,0.7101400560224089,0.6127,0.5839,0.6239361702127659,0.6184695759065765
confidnet,do1,MCD-GEN class,rew2.2,3,0.6592558983666061,0.5639,0.6335,0.6599,0.6654341736694678,0.6171,0.5548,0.6182624113475177,0.6107483097725875
