model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,MSR global,rew2.2,5,0.0899975429037683,0.4053694113699385,0.2749587182831709,0.3066134209623106,0.2522171614896458,0.3924596236813731,0.3018213007534461,0.1670116603576412,0.591729507858499
confidnet,do0,MSR global,rew2.2,3,0.0966395149317377,0.4004818416050326,0.3191481578945675,0.3323981377226103,0.3000365883337937,0.3771959844628887,0.2982810006600085,0.1684998373282099,0.5687327854839559
confidnet,do0,MSR global,rew2.2,1,0.0982992673951577,0.3913974517666806,0.2890975887116064,0.3134604668079849,0.2968682085107565,0.3753843827638644,0.2687134263038974,0.1553322485459334,0.5508398039957683
confidnet,do0,MSR global,rew2.2,2,0.103876097205669,0.4033421262632998,0.2950488568013565,0.326275536118475,0.2720482788215865,0.3843670026899496,0.2674085510140641,0.1310812322955613,0.494385171438083
confidnet,do0,MSR global,rew2.2,4,0.0943903131184327,0.4142593276363692,0.2079545985354789,0.2529959647414546,0.1988920073909408,0.3826049601129287,0.2670119846716439,0.1463140682754091,0.527991785967902
confidnet,do0,MSR,rew2.2,5,0.0939886860468661,0.4026781392138842,0.2694684587408693,0.3137070525039371,0.2573633266061408,0.3914619820076569,0.2976918128021048,0.1657658373796146,0.5942883518051822
confidnet,do0,MSR,rew2.2,3,0.0931082876134756,0.3977409312804227,0.316472266390341,0.330897677391049,0.300824974177495,0.3746970354044312,0.2936847173007814,0.1652706553954335,0.5684651055268188
confidnet,do0,MSR,rew2.2,1,0.1018694318178858,0.3911058711305635,0.2865524873970642,0.3133703346567098,0.2946338244704515,0.3755955523408146,0.2658091267769557,0.1546875233605841,0.5495449988550065
confidnet,do0,MSR,rew2.2,2,0.0966599105724117,0.4038812449903952,0.2858188502404157,0.3259010300723287,0.267986395793017,0.3823086511765609,0.2634851671656206,0.1326187210823046,0.4976342638522057
confidnet,do0,MSR,rew2.2,4,0.0980912969532796,0.4158347759257408,0.2084526866058738,0.249313215734323,0.1993080790772195,0.3839537480217915,0.2665259736066059,0.1566894904892083,0.5308970203321369
confidnet,do0,MSR class avg,rew2.2,5,0.0975661943904037,0.3892027393739782,0.2887527007227647,0.3130060972627221,0.2650042722811551,0.3886148520673619,0.2936939016522701,0.1307269730441546,0.5329922517300202
confidnet,do0,MSR class avg,rew2.2,3,0.0926418182251919,0.3906143791673849,0.2945410658863068,0.2996148715649083,0.2813978322884154,0.34095902038879,0.2576820298532176,0.102777576454673,0.5129373702591077
confidnet,do0,MSR class avg,rew2.2,1,0.1025694627555612,0.3921741317059086,0.2944383689450439,0.3152683138267846,0.3015931718641487,0.3750128757829224,0.2688990376225484,0.1497778157386031,0.5355003608292606
confidnet,do0,MSR class avg,rew2.2,2,0.1208111034860425,0.4169493286312702,0.2926045947240429,0.3393914263688721,0.2804184726220038,0.3678991847758281,0.2562139690954613,0.1263300022412233,0.4843269644000846
confidnet,do0,MSR class avg,rew2.2,4,0.0877205081522455,0.4120479054402487,0.207811754536178,0.2477661481691359,0.2044967551451457,0.379916898966918,0.2659379826593863,0.1349086062820055,0.5248064528064834
confidnet,do1,MSR,rew2.2,4,0.1314391566550021,0.3924635257780873,0.1872820536550797,0.3003030684779524,0.244848911525596,0.4316518786095364,0.2361953073506509,0.2240845266703053,0.6235200876227125
