model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,NNGuide class pred,rew0,0,0.0819999999999999,0.5475851494907458,0.5475851494907458,0.5475851494907458,0.5192878338278932,0.5475851494907458,0.5475851494907458,0.4056970220112214,0.7590832215547909
modelvit,do1,NNGuide class pred,rew0,1,0.0841111111111111,0.5481554568875733,0.5481554568875733,0.5481554568875733,0.5198625349487418,0.5481554568875733,0.5481554568875733,0.4062522509544046,0.7595040116703137
modelvit,do1,NNGuide class pred,rew0,2,0.0839999999999999,0.5481254110940583,0.5481254110940583,0.5481254110940583,0.5198322558098899,0.5481254110940583,0.5481254110940583,0.4062229904926534,0.7594818531917377
modelvit,do1,NNGuide class pred,rew0,3,0.0897777777777777,0.5496921723834652,0.5496921723834652,0.5496921723834652,0.5214114622889525,0.5496921723834652,0.5496921723834652,0.4077501445922499,0.7606358111266946
modelvit,do1,NNGuide class pred,rew0,4,0.0854444444444444,0.5485162635072129,0.5485162635072129,0.5485162635072129,0.520226159944043,0.5485162635072129,0.5485162635072129,0.4066037055727777,0.7597700143011412
modelvit,do1,NNGuide global,rew0,0,0.0819999999999999,0.5475851494907458,0.5475851494907458,0.5475851494907458,0.5192878338278932,0.5475851494907458,0.5475851494907458,0.4056970220112214,0.7590832215547909
modelvit,do1,NNGuide global,rew0,1,0.0841111111111111,0.5481554568875733,0.5481554568875733,0.5481554568875733,0.5198625349487418,0.5481554568875733,0.5481554568875733,0.4062522509544046,0.7595040116703137
modelvit,do1,NNGuide global,rew0,2,0.0839999999999999,0.5481254110940583,0.5481254110940583,0.5481254110940583,0.5198322558098899,0.5481254110940583,0.5481254110940583,0.4062229904926534,0.7594818531917377
modelvit,do1,NNGuide global,rew0,3,0.0897777777777777,0.5496921723834652,0.5496921723834652,0.5496921723834652,0.5214114622889525,0.5496921723834652,0.5496921723834652,0.4077501445922499,0.7606358111266946
modelvit,do1,NNGuide global,rew0,4,0.0854444444444444,0.5485162635072129,0.5485162635072129,0.5485162635072129,0.520226159944043,0.5485162635072129,0.5485162635072129,0.4066037055727777,0.7597700143011412
modelvit,do1,NeCo,rew0,0,0.0819999999999999,0.5475851494907458,0.5475851494907458,0.5475851494907458,0.5192878338278932,0.5475851494907458,0.5475851494907458,0.4056970220112214,0.7590832215547909
modelvit,do1,NeCo,rew0,1,0.0841111111111111,0.5481554568875733,0.5481554568875733,0.5481554568875733,0.5198625349487418,0.5481554568875733,0.5481554568875733,0.4062522509544046,0.7595040116703137
modelvit,do1,NeCo,rew0,2,0.0839999999999999,0.5481254110940583,0.5481254110940583,0.5481254110940583,0.5198322558098899,0.5481254110940583,0.5481254110940583,0.4062229904926534,0.7594818531917377
modelvit,do1,NeCo,rew0,3,0.0897777777777777,0.5496921723834652,0.5496921723834652,0.5496921723834652,0.5214114622889525,0.5496921723834652,0.5496921723834652,0.4077501445922499,0.7606358111266946
modelvit,do1,NeCo,rew0,4,0.0854444444444444,0.5485162635072129,0.5485162635072129,0.5485162635072129,0.520226159944043,0.5485162635072129,0.5485162635072129,0.4066037055727777,0.7597700143011412
modelvit,do1,NNGuide,rew0,0,0.0819999999999999,0.5475851494907458,0.5475851494907458,0.5475851494907458,0.5192878338278932,0.5475851494907458,0.5475851494907458,0.4056970220112214,0.7590832215547909
modelvit,do1,NNGuide,rew0,1,0.0841111111111111,0.5481554568875733,0.5481554568875733,0.5481554568875733,0.5198625349487418,0.5481554568875733,0.5481554568875733,0.4062522509544046,0.7595040116703137
modelvit,do1,NNGuide,rew0,2,0.0839999999999999,0.5481254110940583,0.5481254110940583,0.5481254110940583,0.5198322558098899,0.5481254110940583,0.5481254110940583,0.4062229904926534,0.7594818531917377
modelvit,do1,NNGuide,rew0,3,0.0897777777777777,0.5496921723834652,0.5496921723834652,0.5496921723834652,0.5214114622889525,0.5496921723834652,0.5496921723834652,0.4077501445922499,0.7606358111266946
modelvit,do1,NNGuide,rew0,4,0.0854444444444444,0.5485162635072129,0.5485162635072129,0.5485162635072129,0.520226159944043,0.5485162635072129,0.5485162635072129,0.4066037055727777,0.7597700143011412
modelvit,do1,Energy,rew0,0,0.0819999999999999,0.5475851494907458,0.5475851494907458,0.5475851494907458,0.5192878338278932,0.5475851494907458,0.5475851494907458,0.4056970220112214,0.7590832215547909
