model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do1,MSR,rew0,0,0.0846264107471012,0.4375136787777717,0.4911759367959306,0.4830329845034386,0.4486933961290849,0.4773733528603247,0.3867263701127046,0.2928849106920948,0.5541953106323583
modelvit,do1,MSR,rew0,1,0.0854828704369602,0.4377356802743046,0.4814502321375973,0.4698014146285589,0.4274283055987447,0.4519654419818223,0.3597800697391611,0.2778755464951898,0.5402114029954895
modelvit,do1,MSR,rew0,2,0.0872214871905831,0.455065974079661,0.509156990006931,0.4612915728278063,0.4349317369147606,0.4690038167676695,0.404330003760428,0.2989246998972819,0.5537826856744119
modelvit,do1,MSR,rew0,4,0.0854230293959951,0.4470972065173345,0.5118156154669897,0.4791417009967021,0.4226419832042984,0.4878327949009383,0.4267826086803974,0.3162560626552096,0.5568980452006873
modelvit,do1,MSR,rew0,3,0.1714705051203428,0.4309122957752143,0.4757490769224389,0.4179060402517577,0.4171400454255969,0.4330695600921589,0.3650142749221706,0.2996947072538293,0.5397354539937946
modelvit,do0,Energy class,rew0,1,0.1045555555555555,0.553740517193643,0.553740517193643,0.553740517193643,0.5254945831370702,0.553740517193643,0.553740517193643,0.4117088838601358,0.7636032970578746
modelvit,do0,Energy class,rew0,0,0.1056666666666666,0.5540473156407557,0.5540473156407557,0.5540473156407557,0.5258041710851891,0.5540473156407557,0.5540473156407557,0.4120096427788735,0.7638273524837886
modelvit,do0,Energy class,rew0,3,0.1073333333333332,0.5545081512698237,0.5545081512698237,0.5545081512698237,0.5262692375729701,0.5545081512698237,0.5545081512698237,0.4124616059675295,0.7641636822638408
modelvit,do0,Energy class,rew0,4,0.1074444444444444,0.5545389009038983,0.5545389009038983,0.5545389009038983,0.5263002712584031,0.5545389009038983,0.5545389009038983,0.4124917721056096,0.7641861147805665
modelvit,do0,Energy class,rew0,2,0.1053333333333332,0.5539552404165744,0.5539552404165744,0.5539552404165744,0.5257112564057254,0.5539552404165744,0.5539552404165744,0.4119193689745837,0.7637601220514024
modelvit,do0,GradNorm class pred,rew0,1,0.1045555555555555,0.553740517193643,0.553740517193643,0.553740517193643,0.5254945831370702,0.553740517193643,0.553740517193643,0.4117088838601358,0.7636032970578746
modelvit,do0,GradNorm class pred,rew0,0,0.1056666666666666,0.5540473156407557,0.5540473156407557,0.5540473156407557,0.5258041710851891,0.5540473156407557,0.5540473156407557,0.4120096427788735,0.7638273524837886
modelvit,do0,GradNorm class pred,rew0,3,0.1073333333333332,0.5545081512698237,0.5545081512698237,0.5545081512698237,0.5262692375729701,0.5545081512698237,0.5545081512698237,0.4124616059675295,0.7641636822638408
modelvit,do0,GradNorm class pred,rew0,4,0.1074444444444444,0.5545389009038983,0.5545389009038983,0.5545389009038983,0.5263002712584031,0.5545389009038983,0.5545389009038983,0.4124917721056096,0.7641861147805665
modelvit,do0,GradNorm class pred,rew0,2,0.1053333333333332,0.5539552404165744,0.5539552404165744,0.5539552404165744,0.5257112564057254,0.5539552404165744,0.5539552404165744,0.4119193689745837,0.7637601220514024
modelvit,do0,GradNorm,rew0,1,0.1045555555555555,0.553740517193643,0.553740517193643,0.553740517193643,0.5254945831370702,0.553740517193643,0.553740517193643,0.4117088838601358,0.7636032970578746
modelvit,do0,GradNorm,rew0,0,0.1056666666666666,0.5540473156407557,0.5540473156407557,0.5540473156407557,0.5258041710851891,0.5540473156407557,0.5540473156407557,0.4120096427788735,0.7638273524837886
modelvit,do0,GradNorm,rew0,3,0.1073333333333332,0.5545081512698237,0.5545081512698237,0.5545081512698237,0.5262692375729701,0.5545081512698237,0.5545081512698237,0.4124616059675295,0.7641636822638408
modelvit,do0,GradNorm,rew0,4,0.1074444444444444,0.5545389009038983,0.5545389009038983,0.5545389009038983,0.5263002712584031,0.5545389009038983,0.5545389009038983,0.4124917721056096,0.7641861147805665
modelvit,do0,GradNorm,rew0,2,0.1053333333333332,0.5539552404165744,0.5539552404165744,0.5539552404165744,0.5257112564057254,0.5539552404165744,0.5539552404165744,0.4119193689745837,0.7637601220514024
