model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-EMSR,rew2.2,1,0.1953740972555738,0.2898848738600849,0.3121309315937438,0.4334145774964252,0.3558897397623471,0.310940307411466,0.3151485537567793,0.2133978114526276,0.4864978921519318
confidnet,do1,MCD-EMSR,rew2.2,3,0.0694833814417,0.2793948245662317,0.319875385831332,0.32421309962564,0.3037972233956459,0.2951375261263294,0.2849200597100124,0.2000128374498858,0.4987969939077007
confidnet,do1,MCD-EMSR,rew2.2,5,0.1194998465243152,0.3160224219983594,0.3529896898916933,0.3726256406066932,0.34167627757113,0.3256553334475524,0.2888947533941152,0.2149147586850391,0.5465427489549042
confidnet,do1,MCD-EMSR,rew2.2,4,0.055685263730798,0.3171583577619671,0.3220686368051815,0.8660704314112332,0.3222872141328202,0.3169759490146049,0.2989676493208056,0.2150843278034325,0.5228745129368024
confidnet,do1,MCD-EMSR,rew2.2,2,0.1479691561176394,0.3084183315781971,0.3005866128501895,0.3840281460634243,0.3194556906299847,0.3156153160995717,0.2926127238978875,0.2005105951426518,0.5348156814592337
confidnet,do1,MCD-MSR global,rew2.2,1,0.1654007091464424,0.3905961524517453,0.4693742916920955,0.5439510106713807,0.4820026506550831,0.3754178092671336,0.3636947513606302,0.279952985629609,0.6087280972698291
confidnet,do1,MCD-MSR global,rew2.2,3,0.1297682846297605,0.3947571745657862,0.4404331675001912,0.4869601427536755,0.4425520413637199,0.3865215335634722,0.3458344039037513,0.2669367874614958,0.6209900140508882
confidnet,do1,MCD-MSR global,rew2.2,5,0.1672819188141269,0.4245390756121884,0.4617830716320867,0.5227753775747361,0.4835048227407909,0.4160724114660933,0.3834380672108536,0.3088025333176249,0.6768369126745227
confidnet,do1,MCD-MSR global,rew2.2,4,0.2875893236468301,0.4127619674393865,0.3869531004535311,0.4717258857121563,0.4431249039843271,0.4214672818818972,0.3896038437833906,0.3225135445946923,0.6415824095285522
confidnet,do1,MCD-MSR global,rew2.2,2,0.1269183214077264,0.4298739990984757,0.4422039576684218,0.558772350678615,0.4783827544000031,0.4117795914541609,0.3798505266098233,0.2546494569418321,0.6640840126290495
confidnet,do1,MCD-MSR,rew2.2,1,0.1511211138052772,0.2117954678005256,0.3208026843937624,0.4355431566446697,0.3555979796660288,0.2143512398620758,0.2205506374948918,0.1184205848175539,0.4147172491731549
confidnet,do1,MCD-MSR,rew2.2,3,0.1592281581666517,0.2525906170583692,0.3162510191854785,0.3267976779992318,0.9516210352486985,0.2403219979642211,0.2006519064580395,0.1196604582757336,0.4541816327057528
confidnet,do1,MCD-MSR,rew2.2,5,0.288576883979701,0.2540999494308733,0.3524065267544534,0.3717539260923876,0.3350608139231364,0.2367787426176945,0.2068523566265738,0.1639143797150457,0.5045199511701504
confidnet,do1,MCD-MSR,rew2.2,4,0.1590058072776521,0.2501956550576494,0.2072261765622257,0.3152957753334744,0.251507245594774,0.2539323564143796,0.2176057873612933,0.1430410232512107,0.9500731238895987
confidnet,do1,MCD-MSR,rew2.2,2,0.1385312172482373,0.2549954052783026,0.2939001687199318,0.385807568980784,0.3190710919947174,0.2441340223681224,0.219230937417851,0.0970582917891814,0.4991849169954618
confidnet,do1,MCD-MSR class pred,rew2.2,1,0.1141417752609882,0.3859657728541437,0.4729834522954774,0.5529069484004392,0.4920922212383213,0.3788784381164014,0.3673590780549987,0.2881219491887253,0.6234589173765938
confidnet,do1,MCD-MSR class pred,rew2.2,3,0.1189076862956171,0.4009504198595549,0.4562341478533915,0.493219172440167,0.4735600079937833,0.3869047769731444,0.3612462317383884,0.2833420345505529,0.626262632694851
confidnet,do1,MCD-MSR class pred,rew2.2,5,0.4559396611548674,0.4270921944535252,0.479664909451593,0.5148734521988676,0.490613144756713,0.432527133187193,0.4571425086803645,0.3133888105642317,0.680911326348138
confidnet,do1,MCD-MSR class pred,rew2.2,4,0.1073689274473584,0.4158832643637205,0.3964989278558535,0.4713555895005744,0.4538194268153152,0.4308712111824552,0.3912991359120679,0.3357700092014249,0.6547179982800565
confidnet,do1,MCD-MSR class pred,rew2.2,2,0.1181476911635863,0.4219482019422432,0.4483314030039032,0.5643711782838114,0.4799833976015532,0.4256838050632333,0.3904860249179557,0.2697345013628234,0.6675970991843564
confidnet,do1,MCD-Confidence,rew2.2,1,0.1786895078330783,0.1912165634596168,0.2325268971979321,0.3466190227495078,0.2805770652089403,0.1568518000526156,0.1605101721708854,0.0643035956372172,0.3307419505437682
confidnet,do1,MCD-Confidence,rew2.2,3,0.2010649404756288,0.1726731365603028,0.2108918765770043,0.2376717964531236,0.2053017423373379,0.152400259335991,0.1581733254020783,0.0995716253011265,0.3455759006107055
confidnet,do1,MCD-Confidence,rew2.2,5,0.195551058744282,0.1796546945351352,0.2331349466780881,0.3085517726986613,0.2426184284977797,0.1712972817499993,0.1551882120669099,0.0763399428129196,0.3209783617490249
confidnet,do1,MCD-Confidence,rew2.2,4,0.170918756087621,0.1973201695190665,0.1734739272431893,0.1926198154510697,0.1720342326632115,0.1800225134426948,0.1665722099112285,0.0756871302549103,0.3682612223962767
confidnet,do1,MCD-Confidence,rew2.2,2,0.1704609482482289,0.2088157716698534,0.2398145796938074,0.3187429831104894,0.2518547148427208,0.1541841417859075,0.1594098985090037,0.0721351993231733,0.3780857005579068
confidnet,do1,MCD-MSR class,rew2.2,1,0.160027158632377,0.3907357205326894,0.4774258771766874,0.5541053009923744,0.4885260500130407,0.3742187228333283,0.3583399452759872,0.2748092537295854,0.6093804833020247
confidnet,do1,MCD-MSR class,rew2.2,3,0.1483975266088273,0.3931124572201748,0.4543549697662721,0.4999551567737377,0.4482508871697062,0.3839960792897171,0.360620132677657,0.2716455223613432,0.6231882095456307
confidnet,do1,MCD-MSR class,rew2.2,5,0.2087740538033123,0.418738372637047,0.4737996961761477,0.5219317666733295,0.5058434485948773,0.4350656426915673,0.4043886867507229,0.3162117290787447,0.6806128536853318
confidnet,do1,MCD-MSR class,rew2.2,4,0.2878168010346096,0.4195414912961885,0.4074454752173558,0.4782260068735866,0.4431552595888553,0.4430786784795802,0.3947286200304924,0.3176743061207213,0.6514913841913172
confidnet,do1,MCD-MSR class,rew2.2,2,0.1205580730549427,0.4349043514854106,0.4433180552856867,0.5644505840842438,0.4723570159548938,0.4159079786370002,0.3850530237025882,0.2804570474269243,0.6684147011456075
confidnet,do1,MCD-MSR class avg,rew2.2,1,0.1677935534410145,0.3850897736928617,0.4622424570017494,0.5394256989149158,0.4836666451257727,0.3767204208973091,0.3697511266280245,0.2668518102550794,0.6113698366380348
confidnet,do1,MCD-MSR class avg,rew2.2,3,0.1226314289285117,0.3698968088033846,0.4385132476402569,0.4829989474753078,0.4391543959933621,0.3743285589677367,0.3362720762518568,0.2582740755682141,0.6237378168122689
confidnet,do1,MCD-MSR class avg,rew2.2,5,0.2900615953992598,0.4153963438720179,0.4564853571935404,0.5049616532298323,0.4690019054365269,0.4214941541897168,0.3803897374416309,0.2968919865295695,0.6767379026435149
confidnet,do1,MCD-MSR class avg,rew2.2,4,0.2874179651382094,0.4182760727901255,0.3889701137957111,0.4755994020450152,0.4287881255122353,0.4379495951846491,0.3752050997438667,0.3268362264155822,0.6429559500112328
confidnet,do1,MCD-MSR class avg,rew2.2,2,0.123977595587851,0.4182485049129185,0.4452501997355992,0.541949357542248,0.4663213958070957,0.392134846228956,0.3660446442247132,0.2576362337962115,0.6444463409671779
confidnet,do1,MCD-NNGuide class avg,rew2.2,1,0.2472222222222222,0.5960185957801883,0.5958410296132992,0.5956635692161067,0.5673150266971777,0.5943536404160475,0.5946717411988582,0.4538504868431641,0.7932957488953223
confidnet,do1,MCD-NNGuide class avg,rew2.2,3,0.2448888888888889,0.5953444067392987,0.5950255861002023,0.5941770647653001,0.5676397634039305,0.5960896518836434,0.5961962678113635,0.4535585042219542,0.7931507266689011
confidnet,do1,MCD-NNGuide class avg,rew2.2,5,0.2405555555555555,0.594565669778227,0.5943183168905266,0.5940358797671379,0.5673150266971777,0.5940358797671379,0.5935422602089269,0.4523580365736285,0.7929816010722555
confidnet,do1,MCD-NNGuide class avg,rew2.2,4,0.2477777777777777,0.595628089820716,0.5960896518836434,0.5961251862891207,0.5680371690427699,0.5954153021732658,0.595628089820716,0.4536314646505268,0.7933682798975985
confidnet,do1,MCD-NNGuide class avg,rew2.2,2,0.2487777777777777,0.5960541217142517,0.5955216769890423,0.5954507562224605,0.5682903533906399,0.5966231131794046,0.5965519298454931,0.4545088242404707,0.7936827342297021
confidnet,do1,MCD-MLS class pred,rew2.2,1,0.2472222222222222,0.5960185957801883,0.5958410296132992,0.5956635692161067,0.5673150266971777,0.5943536404160475,0.5946717411988582,0.4538504868431641,0.7932957488953223
confidnet,do1,MCD-MLS class pred,rew2.2,3,0.2448888888888889,0.5953444067392987,0.5950255861002023,0.5941770647653001,0.5676397634039305,0.5960896518836434,0.5961962678113635,0.4535585042219542,0.7931507266689011
confidnet,do1,MCD-MLS class pred,rew2.2,5,0.2405555555555555,0.594565669778227,0.5943183168905266,0.5940358797671379,0.5673150266971777,0.5940358797671379,0.5935422602089269,0.4523580365736285,0.7929816010722555
