model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR,rew2.2,4,0.0553002739815927,0.4228720144194469,0.2290587375918891,0.3134749841189236,0.2745524801484773,0.4006351781793721,0.238421868089909,0.1868246644582146,0.5692939424574295
confidnet,do1,MCD-MSR,rew2.2,2,0.0425891490469325,0.9039734368617912,0.3997005712529025,0.4983476483318595,0.455862725134077,0.3860420016544705,0.2753376940968569,0.2374127829204934,0.5680699376135255
confidnet,do1,MCD-MSR,rew2.2,3,0.0942663090918016,0.441222173655228,0.3462509515779909,0.467691185356991,0.377228399131928,0.3959662513644089,0.2615639620060431,0.1954260521792089,0.6179459963812037
confidnet,do1,MCD-MSR,rew2.2,1,0.0999224730278659,0.4105008997647021,0.3450786701156328,0.4826468220078557,0.4126425293915385,0.403775927631654,0.2468416975962322,0.1846487359556302,0.5589674611496145
confidnet,do1,MCD-MSR,rew2.2,5,0.0926429652759081,0.4006439032620781,0.3655511894464858,0.5229947054496995,0.4461868199950487,0.4003898502958481,0.298496548788111,0.171227750808946,0.4800741501169114
confidnet,do1,MCD-MSR class avg,rew2.2,4,0.1283209486078622,0.4317831707131465,0.3080548149475354,0.3838514792271161,0.3502417594727471,0.4463897967242287,0.2913027204851489,0.204138464383827,0.6496755568013844
confidnet,do1,MCD-MSR class avg,rew2.2,2,0.1083887491090848,0.907288230038394,0.9089098862792294,0.5637811547801792,0.5428273528179894,0.4380293989017694,0.3214005732901007,0.5729320448069568,0.6454155203019205
confidnet,do1,MCD-MSR class avg,rew2.2,3,0.1423812409932975,0.4323949531278906,0.4482354330530935,0.5194544144448376,0.441241494831643,0.4422931204743476,0.3446674196477981,0.2696096178012915,0.6745207209580021
confidnet,do1,MCD-MSR class avg,rew2.2,1,0.1105098291223872,0.4152087100077984,0.4228273371901405,0.5405271037742742,0.480251116360225,0.4385023527172852,0.334040527060388,0.2249239232758191,0.6454244720616198
confidnet,do1,MCD-MSR class avg,rew2.2,5,0.1056237582124145,0.4000127718106018,0.4392142826707514,0.904090155861862,0.5000663602709139,0.4394437898665032,0.3428111221427794,0.2266454376581014,0.5520537040077879
confidnet,do1,MCD-MSR class pred,rew2.2,4,0.1296575069817493,0.4277727227582883,0.3233241398503476,0.3869412323672713,0.3475772872969493,0.450258157330196,0.2929562853333073,0.2187242090831096,0.6673627086265335
confidnet,do1,MCD-MSR class pred,rew2.2,2,0.1097565020701641,0.4035245946168087,0.4981244290890889,0.5559624512330235,0.5475137948527904,0.4352852655900195,0.3392869896900878,0.9016710085308176,0.6686471311128918
