model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM,rew2.2,143.14643579827344,275.0365332700765,232.9560283085393,234.50650238416625,221.3367078761324,273.4160899736304,238.44009728656172,172.64390668900154,361.9757685527585
confidnet,do0,CTM class pred,rew2.2,143.15710522990017,274.92945623987663,233.45725393571016,234.94983644004716,221.7093692662652,273.27217304393827,238.39502430918267,172.5252927613157,361.6380840951368
confidnet,do0,CTM class,rew2.2,143.15881102537298,274.93080998310205,233.45193139603327,234.94110876473337,221.70302638129573,273.2711246645992,238.3891382003676,172.52123198059525,361.64262298385074
confidnet,do0,CTM global,rew2.2,143.1796181438683,274.9590404140263,233.15292620530087,234.69706680149207,221.50549990742832,273.3196836060817,238.43607731556204,172.96484912875283,361.8721185701989
confidnet,do0,CTMmeanOC,rew2.2,143.45508045933735,273.97307899924283,236.0905274997748,237.30390116982008,224.14373202529495,273.48962206515,240.9820701291961,173.6271536231067,360.16502107845224
confidnet,do0,CTMmean,rew2.2,143.4749953728785,274.00201096381096,236.1040456250704,237.29403054754957,224.13132722643127,273.46569730511027,240.93566699865028,173.5633618888143,360.0731228672419
confidnet,do0,CTMmean global,rew2.2,143.57449149895098,274.1980812557245,236.6484879038347,237.84932879679,224.64924924793905,273.42340481899754,241.07134310141936,173.98449718956988,359.78581754026925
confidnet,do0,CTMmean class,rew2.2,143.64022746557075,273.9798951360602,237.03317371930325,238.159522902659,224.92054932027003,273.44239526838925,241.11092999923065,173.8340695895468,359.7472881553489
confidnet,do0,CTMmean class pred,rew2.2,143.6410179943834,273.98069524387085,237.0408510866965,238.1742371934853,224.9262146237778,273.4421567909703,241.12364022107585,173.83369228069142,359.7498969966532
confidnet,do0,CTM class avg,rew2.2,143.72924832149204,276.33606843310776,233.5228464923628,235.1786852302807,222.2581649215132,274.4481255454537,238.56287004489943,173.66219126400262,362.8520599092399
confidnet,do0,CTMmean class avg,rew2.2,143.89818788484263,275.1833628279111,236.5324230060096,237.5037785345831,224.36073577638,273.13482198273545,240.45870910204445,173.61286803870885,358.8903338980364
confidnet,do0,KPCA RecError global,rew2.2,144.47205531073658,275.17454645513124,232.14117774728652,233.70781454036137,221.03494208258144,274.4643255409345,240.0059082915947,174.50522783457757,375.3670289589287
confidnet,do0,PCA RecError class,rew2.2,144.5096061051719,275.50008536559045,229.48654322802065,232.11898714165216,219.49039224117624,278.489743363972,242.77083595908127,173.79027164492592,366.9695540500848
confidnet,do0,PCA RecError class pred,rew2.2,144.55573230058064,275.28993151606176,229.7895762897737,231.96245844494396,219.39595395791653,277.2755578215609,241.99037988098036,174.02845584324575,367.2669523497831
confidnet,do0,REN class,rew2.2,145.31388215832868,273.74482529872495,233.95029574897967,238.0527807769764,223.6549092310501,276.0811311812172,244.2565530149499,181.2294594497351,376.035059122306
confidnet,do0,REN,rew2.2,145.3885956394599,273.8405519048044,234.19852515165095,238.08565783068065,223.73523419067936,275.70605992141725,244.1810603103506,180.73451673897452,376.2131805749685
confidnet,do0,REN global,rew2.2,145.3970830781215,273.78913176535684,234.14187110411208,238.0348446045229,223.66130879470865,275.70385280226736,244.1601879841057,180.8171740753152,376.2108320462283
confidnet,do0,REN class pred,rew2.2,145.41464033274397,273.8660275752951,234.12002924199243,237.93497189095385,223.51793577233943,275.7970097228682,244.70818519297143,180.9361802890916,376.44683274230994
confidnet,do0,GEN class,rew2.2,145.9603504858191,274.1213194122005,238.73952226460196,242.64078391819623,228.29524142245936,276.2016318243957,246.89386423105077,181.78976295156968,375.8462486166333
confidnet,do0,GEN,rew2.2,146.0351007848042,274.12337672094435,238.9238774404727,242.69588513513384,228.36892209938708,275.9082920833302,246.80064025509293,181.57474787564223,375.7351528284132
confidnet,do0,GEN global,rew2.2,146.04674099455085,274.0834765590513,238.8844895810446,242.64288456958343,228.303879835358,275.9027192780703,246.7693357504765,181.6252103572764,375.7657546651071
confidnet,do0,GEN class pred,rew2.2,146.1455852551584,274.16508593231447,239.0832102285404,242.6512910494845,228.3145080085841,275.9267129479421,247.3005121032008,181.41269824942287,376.5117026680895
confidnet,do0,Maha global,rew2.2,146.337453796399,277.45482504567667,242.5472998977748,241.73299517330145,228.3803705088177,271.97812398234976,241.54194204702532,173.7177045512447,358.5926874255282
confidnet,do0,REN class avg,rew2.2,146.44148944073095,275.6630066860229,235.7415405672821,240.6007815691318,226.14195476830272,278.21210710776234,246.65982301865844,183.79596034359824,378.5949855970157
confidnet,do0,Confidence,rew2.2,146.5585197501507,278.2006797757741,243.58556233430411,246.948064938795,232.1742723862445,276.2214991929412,248.0150957829064,180.19338898132864,367.0126155174018
confidnet,do0,MSR class,rew2.2,146.751567110609,274.75160787692226,243.380482658706,246.0513606561156,232.30129081365547,276.3666793832739,249.40105049077883,181.4385346962712,375.1394399416018
confidnet,do0,MSR,rew2.2,146.87898014144037,274.6744954071404,243.4186132781521,246.07368722160123,232.31095806740817,276.20664505174165,249.43561837990504,181.43568062401053,375.1452548360648
confidnet,do0,MSR global,rew2.2,146.88607155772144,274.6430134081511,243.3933781092317,246.0235951914381,232.2515629965768,276.2014939615368,249.3958915519101,181.4965062170261,375.1415534356402
confidnet,do0,NNGuide class pred,rew2.2,146.94072202334118,276.1647112193924,241.73720043452292,242.15813887354628,229.2186722788063,274.7387144336537,245.2704098805616,177.84365152040868,376.4281549302888
