model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,fDBD global,rew2.2,100.6132654621874,222.4525725573797,222.4525725573797,213.4833423856336,198.70300560880244,226.0006547580016,212.73691015172463,156.21728279466208,346.3214670967078
confidnet,do0,fDBD class avg,rew2.2,100.75632714881552,222.50149479909595,222.50149479909595,216.24939131920357,201.9015541080728,228.3674638507822,212.03558103237685,160.15797539688708,345.40059379396206
confidnet,do0,GEN global,rew2.2,100.78108641798462,226.0612215911817,226.0612215911817,217.1875834596232,202.22519852960988,227.94460114219623,221.79865588251437,166.51638380351216,351.8114019786408
confidnet,do0,GEN,rew2.2,100.79585189202449,226.0317225803171,226.0317225803171,217.1454367805444,202.1918384856052,227.92772945062345,221.75222010958024,166.41495616234562,351.69735553656324
confidnet,do0,GEN class,rew2.2,100.85482719206468,226.01234414233988,226.01234414233988,217.23689635100337,202.30754790787267,227.9291008099347,221.4875834649569,166.44092220562194,351.4223955653353
confidnet,do0,MSR global,rew2.2,100.8941357711754,228.0141918135265,228.0141918135265,218.7180816403828,203.48665552141009,228.20518869339864,226.0405043014348,167.20391000659802,353.7829480209029
confidnet,do0,MSR,rew2.2,100.91067899617416,227.98625138598624,227.98625138598624,218.68186000094107,203.46018138399285,228.19549137988676,226.00341993493197,167.10496565115395,353.68108479812
confidnet,do0,CTM global,rew2.2,100.97430864745952,221.3880420854616,221.3880420854616,210.5368057623185,195.60698573293325,223.9458764934089,210.76168848338972,157.0405547526206,345.7764805541559
confidnet,do0,MSR class,rew2.2,100.97914816026768,228.1094603460718,228.1094603460718,218.92413126119524,203.6875240403928,228.20983596643,225.88692140371455,167.22241803914616,353.54612126650966
confidnet,do0,fDBD,rew2.2,100.97959879338224,223.38655897125008,223.38655897125008,213.5056629957749,198.8524315704164,226.01364223940635,213.48997753350932,157.29308523092809,347.314389071121
confidnet,do0,CTM class pred,rew2.2,100.9912469016692,222.53806234350927,222.53806234350927,211.95839280747603,197.23573617625328,225.01608175783903,211.18677510279232,160.10911626796334,346.1854144263225
confidnet,do0,CTM class,rew2.2,101.0242037051014,222.5184743084098,222.5184743084098,211.92429333610565,197.19717652819213,224.99399107807585,211.15385982505217,160.11425091268163,346.2059157792527
confidnet,do0,fDBD class pred,rew2.2,101.16872840032411,225.20629734392705,225.20629734392705,217.54911230403775,202.8231931687288,228.28893887091692,214.1878313975689,161.0145267955496,347.5169532741924
confidnet,do0,CTM,rew2.2,101.31194446633566,222.07924045022108,222.07924045022108,210.7567624865759,195.914273806126,224.16300297847687,211.26232132270025,157.6854770443012,346.39535134296244
confidnet,do0,GEN class pred,rew2.2,101.33025935007592,227.1818791352252,227.1818791352252,219.2090252803557,204.12048218272,228.8684141047796,223.26180973512615,169.04273532575317,352.6764152726315
confidnet,do0,PCE global,rew2.2,101.39109880117434,227.9769446775264,227.9769446775264,218.43929986646447,203.1318767805722,227.9921763975425,226.41167761109577,167.3074696087145,354.2276727265413
confidnet,do0,PCE,rew2.2,101.40507409042525,227.9498832340485,227.9498832340485,218.40372929624664,203.1057497245916,227.9801880216968,226.37484552450437,167.20409734132167,354.1317852681848
confidnet,do0,PCE class,rew2.2,101.46618522296436,228.0820163657044,228.0820163657044,218.65494505387736,203.34357603282805,227.99777589165927,226.2574476561414,167.3240722504154,354.00882193160663
confidnet,do0,MSR class pred,rew2.2,101.4682099028117,228.79995472441053,228.79995472441053,219.8047435382214,204.44426968434155,228.65807944411807,227.5202002583613,169.4972152374728,354.686625600222
confidnet,do0,Confidence,rew2.2,101.6868765616843,227.9026233373084,227.9026233373084,217.80771399039156,202.33438092515948,228.21328072401172,223.41175666952785,168.09233129742057,353.1599768740284
confidnet,do0,PCE class pred,rew2.2,101.78239503260072,228.6241570149501,228.6241570149501,219.3831993039004,203.99168577666745,228.39199410307015,227.6477797057832,169.2813261194878,354.9159200773491
confidnet,do0,REN global,rew2.2,102.10382718597812,224.57655288755524,224.57655288755524,215.39119936057045,200.52892593792907,227.73689941272588,218.881276481215,166.44683388650245,350.922047083309
confidnet,do0,REN,rew2.2,102.12395060904316,224.55132264495137,224.55132264495137,215.35756583961148,200.5022501219527,227.72692125510892,218.8347796098833,166.35126317864749,350.81110087139393
confidnet,do0,REN class,rew2.2,102.17543208852858,224.1606162828258,224.1606162828258,215.2843981632355,200.5309804760151,227.86002292859555,218.0828903240289,166.13559274248516,350.0430661481001
confidnet,do0,REN class pred,rew2.2,102.51666671796964,225.60192972404448,225.60192972404448,217.5710788736295,202.7534101078444,228.77171723755765,219.9875324534022,168.34368257755324,351.6568889500254
confidnet,do0,CTMmean global,rew2.2,102.79496912406384,222.25222420045372,222.25222420045372,212.19205728488805,197.46231190749003,225.53198295679024,212.04596000784653,153.741071163652,346.3735972560485
confidnet,do0,CTMmean class pred,rew2.2,103.07588271153185,224.6767596052759,224.6767596052759,215.3229922593906,200.9062597846205,227.92050016209123,213.08684528699348,158.8143439731645,347.6328581967812
confidnet,do0,CTMmean class,rew2.2,103.0931974748722,224.5818369804648,224.5818369804648,215.16791792387028,200.77283137614484,227.82953300687552,212.9314636823934,158.78386020175168,347.6876643847634
confidnet,do0,CTMmeanOC,rew2.2,103.13399380618483,223.54813417617729,223.54813417617729,212.70136199138017,198.1277771368624,225.87313636385664,213.22009750548656,155.39682608340644,347.7375755060266
confidnet,do0,CTMmean,rew2.2,103.1744876556687,223.60227741162296,223.60227741162296,212.7041373185963,198.13424790353187,225.86213066852932,213.25961537930448,155.34761555198014,347.8153392906093
confidnet,do0,PE global,rew2.2,103.40309878735894,228.6963195273376,228.6963195273376,218.55482173818268,203.00633098288617,228.0123809507364,228.6490535276785,168.1954457617889,356.2710411473709
confidnet,do0,PE,rew2.2,103.41869133036784,228.67620455598632,228.67620455598632,218.52451698327536,202.98349679705265,228.0045026156481,228.6263747988349,168.10173376500066,356.1915621250546
confidnet,do0,PE class,rew2.2,103.45101236127894,228.80253469923096,228.80253469923096,218.7728882115967,203.2092727600694,228.00624428379177,228.43516637161645,168.1919940240743,356.07871317999746
confidnet,do0,PE class pred,rew2.2,103.60162963846314,228.8988002493361,228.8988002493361,218.8962762413352,203.34982867314315,228.12334105455744,229.23564821486667,169.21125300854143,356.53661872157073
confidnet,do0,CTM class avg,rew2.2,104.84801234350095,224.70960773192215,224.70960773192215,211.9785505344986,196.6879809433211,224.6971370795189,214.07007338356084,160.74467911184286,348.2935144395675
confidnet,do0,NNGuide class pred,rew2.2,105.05730867670113,225.3985618530057,225.3985618530057,214.99130633348105,199.40301058049988,225.39244350041128,219.0149091949925,165.3680873312282,354.4946353643073
confidnet,do0,NNGuide global,rew2.2,105.1914135399897,224.22208850459467,224.22208850459467,213.10414225351371,197.51895408264983,224.59419571253216,218.019133125098,163.10521108850307,353.65373540823373
confidnet,do0,NNGuide,rew2.2,105.3784011919496,225.03937699795043,225.03937699795043,213.48877503325784,197.9940813167535,224.84020673526348,218.9689759429311,163.9154726759905,354.69554650788075
confidnet,do0,CTMmean class avg,rew2.2,106.04828392919444,222.38268075712057,222.38268075712057,212.6868647903078,197.86142217456728,226.270357773802,213.1834058279024,151.69545457482602,346.752601171641
confidnet,do0,MSR class avg,rew2.2,106.1439629760967,235.4411489787056,235.4411489787056,224.74033367334417,208.9272031227565,232.1808297282366,237.4566047748389,173.0665661300842,357.5399853091652
confidnet,do0,GEN class avg,rew2.2,106.1876173077544,233.55131942123444,233.55131942123444,223.91257873456584,208.39473713900344,232.59276608569976,233.36171430236584,172.6049796346171,355.4752910307061
confidnet,do0,PCE class avg,rew2.2,106.6595432007978,235.3315195505757,235.3315195505757,224.27123456281907,208.3510998395726,231.8054568689505,237.7662772840357,172.9637093397754,358.3070283532024
confidnet,do1,Confidence,rew2.2,106.7634074181422,225.0841115275869,225.0841115275869,224.19448583580032,205.96124474283675,233.3142713760883,219.2344886495833,164.40139377933272,351.85137846111024
confidnet,do0,MLS global,rew2.2,106.94011729284829,229.09148798896652,229.09148798896652,218.39201759178417,202.7435878557039,228.13064761707724,230.18075224009849,169.99117141847222,358.121000896266
confidnet,do0,MLS,rew2.2,106.94807410716344,229.07024983290825,229.07024983290825,218.3616680593508,202.7248298591317,228.1272069446365,230.1633840905735,169.88682695068064,358.0275930412669
confidnet,do0,MLS class pred,rew2.2,107.06769139622824,229.33378364604505,229.33378364604505,218.89585508395965,203.24929826999556,228.29565329917992,230.64759690955088,170.2106059552793,358.16552709776823
confidnet,do0,MLS class,rew2.2,107.07717286312092,229.339061642274,229.339061642274,218.9035421263895,203.25520381547923,228.29936258470343,230.66920943837675,170.2182629897461,358.176559062718
