model,drop out,methods,reward,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-PCE class pred,rew2.2,4.318518517182383,165.91754615068953,153.54405500745057,151.9231454069537,136.91632131200535,166.32759740723375,156.203738165085,92.83759817491055,288.79542291353914
confidnet,do1,MCD-PCE class avg,rew2.2,4.320135807884476,166.06867981494946,153.61443246544908,151.87367074036447,136.88997262998873,166.4088152048498,156.45056180853044,93.09281495987024,288.8908979636066
confidnet,do1,MCD-PCE class,rew2.2,4.323481482720429,165.87899859039183,153.51359425823102,151.88578015289986,136.88073119766094,166.32263945036763,156.13334958335705,92.786986318813,288.8017805350038
confidnet,do1,MCD-PCE global,rew2.2,4.324061729664715,165.88889623862468,153.56372186151822,151.8913731331297,136.8748777639415,166.27626130871786,155.98601760500233,92.80018484258106,288.76212113960463
confidnet,do1,MCD-MSR class avg,rew2.2,4.329913589001484,166.3247338880843,154.16174064241287,152.46733474055554,137.4851719219249,166.73488077524533,156.9328518890949,93.36171359185413,289.18094670822154
confidnet,do1,MCD-MSR class pred,rew2.2,4.330444445702597,166.17876317106538,154.09142148733878,152.517383247285,137.51312595340167,166.65789266841466,156.69130007390552,93.1124608216161,289.0878337794254
confidnet,do1,MCD-MSR global,rew2.2,4.332740736736418,166.14800381365495,154.10155370489937,152.47486487709892,137.46448297931497,166.59745633131914,156.47444845200295,93.0693425690336,289.04854209918403
confidnet,do1,MCD-MSR class,rew2.2,4.334654325101938,166.13558879299055,154.05670790575803,152.4734870112494,137.47035612437026,166.64778156646918,156.61573003112,93.05519236361954,289.0952577172913
confidnet,do1,MCD-MSR,rew2.2,4.339814821601775,165.89273642623223,154.65110054808602,152.77487058755045,137.92062124210017,166.2581015836849,158.01708094581448,94.60788272742438,289.81745874928384
confidnet,do1,MCD-PCE,rew2.2,4.355271605301823,165.42240123367264,153.73677388367983,151.80582950036853,136.94256166030672,165.63645224586716,157.08821994427734,94.0695424262346,289.2744583341339
confidnet,do1,MCD-EGEN,rew2.2,4.367469136651683,165.4752606234179,153.09560287853384,151.53102719258544,136.28741301553268,165.9129761313357,154.60298989362892,91.4136795619903,287.5425907691823
confidnet,do1,MCD-PE class pred,rew2.2,4.368320990552699,165.37574796005958,152.6212722178771,150.91339200210416,135.93315022067677,165.41657484961394,154.96951202444208,92.19832306890056,288.424831595009
confidnet,do1,MCD-PE class avg,rew2.2,4.372592604170171,165.53735035740263,152.69276023874144,150.87204463745462,135.91391561091243,165.49067033345017,155.2147319695602,92.46355460474577,288.5250643971329
confidnet,do1,MCD-PE class,rew2.2,4.373765439364233,165.35840592436554,152.61364975246676,150.9023254415912,135.9233178889886,165.4241253894721,154.93446354783626,92.1817364585036,288.4397640701082
confidnet,do1,MCD-Confidence,rew2.2,4.375370369296029,164.5518608625665,152.4449409506828,150.68558537958978,135.65739181340993,165.14698976874075,154.1698610220608,91.61901443289008,287.6559329496961
confidnet,do1,MCD-PE global,rew2.2,4.380197534173528,165.36445757529205,152.64782409408886,150.89875409125105,135.90274384733246,165.38697276679738,154.7705607721208,92.17269328176911,288.4028001813927
confidnet,do1,MCD-GEN class avg,rew2.2,4.385419754714854,167.730459955902,157.2633966115175,156.0871798528643,141.0576743692908,168.95516433942817,159.68878053511145,95.07011096557672,290.6878454075974
confidnet,do1,MCD-GEN class pred,rew2.2,4.386061735411609,167.5758998088661,157.17918211522544,156.12853302479286,141.0736063728663,168.85816381660072,159.45804945593105,94.82488902255967,290.6142065999105
confidnet,do1,MCD-GEN global,rew2.2,4.3861111076387,167.53884698243775,157.23690012694271,156.12598997776257,141.0692893274501,168.80521389175058,159.26306086272896,94.79683772804482,290.5959076749698
