model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-ECTMmeanOC,rew2.2,141.24757762575078,272.5603232334127,264.25044312105695,274.4565816688114,254.635147216588,271.6374028382392,243.84880486336644,166.9949458550451,359.25459384806555
confidnet,do1,MCD-ECTMmean class avg,rew2.2,141.27941930451922,272.9111274726884,263.20950775264663,272.94172926492666,253.23460753533345,273.4874542263175,246.2464645460937,166.6718202365667,358.52382443412205
confidnet,do1,MCD-ECTMmean global,rew2.2,141.30390628161527,272.6378583451058,264.2452146689421,274.30928273875463,254.5304374197791,271.61942212673983,243.8477203764302,166.87759623970734,359.07379705460073
confidnet,do1,MCD-ECTMmean,rew2.2,141.30547342319355,272.6366419195114,264.2403114280788,274.3135216753145,254.5293340787946,271.624227142516,243.8378449895428,166.88781157613784,359.08457758437714
confidnet,do1,MCD-ECTMmean class pred,rew2.2,141.30548266144615,272.6368676426758,264.2376923543184,274.3097808233134,254.525003556396,271.6263728252203,243.83816429900853,166.88657734480535,359.08287060020086
confidnet,do1,MCD-CTM class pred,rew2.2,141.43898398382586,273.88357652983177,263.22655811602,273.8865399645399,254.0223086207158,270.88484194851856,241.40254517899484,169.71786702761858,360.5057398054313
confidnet,do1,MCD-CTM class,rew2.2,141.4453864350127,273.8887187012213,263.2219742392914,273.88193148641074,254.01339457741477,270.88433224552585,241.3890308260412,169.7015504269376,360.50638229779673
confidnet,do1,MCD-CTM,rew2.2,141.53905322110617,274.02414272528296,262.8547350032599,274.0059971104827,253.93072694302927,271.0776306599281,241.4588515775957,169.81617446724593,360.7808665589088
confidnet,do1,MCD-KPCA ERecError global,rew2.2,141.56272653926584,272.72752279550207,260.87765898563475,268.6482697636111,249.6751495713931,271.77741841106507,242.52439418459468,164.97143903946306,356.667753165422
confidnet,do1,MCD-CTM global,rew2.2,141.57538834425324,274.0881119374515,262.3822706299962,273.6411727139076,253.50100445927535,271.13652562602266,241.20597643787988,170.14286680906287,360.7608298888401
confidnet,do1,MCD-ECTM,rew2.2,141.85787261402697,274.30900809602895,259.3452596158565,270.03627477291974,249.99901418429005,270.6480634817118,238.71913470964324,166.6877548300997,360.1672819369504
confidnet,do1,MCD-CTMmean global,rew2.2,141.8898252608023,273.45266218875355,269.5196762907616,279.85428378448984,259.90996106509937,271.59972361948417,245.5834366058125,169.84198273748834,359.00426546217403
confidnet,do1,MCD-CTMmeanOC,rew2.2,141.90349949016166,273.2708421799764,269.80129180567474,279.9491557347375,260.0777312560043,271.7981751581371,246.0555557337355,169.3322555438898,359.0330924189916
confidnet,do1,MCD-CTMmean,rew2.2,141.98715790416128,273.363737348003,269.81316245041734,279.8102958585107,259.9822152683191,271.7997917731356,246.04472244641573,169.22299449529407,358.87651523792374
confidnet,do1,MCD-CTMmean class pred,rew2.2,141.99368993878196,273.3840977344397,271.08781408019166,280.5713208871178,261.0009303120495,271.68376404582506,246.03828746163288,169.64388017745088,358.9181850622326
confidnet,do1,MCD-CTMmean class,rew2.2,142.0165311304691,273.3780329866487,271.0957219405505,280.55676788375337,261.0014920809172,271.6886255562012,246.0451449235434,169.63331590915155,358.9146372747595
confidnet,do1,MCD-KPCA RecError global,rew2.2,142.35818236733536,273.87513151778666,265.9387280935155,273.8463726104715,254.59552997992617,270.6997548449106,243.46077036887223,166.0820637085376,356.24965820927343
confidnet,do1,MCD-Confidence,rew2.2,142.44684256431634,273.3211132181204,257.67823900118765,272.88761186421107,251.815752012851,272.7133292329166,246.37455809836723,180.395837583788,371.6198722316933
confidnet,do1,MCD-EREN,rew2.2,142.7394369340674,272.47743975170954,253.9021402993671,266.8556778224895,247.08501615429967,275.05944330659537,246.76375299598345,182.37402007628475,372.81842961582737
