model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM class pred,rew2.2,67.94333145222886,317.9117778663704,263.8441523757216,264.42431498648017,241.7189643569052,323.24328447205914,293.9606296656682,184.50791950892068,520.2243108144
confidnet,do0,CTM class,rew2.2,67.95690731990747,317.9052741144785,263.82451710051305,264.4097086117081,241.7105359554485,323.2482256444338,293.95308284891985,184.52900140882883,520.1886344035057
confidnet,do0,CTM global,rew2.2,68.44216641482328,318.13732965906325,260.68369499969884,261.3047128958468,237.5902690157071,321.412818086221,292.0009693393514,180.91880744538733,518.3484395502473
confidnet,do0,CTM,rew2.2,68.48554844923393,318.1298849189338,260.6580443781251,261.1927800737767,237.90682732771683,322.85843882258393,292.1859321784327,180.9921100883845,517.8138969372268
confidnet,do0,CTMmean class pred,rew2.2,69.42614794851073,330.8359119048061,271.3501964168231,272.9143288589036,250.98334824585743,331.119099111446,320.27515701795863,196.7453067142349,532.7641112234171
confidnet,do0,CTMmean class,rew2.2,69.43013488728967,330.790067481126,271.3153038601224,272.88104852790883,250.9725526009142,331.1099874177688,320.2147383218257,196.7761579117389,532.7046866594012
confidnet,do0,CTMmeanOC,rew2.2,69.47343341180951,325.81958695087604,264.4471148435534,265.39270810975165,242.6328166579134,328.76149307996906,312.6508703147639,188.229696026678,525.8782546145999
confidnet,do0,CTMmean,rew2.2,69.55351392571659,325.9674940200004,264.3679504522546,265.3001346567481,242.5694254401931,328.8127394470784,312.7784192903908,188.3965519620537,525.8286645854419
confidnet,do0,GEN,rew2.2,69.69660276841994,312.9232969502657,272.63273410070803,274.37706822059954,250.80198577580325,327.057180066598,302.2587205060447,197.89547054164345,531.0406405906932
confidnet,do0,CTMmean global,rew2.2,69.75166618399736,326.7775682401624,264.34446321261026,265.2931880053499,242.6568258894603,329.1752014471209,311.64795216409965,189.8092795899809,525.9728775234455
confidnet,do0,GEN global,rew2.2,69.82826032109249,314.13432750133194,274.41875523348705,276.7742847769413,252.45651219730732,326.9681962477324,303.2847403196387,198.69514806910823,532.3401761748914
confidnet,do0,GEN class,rew2.2,69.86539486042845,313.9841627861677,274.5090113995633,276.7065823205225,252.82256641395645,328.16213819685044,302.45577910102776,198.6028932047604,531.3481195873109
confidnet,do0,MSR global,rew2.2,69.88391108979057,312.49201340092355,270.8481090708364,267.67366700856115,246.699329564509,326.5631024829794,303.7453044765157,194.96543374252144,531.2778561979408
confidnet,do0,MSR,rew2.2,69.89205427489813,312.3103111583389,270.7715906912167,267.5500537758084,246.95223016202067,327.60434390333177,303.7089628993669,195.14333472170813,530.9188765793655
confidnet,do0,MSR class,rew2.2,69.90032921820725,312.0999904897707,270.7254739155283,267.16975578079223,246.719327701476,327.3174678427763,302.67526591656934,194.73079104142312,530.281720928323
