model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-ECTMmeanOC,rew2.2,206.79096719857904,503.52595326637584,434.4538556526955,459.7111359003637,419.6099108516093,485.568657916754,401.2594203862207,255.4197370432626,604.5318076089012
confidnet,do1,MCD-ECTMmean global,rew2.2,206.8729170831144,503.1787605588327,434.2312964471513,459.131746722686,419.1980828481855,485.6270197011988,401.5929519276421,255.22037678205567,604.052975486487
confidnet,do1,MCD-ECTMmean class pred,rew2.2,206.87465118506228,503.08889256160296,434.2065455126581,459.1329997328176,419.1823009705944,485.6001232742174,401.5108888328088,255.2440730325068,604.0866750749142
confidnet,do1,MCD-ECTMmean,rew2.2,206.87620613948988,503.1301119811169,434.2160199765601,459.1451789095584,419.1951985351389,485.5980967320088,401.5046934188633,255.24644486049257,604.0908326897841
confidnet,do1,MCD-KPCA ERecError global,rew2.2,207.16234242798797,505.9520981114405,424.9209872265197,445.4202865758536,407.36334079513534,486.7219059938842,398.5145224765664,251.02847594138152,596.4548920433235
confidnet,do1,MCD-ECTMmean class avg,rew2.2,207.27103376470043,515.4803531009185,432.17034473641024,455.9063808815834,416.41430995471495,489.47336349660486,407.6252597523636,254.2042782968689,602.6167856170357
confidnet,do1,MCD-CTMmean global,rew2.2,208.99936642253755,506.382361681442,447.1332880837066,470.6094523036569,430.3334139341774,485.22637389964393,404.9295137618347,257.96169396317435,601.6647325227464
confidnet,do1,MCD-CTMmeanOC,rew2.2,209.10064094907003,505.3009972213236,448.6714174422952,471.2707566778008,431.2200156153533,485.9389693723962,405.65957021261687,256.7970107490604,601.89790112762
confidnet,do1,MCD-CTMmean,rew2.2,209.252525318611,504.80044074896944,448.3840540979281,470.5468980763092,430.7083620988204,486.1058599167799,406.1275828185138,256.6122609339158,601.4966226356148
confidnet,do1,MCD-KPCA RecError global,rew2.2,209.36309385422368,508.99641353524015,440.3554629571898,460.0002821265545,421.08419308370327,485.36663185908486,400.7677708280545,251.89720243066287,595.1253046527361
confidnet,do1,MCD-CTMmean class pred,rew2.2,209.38872850825788,504.947403827538,451.54001345829846,472.2872101853922,433.0657666707646,486.406318756518,406.340854754221,257.6342298436477,601.8146826199127
confidnet,do1,MCD-CTMmean class,rew2.2,209.41523089880667,504.9950410339411,451.5405117141468,472.2655693257332,433.0642847939713,486.4038422760905,406.352686283648,257.6197409217707,601.8139362076273
confidnet,do1,MCD-ECTM,rew2.2,210.1469982530062,518.7679809514208,424.1943601653709,449.5228886947528,409.0685111438058,501.3179022785344,387.1707991086376,254.7821911323116,604.9027465989416
confidnet,do1,MCD-CTM class pred,rew2.2,210.5141271480198,517.4485354951348,431.9275804491703,455.4774283515253,415.69279821335,500.9992674574955,390.131990651247,259.09452585581204,604.8168344680842
confidnet,do1,MCD-CTM class,rew2.2,210.5213146324968,517.4530277285276,431.920019522657,455.47173820789806,415.68207923945255,500.9966511362997,390.11558348153153,259.0728177440519,604.8180072391817
confidnet,do1,MCD-CTM,rew2.2,210.56885331175116,518.1190141622885,431.89784162085,456.5168960171521,416.1154949039606,501.4885881146092,390.4542034764464,259.0460308959251,605.4418907065419
confidnet,do1,MCD-CTMmean class avg,rew2.2,210.9617885660443,510.8877131757544,448.68950387185015,471.8585033809934,431.6069115495798,484.0406047376296,399.7620981927618,257.79042630639185,603.1697025600217
confidnet,do1,MCD-CTM global,rew2.2,211.033211974651,518.3564839702883,430.3411396617406,455.4865974782597,414.8647631997694,501.3838651038878,389.1742194789155,260.0363166414484,605.2754726676206
confidnet,do1,MCD-PCA ERecError class pred,rew2.2,212.78822950843627,509.3926392305742,391.454269454284,416.1419927188576,377.2611232586554,497.159681265452,417.745766600655,249.46843132449231,614.2426392224789
confidnet,do1,MCD-PCA ERecError class,rew2.2,213.28583830953556,510.0447493747095,392.1322296881519,415.5370870277889,376.9243341413528,497.1227015243976,417.64764138344856,247.92177604542596,613.0281953788648
confidnet,do1,MCD-fDBD class avg,rew2.2,214.07366481511136,510.2878051241777,419.65339471712406,446.340147869796,404.9575838288454,510.2461554877323,447.49715278940727,270.8482354600948,599.0086438952776
confidnet,do1,MCD-EMaha global,rew2.2,215.3010998648824,539.7074092314343,467.3138946128764,490.0243879691082,449.8358087444326,482.37813150365207,420.53311390735433,245.99285566012435,583.908523855029
