model,drop out,methods,reward,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,CTMmean global,rew2.2,0.7599223468507333,0.8324,0.7599,0.8248,0.7950700280112045,0.8071,0.7016,0.7283687943262411,0.8789950829748002
confidnet,do1,CTMmean,rew2.2,0.7610008628127696,0.833,0.7609,0.8269,0.7964145658263305,0.8066,0.7115,0.725354609929078,0.8789566687154272
confidnet,do1,CTMmeanOC,rew2.2,0.7618636755823986,0.8322,0.761,0.8273,0.7975350140056022,0.8078,0.7161,0.7308510638297873,0.8818377381684082
confidnet,do1,CTM global,rew2.2,0.7625107851596203,0.8384,0.7117,0.787,0.7604481792717087,0.8078,0.6289,0.7420212765957447,0.8970497848801475
confidnet,do0,CTM,rew2.2,0.7631402370834265,0.8382,0.664,0.6428,0.6755182072829131,0.84,0.6592,0.7459219858156029,0.8290565457897972
confidnet,do0,CTM global,rew2.2,0.7653768731827332,0.8395,0.6684,0.6478,0.6794397759103642,0.8415,0.6618,0.7485815602836879,0.8312077443146896
confidnet,do0,CTMmean class avg,rew2.2,0.7658242004025945,0.8402,0.6947,0.6652,0.6944537815126051,0.8378,0.6644,0.7349290780141844,0.8161109403810695
confidnet,do1,CTM,rew2.2,0.7663934426229508,0.8411,0.7143,0.7897,0.7631372549019608,0.8103,0.6325,0.7446808510638298,0.8973955132145052
confidnet,do0,CTM class avg,rew2.2,0.7667188548423172,0.8406,0.6711,0.6522,0.6843697478991596,0.8398,0.6626,0.749822695035461,0.8325522433927474
confidnet,do0,fDBD,rew2.2,0.7680608365019012,0.8468,0.6929,0.6682,0.6961344537815126,0.8331,0.6735,0.750177304964539,0.8350107559926244
confidnet,do0,CTM class,rew2.2,0.7682845001118318,0.8377,0.6766,0.6522,0.6822408963585435,0.8409,0.6623,0.7439716312056738,0.8280577750460971
confidnet,do1,CTMmean class pred,rew2.2,0.768334771354616,0.8379,0.7599,0.8243,0.7936134453781513,0.8101,0.6947,0.7285460992907802,0.8806468961278426
confidnet,do0,CTM class pred,rew2.2,0.7685081637217624,0.8377,0.6765,0.6524,0.682689075630252,0.8411,0.6627,0.7446808510638298,0.827980946527351
confidnet,do1,CTM class,rew2.2,0.7685504745470233,0.8429,0.7032,0.7828,0.7537254901960785,0.811,0.6225,0.7349290780141844,0.8945528580208973
confidnet,do0,fDBD class pred,rew2.2,0.7691791545515545,0.8482,0.709,0.679,0.7057703081232493,0.8339,0.6742,0.7514184397163121,0.8329363859864782
confidnet,do1,CTMmean class,rew2.2,0.7696289905090595,0.8392,0.7618,0.8266,0.7956302521008404,0.8117,0.6989,0.7294326241134752,0.8806468961278426
confidnet,do1,CTM class pred,rew2.2,0.7698446937014668,0.8437,0.7045,0.7839,0.7549579831932773,0.8109,0.6234,0.7363475177304964,0.8951674861708666
confidnet,do0,CTMmean global,rew2.2,0.7705211362111385,0.844,0.7011,0.6763,0.706890756302521,0.8441,0.6779,0.7468085106382979,0.8329748002458512
confidnet,do0,fDBD global,rew2.2,0.7707447998210691,0.8488,0.7052,0.6792,0.7057703081232493,0.8361,0.6755,0.7570921985815603,0.838160725261217
confidnet,do0,CTMmean,rew2.2,0.7723104450905838,0.8458,0.6976,0.6726,0.7033053221288516,0.8452,0.6809,0.7476950354609929,0.8348570989551322
confidnet,do0,fDBD class avg,rew2.2,0.7725341087005144,0.8498,0.702,0.6756,0.7005042016806723,0.8324,0.6724,0.7601063829787233,0.8367778119237861
confidnet,do0,CTMmeanOC,rew2.2,0.7727577723104451,0.8455,0.6981,0.6732,0.7038655462184874,0.8462,0.682,0.7485815602836879,0.8358942839582053
confidnet,do0,CTMmean class,rew2.2,0.7729814359203757,0.8446,0.7056,0.6762,0.7070028011204482,0.844,0.6789,0.7455673758865248,0.8310156730178242
confidnet,do0,NNGuide class pred,rew2.2,0.7738760903600984,0.8425,0.7353,0.6934,0.7327731092436974,0.8333,0.6964,0.7395390070921986,0.860940381069453
confidnet,do1,MSR global,rew2.2,0.7739430543572045,0.8399,0.7246,0.7924,0.7696358543417366,0.8218,0.643,0.7930851063829787,0.9202519975414876
