model,drop out,methods,reward,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,CTM,rew2.2,0.6001805054151624,0.4093,0.4093,0.1833,0.2207282913165266,0.4467,0.1837,0.5828014184397163,0.4546327596803933
confidnet,do0,CTM class,rew2.2,0.6001805054151624,0.4115,0.4115,0.2052,0.2430252100840336,0.4565,0.1719,0.6023049645390071,0.4297019053472649
confidnet,do0,CTM global,rew2.2,0.6004813477737665,0.3974,0.3974,0.177,0.2113165266106442,0.4429,0.1701,0.574645390070922,0.4247080516287645
confidnet,do0,fDBD global,rew2.2,0.6010830324909747,0.413,0.413,0.2393,0.2741736694677871,0.4616,0.2089,0.5391843971631206,0.4097649047326367
confidnet,do0,CTM class pred,rew2.2,0.6010830324909747,0.4146,0.4146,0.2085,0.2464985994397759,0.4583,0.1736,0.6030141843971631,0.4313537185003073
confidnet,do0,fDBD class avg,rew2.2,0.6031889290012034,0.4279,0.4279,0.3222,0.3547338935574229,0.5033,0.1958,0.5882978723404255,0.3752304855562385
confidnet,do0,fDBD,rew2.2,0.6074007220216606,0.4397,0.4397,0.2462,0.2847058823529412,0.4715,0.2359,0.5650709219858157,0.4688844499078057
confidnet,do0,fDBD class pred,rew2.2,0.6110108303249098,0.4677,0.4677,0.3348,0.3661624649859944,0.5035,0.2414,0.5955673758865249,0.4536339889366933
confidnet,do0,GEN global,rew2.2,0.6200361010830325,0.4818,0.4818,0.3193,0.3412885154061624,0.5022,0.3995,0.6686170212765957,0.5720651505838967
confidnet,do0,GEN,rew2.2,0.6206377858002406,0.482,0.482,0.3194,0.3414005602240896,0.5041,0.3988,0.6689716312056737,0.5701828518746158
confidnet,do0,GEN class,rew2.2,0.6251504211793021,0.4843,0.4843,0.3246,0.3493557422969188,0.5094,0.3953,0.6679078014184398,0.5641133988936693
confidnet,do0,CTMmean global,rew2.2,0.6263537906137184,0.4128,0.4128,0.2258,0.2637535014005602,0.4699,0.2116,0.5207446808510638,0.4495236631837738
confidnet,do0,CTMmeanOC,rew2.2,0.6278580024067388,0.4403,0.4403,0.2378,0.2820168067226891,0.4782,0.2438,0.5464539007092198,0.511140135218193
confidnet,do0,CTMmean,rew2.2,0.6293622141997594,0.4427,0.4427,0.2386,0.2825770308123249,0.4782,0.2448,0.5457446808510639,0.5150968039336201
confidnet,do0,GEN class pred,rew2.2,0.6293622141997594,0.5089,0.5089,0.3806,0.401344537815126,0.5392,0.4321,0.6950354609929078,0.5952289489858635
confidnet,do0,CTMmean class pred,rew2.2,0.6296630565583634,0.4601,0.4601,0.3026,0.3433053221288515,0.5105,0.2351,0.5817375886524823,0.4897433927473878
confidnet,do0,CTMmean class,rew2.2,0.631468110709988,0.4607,0.4607,0.3023,0.3434173669467787,0.5108,0.2339,0.5851063829787234,0.4989628149969268
