model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR class pred,rew2.2,1,67.76710871648457,314.4578395468114,294.8884528119445,316.62111073695144,281.7297302329225,339.06012106579533,313.8010922442082,203.12543658229387,555.7011335648622
confidnet,do1,MCD-MSR global,rew2.2,1,67.80084120222213,314.4277799752797,294.8144148490233,316.4145300302132,281.5028501830181,338.9142701332252,313.2581970844444,202.80723568836643,555.2786859188877
confidnet,do1,MCD-MSR class,rew2.2,1,67.80293281799985,314.4999750296411,294.8236650709138,316.5387211456647,281.5584741421104,338.8132516576708,312.7795435063244,202.1647723020953,554.6875091595398
confidnet,do1,MCD-MSR class avg,rew2.2,1,67.88655365601232,315.08623378650395,293.9462017912056,315.48576426931743,280.8767772799637,340.06483210747325,312.85937952659623,202.38465721450612,555.5542023675495
confidnet,do1,MCD-GEN class pred,rew2.2,1,68.05737858537273,314.0268752220338,297.17482218507314,318.42701468345643,283.5641156389428,338.9796306771754,314.6045691029096,205.14061072351373,555.9264554593552
confidnet,do1,MCD-GEN class,rew2.2,1,68.09260396191773,314.1348265250886,297.4843686805198,318.65934237285666,283.6966982701036,338.8128656177021,313.7498263481318,204.38575122335072,555.0616991981121
confidnet,do1,MCD-GEN global,rew2.2,1,68.09353718997187,314.0454759275126,297.37009638101694,318.44923677605163,283.56068598576564,338.90961960908686,314.17478311353455,204.99591794894883,555.610906416373
confidnet,do1,MCD-MSR,rew2.2,1,68.21222782188043,312.8334774554364,293.1758210290373,313.57777673941075,279.95393049903424,337.376277373917,311.6482770937351,201.36617858251668,551.0230258736912
confidnet,do1,MCD-GEN class avg,rew2.2,1,68.21734444789925,314.57827219121225,295.6480652161681,316.73616582278737,282.1603040114637,339.898700369298,313.3264880196966,204.05625457367145,555.6865695386668
confidnet,do1,MCD-PCE class pred,rew2.2,1,68.42409589532244,313.95435336172216,292.4566492161844,314.06756300045737,279.25924905319056,338.35168720316784,312.03564155796346,201.7172694927692,554.8156690112863
confidnet,do1,MCD-PCE class,rew2.2,1,68.4691160557494,314.0340826827612,292.42979090300304,314.03473693264147,279.1360733596144,338.1544705014786,311.10700675752247,200.8257731182727,553.8990388446406
confidnet,do1,MCD-PCE global,rew2.2,1,68.4731684028197,313.94452627898124,292.3984366742062,313.8837967278082,279.0502150502474,338.2471313458881,311.5794300029532,201.4702493434346,554.4925946709385
confidnet,do1,MCD-PCE class avg,rew2.2,1,68.5583619359596,314.6105516665274,291.50789618900296,312.9153608130824,278.3987775297643,339.39451077475013,311.1683011404038,201.03336608908765,554.7320429166681
confidnet,do1,MCD-GEN,rew2.2,1,69.11895976589423,312.76361029261506,296.9587273638051,316.1520953792482,282.8048198506831,337.3971884889305,312.57237396523385,204.63381701654933,551.1319717441268
confidnet,do1,MCD-PCE,rew2.2,1,69.90791329866948,312.85387885089926,289.267968693181,309.3157483379453,275.90729831426444,336.81809388156967,309.2272595085923,199.4022360979844,549.8619356545033
confidnet,do1,MCD-EGEN,rew2.2,1,70.55449972207298,315.09746513016347,288.0518869160066,308.08204379631024,274.2319206488974,338.01794682235465,308.182703581921,198.4657470378916,550.1755127602919
confidnet,do1,MCD-EMSR,rew2.2,1,70.84772796701225,315.41826026768763,287.5347713008136,307.8569482516626,274.0145430007236,338.5534859323372,308.6548225928184,197.90218581930108,550.6420497205436
confidnet,do1,MCD-REN class pred,rew2.2,1,70.86443193895846,316.55106524619094,309.00656576372694,324.10047250624893,290.8473022098137,339.6497066701916,318.3829409768999,212.9868588215146,554.8890306566958
confidnet,do1,MCD-REN global,rew2.2,1,70.90217682362224,316.44955995583547,308.5573021046377,323.5255122844886,290.2833675929133,339.4102560664077,317.50404695355195,212.3618130454797,554.4352535303875
confidnet,do1,MCD-REN class,rew2.2,1,70.90826934837322,316.6740576502952,308.9518418205543,323.9647938747764,290.5894213614925,339.42148924800347,317.40380565022053,211.8334305291146,553.9990375835026
confidnet,do1,MCD-REN class avg,rew2.2,1,70.94907436825774,317.20078013278027,307.36112292967846,322.4060436166395,289.50132772661925,340.49907554230543,317.18075946690834,211.86740876681347,554.6635763652434
confidnet,do1,MCD-PE class pred,rew2.2,1,71.22319147063212,314.3318720492157,284.0825649653179,303.01430524040546,269.8318853753682,336.85535288925075,305.7303962134288,196.2999057734175,549.8775956202908
confidnet,do1,MCD-Confidence,rew2.2,1,71.22355256679778,313.38624984589933,286.6975353986046,306.74382888665934,273.0198976821,335.84794058213737,307.8512801883482,195.94905253494647,550.1781937296971
confidnet,do1,MCD-PE class,rew2.2,1,71.26174708842558,314.48290051723114,284.15419230561326,303.1272928436267,269.8487144932099,336.76949751174743,305.0727180478076,195.59566482479283,549.1128883591334
confidnet,do1,MCD-PE global,rew2.2,1,71.27080565817757,314.33408743676966,284.09090716464294,302.94829359359096,269.72208273656514,336.79172222920863,305.4873868583098,196.192331343458,549.7627956453663
confidnet,do1,MCD-PE class avg,rew2.2,1,71.3720484555492,315.26768231871705,283.26421222053347,301.97262074908065,269.09314301876753,338.0289067298314,305.07925017254314,195.7254340118173,549.86924303021
