model,drop out,methods,reward,run,test,cifar100,cifar10,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,KPCA RecError class avg,rew2.2,1,0.1865203012409376,0.0968672216349541,0.0968672216349541,0.0358086945031712,0.038976554681069,0.0998340821000704,0.0397762068357998,0.1766470993957386,0.1039424041392325
confidnet,do1,KPCA RecError class avg,rew2.2,1,0.2297882932895683,0.1218695586403274,0.1218695586403274,0.1057899893219433,0.0959804046195805,0.1313392240612208,0.0649148869905677,0.1940983069095609,0.1231547926885174
confidnet,do0,pNML class avg,rew2.2,1,0.2630646200481856,0.1846696705426356,0.1846696705426356,0.1917409619450317,0.1955613492754395,0.2551766649048625,0.1035774753347427,0.335742491091019,0.1620015201651309
confidnet,do0,PCA RecError class avg,rew2.2,1,0.2821111586013777,0.1618185958421423,0.1618185958421423,0.1765098484848484,0.1831820649330909,0.2629586945031712,0.0713433579985905,0.300111596544365,0.0811943710630121
confidnet,do0,pNML global,rew2.2,1,0.3906113385979686,0.3275893675123326,0.3275893675123326,0.4319126849894292,0.411317750496957,0.4244161116983792,0.2050420014094433,0.4104889349956767,0.1478258395478346
confidnet,do1,PCA RecError class avg,rew2.2,1,0.4166707592374059,0.1123936821498487,0.1123936821498487,0.0564780565936999,0.0591670019137749,0.3200599928812956,0.0259163908168713,0.2706766808157227,0.0354219088902095
confidnet,do0,Residual,rew2.2,1,0.4525820553363371,0.4226973749119098,0.4226973749119098,0.5266967847075406,0.4742528174060322,0.4399173890063425,0.6293320912614517,0.4469425202045192,0.4560178522622777
confidnet,do1,pNML class avg,rew2.2,1,0.5133310425464708,0.2890157145399537,0.2890157145399537,0.2390474461647979,0.2585077341133998,0.481369407367859,0.1467789909236519,0.3544951494359941,0.0799737981799175
confidnet,do0,Maha,rew2.2,1,0.5379301738313367,0.528096511627907,0.528096511627907,0.6333617864693446,0.5868326513128155,0.5409185606060606,0.7284042195207894,0.5444707465551106,0.5584393501920767
confidnet,do1,Residual,rew2.2,1,0.5589749444660521,0.3037180192205019,0.3037180192205019,0.4038093432995195,0.3373023998707865,0.5297965563267486,0.1461503025449368,0.262344451891316,0.1690142024606346
confidnet,do1,Maha,rew2.2,1,0.5704298525742848,0.3755584979533725,0.3755584979533725,0.4549050453817405,0.3837533418777726,0.5521369460758141,0.1760332265527674,0.3377733254320763,0.2618357929124262
confidnet,do1,pNML global,rew2.2,1,0.5899099365985784,0.3429675831998576,0.3429675831998576,0.307973616301833,0.327790664227962,0.5876826036661327,0.1830433262146289,0.4082595903715736,0.1309610911339643
