model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,MSR class avg,rew2.2,1,0.0461343472914442,0.2537612798145932,0.1785683187598772,0.1853794410094545,0.1705230934413358,0.260614244944654,0.1938250316553003,0.0976930462459623,0.4033411372861532
confidnet,do0,MSR global,rew2.2,1,0.046851324393769,0.2506280288087995,0.1753814706428698,0.1817037557365617,0.166429966305737,0.2571656242275315,0.1905165708004864,0.0962832649873595,0.3964592479604735
confidnet,do0,MSR,rew2.2,1,0.046902976127062,0.250735762829293,0.1755922775349588,0.1819685003419337,0.1667172016707899,0.2571988325543161,0.1907332883622732,0.0962420436857464,0.3965883124848074
confidnet,do0,MSR class,rew2.2,1,0.0469322495267406,0.2515662514390513,0.1762418316013176,0.1826811246375878,0.1674154912187962,0.2583262089676383,0.1913684963618249,0.0969286206770833,0.3971890118382728
confidnet,do0,MSR class pred,rew2.2,1,0.0511821114675269,0.2569293572975902,0.183433026179876,0.188717566136928,0.1733548732205397,0.2626788837207008,0.1983779031497802,0.101312798290505,0.4092908292889405
confidnet,do1,MSR,rew2.2,1,0.0521039954086772,0.2480057772165121,0.1744582145383063,0.2126825542886364,0.1724627886360722,0.2448361441435495,0.1556424378503831,0.1032322432142074,0.4761371387182033
confidnet,do1,MSR global,rew2.2,1,0.0525099844088588,0.2481706923773225,0.1742777593649037,0.2124274886721416,0.1723218712076163,0.2449450339078329,0.1556427821630802,0.1034117568555944,0.4764501246918407
confidnet,do1,MSR class,rew2.2,1,0.0529181819103814,0.2474305487665093,0.1737621629090178,0.211743711786275,0.1720320882913596,0.2447531335377968,0.1558431905215198,0.1041047898134467,0.4790739853947651
confidnet,do1,MSR class avg,rew2.2,1,0.0547189698581222,0.2304727730860681,0.1734284420531866,0.2098309919409701,0.1705057113531366,0.2302431752212804,0.1485750558284145,0.1084427958512786,0.4959436188835961
confidnet,do1,MSR class pred,rew2.2,1,0.0569809475388892,0.2532682993284063,0.1774158577530384,0.2147512165459996,0.1752703467633642,0.2497532399187215,0.1605519261568711,0.1069497015670785,0.4810639632887224
confidnet,do1,fDBD class pred,rew2.2,1,0.1122763903123828,0.210916788738615,0.2129752401388242,0.2216709509682864,0.1889114055808678,0.2063675129838596,0.2214917405263871,0.1239686179585997,0.4031809185462742
confidnet,do1,CTM class avg,rew2.2,1,0.1125156225808538,0.2811476090567059,0.2484710650087022,0.2719584777752735,0.2392793169521686,0.2769921916066481,0.2302025757565531,0.1433364953486407,0.4723387008809618
confidnet,do1,fDBD,rew2.2,1,0.1131102401820513,0.211103640661207,0.2084984287923966,0.2206542904010674,0.1869485286174196,0.2065848689030055,0.218214578971936,0.1287976470156872,0.3992736482202391
confidnet,do1,fDBD global,rew2.2,1,0.1157257876029381,0.2162547184343916,0.2096222738932229,0.2270378452536419,0.195000678560555,0.2113836000923259,0.2182672770523278,0.127085674821975,0.4051346251845795
confidnet,do1,CTM,rew2.2,1,0.1225124959762279,0.2942974690619201,0.2624266072753245,0.2861478484938272,0.2519387098729095,0.2918770804819768,0.2424286710430646,0.15583953812133,0.4759515038521458
confidnet,do0,CTM class avg,rew2.2,1,0.1253120989338136,0.3163410530464372,0.2646986146265896,0.2618270259551899,0.2420568741678437,0.3153044681331219,0.2545334368792621,0.1592138712236036,0.4406250116430561
confidnet,do1,CTM global,rew2.2,1,0.1254120162201042,0.2978020877220763,0.2662312353416933,0.2890683003582875,0.255111989876818,0.2951484744533219,0.2449149998550985,0.1590621521606942,0.4774751361983911
confidnet,do0,fDBD,rew2.2,1,0.1278632360180983,0.2249168677092855,0.2288101134343862,0.2172337237634904,0.2071610133604902,0.2191142507710843,0.2183751145398686,0.1337081888568711,0.3804973247994999
confidnet,do0,CTM,rew2.2,1,0.1291473933524237,0.3261969559041036,0.2699739202726986,0.2654819396708643,0.2463394172346188,0.3255773157150748,0.2695138256416174,0.1709024426047129,0.4486492858069444
confidnet,do1,fDBD class avg,rew2.2,1,0.1300945685904186,0.2799911962846184,0.2636548898248269,0.2718858895022247,0.2517568720264345,0.2708923251752592,0.2444029737162775,0.1603984712563933,0.4491621783512398
confidnet,do1,CTM class pred,rew2.2,1,0.1301817097013386,0.3020046113828842,0.2690096697081197,0.2918462506430429,0.2580082482392099,0.2993021293712717,0.2495327852987768,0.1618659511686772,0.4816485741554731
confidnet,do1,CTM class,rew2.2,1,0.1302667772870224,0.3022315203945018,0.2691365688551473,0.2919647849621702,0.2581485506687084,0.2995519404070567,0.2496979300086796,0.1618540163616764,0.4817182092472455
confidnet,do0,fDBD global,rew2.2,1,0.1306542834811485,0.2312488691224479,0.2299026200014945,0.2299823547932183,0.2123301966150693,0.2254726713172115,0.2296314891695534,0.1335099550077255,0.3880154393718938
confidnet,do0,fDBD class avg,rew2.2,1,0.1307097923325804,0.294886597243172,0.2724191316800031,0.2723195586016536,0.2630733979334978,0.2821503120738614,0.2631685267255703,0.1670396818529612,0.4363563456822463
confidnet,do0,CTM global,rew2.2,1,0.132075497456468,0.3303647206169983,0.273985904147227,0.2692729592607687,0.2531923525535965,0.3299772182335788,0.2753481311951962,0.1768114399166525,0.454095268206805
confidnet,do0,fDBD class pred,rew2.2,1,0.1335203802843506,0.2293354468468675,0.2304274397172813,0.2183390916276916,0.2091998734032544,0.2230962167545274,0.2227605880017753,0.1361007469082591,0.3829552851234329
confidnet,do0,CTM class,rew2.2,1,0.1358163646493966,0.3336235087962914,0.2797409713621889,0.275014182729149,0.2579005184195011,0.3327977000681034,0.2798517722685807,0.1797566895175695,0.4577604649223466
confidnet,do0,CTM class pred,rew2.2,1,0.1358376086102082,0.3336309090755298,0.2796657161725294,0.2749506008522877,0.2578392524918749,0.3327530105679833,0.2797876370945507,0.1797079472358291,0.4576744828295683
confidnet,do0,Confidence,rew2.2,1,0.1925325426187079,0.4027466380910106,0.328671640559392,0.3356510434533342,0.3190130608968143,0.4083712713970543,0.337580762813377,0.2440018817642007,0.5144351514522031
confidnet,do1,Confidence,rew2.2,1,0.1979427374684466,0.3929047512556469,0.3401476571686609,0.392496832139531,0.3452864360883177,0.3937049787907477,0.3080157141440586,0.2622618588737513,0.6431260668418497
confidnet,do0,CTMmeanOC,rew2.2,1,0.2963570251143895,0.5009827317397648,0.458772091184814,0.4580545390577997,0.4391046704402662,0.5014753053474055,0.462248549820437,0.3483273066185516,0.6390051451315254
