model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR class pred,rew2.2,1,0.0212429961118556,0.237164090861536,0.2031734063380571,0.2429448000963367,0.2175379103979575,0.2494007768474354,0.2277055033110586,0.1469848853197132,0.3732996610115459
confidnet,do1,MCD-MSR global,rew2.2,1,0.0221828283783057,0.2351610368130629,0.2003954567771495,0.2399972830623076,0.2145303947932417,0.247035537321993,0.2236705661944686,0.1443244953869341,0.3683727106146702
confidnet,do1,MCD-MSR class avg,rew2.2,1,0.0222052985137904,0.2351702253597494,0.1986668254531516,0.2382218106688217,0.2128537459337633,0.24724171794614,0.222752311666413,0.1436870538526558,0.3673012039266633
confidnet,do1,MCD-MSR class,rew2.2,1,0.0234239726518512,0.2352847491257964,0.2004760169555138,0.2403453465025253,0.2148217764499266,0.2470020271958493,0.2232883591988262,0.1438802867001376,0.3679446575561017
confidnet,do1,MCD-EMSR,rew2.2,1,0.035041894244513,0.2345966603078243,0.1964178981044593,0.2226399486776384,0.1985235847507019,0.2420412300889177,0.2146946980649532,0.1253104037897326,0.3722362874437077
confidnet,do1,MCD-MSR,rew2.2,1,0.0686632399505475,0.1564927768759897,0.1310412267462381,0.160942099928507,0.1388862638272453,0.1671385464913414,0.1444213674995267,0.0683598322773979,0.2816624595976764
confidnet,do1,MCD-Confidence,rew2.2,1,0.134079306917472,0.0972668645746722,0.0699932868316107,0.0891685725265162,0.0687050297316416,0.0990502592140728,0.0753069866851524,0.0331363721780143,0.2160567352128047
confidnet,do1,MCD-ECTMmean class avg,rew2.2,1,0.144302369111114,0.2659806621045568,0.2641454682435957,0.2630986719055718,0.2378079138637811,0.2639958232116257,0.258788389231107,0.1612740199103869,0.4478041912105731
confidnet,do1,MCD-ECTMmean,rew2.2,1,0.1493239947888586,0.2671720295138118,0.2654838506221146,0.2645456220411833,0.2395882450555353,0.2646855750812629,0.260170293275774,0.1767976307732674,0.4481336000722869
confidnet,do1,MCD-ECTMmean class pred,rew2.2,1,0.1493247477213541,0.2671401208340606,0.2654890701480146,0.2645145306491041,0.2395926690970422,0.2646889302651674,0.2601735045438607,0.1767994977648386,0.4481373881785268
confidnet,do1,MCD-ECTMmean global,rew2.2,1,0.1493401504556338,0.2670840227144568,0.2654719919790189,0.2642817717876072,0.2394595455537063,0.264645314775629,0.2600172857685917,0.1763437568551148,0.4479953535821541
confidnet,do1,MCD-ECTMmeanOC,rew2.2,1,0.1554438863992691,0.2675964596457383,0.2659439441558858,0.2648220637342978,0.2399530566527735,0.2656099786327953,0.2608654804864346,0.181894821525052,0.4481992634924331
