model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do0,REN,rew2.2,1,0.3056768558951965,0.41,0.2393,0.2012,0.1992156862745098,0.3733,0.155,0.2936170212765957,0.1481253841425937
confidnet,do0,REN global,rew2.2,1,0.3056768558951965,0.4111,0.2398,0.2026,0.2012324929971989,0.3744,0.1554,0.2939716312056737,0.1475875845113706
confidnet,do0,CTMmean class,rew2.2,1,0.3056768558951965,0.4318,0.2761,0.2337,0.2271148459383753,0.3955,0.1697,0.3,0.1580362630608482
confidnet,do0,REN class,rew2.2,1,0.3078602620087336,0.4072,0.2411,0.2124,0.2079551820728291,0.3743,0.1531,0.2890070921985815,0.1434772587584511
confidnet,do0,Confidence,rew2.2,1,0.3078602620087336,0.4254,0.2443,0.1828,0.1798319327731092,0.3672,0.1571,0.3262411347517731,0.1532344806392132
confidnet,do0,CTMmean class pred,rew2.2,1,0.3078602620087336,0.4305,0.2759,0.2322,0.2272268907563025,0.3927,0.1696,0.300709219858156,0.1586124769514443
confidnet,do0,CTM,rew2.2,1,0.3122270742358078,0.3789,0.1898,0.1306,0.1307563025210084,0.3122,0.1013,0.25,0.1128226797787338
confidnet,do0,CTMmean global,rew2.2,1,0.3122270742358078,0.402,0.2357,0.1774,0.1733333333333333,0.3517,0.1318,0.276241134751773,0.1393285187461585
confidnet,do0,CTMmean,rew2.2,1,0.314410480349345,0.411,0.2536,0.1902,0.1898039215686274,0.3634,0.1462,0.2881205673758865,0.1541948371235402
confidnet,do0,fDBD class avg,rew2.2,1,0.314410480349345,0.4346,0.2886,0.2707,0.2538935574229692,0.4304,0.1447,0.2523049645390071,0.1605331899200983
confidnet,do0,CTMmeanOC,rew2.2,1,0.314410480349345,0.4112,0.2534,0.1901,0.1895798319327731,0.3631,0.1459,0.2870567375886524,0.1533881376767056
confidnet,do0,CTM global,rew2.2,1,0.3165938864628821,0.379,0.1873,0.1279,0.1268347338935574,0.3119,0.0983,0.2478723404255319,0.1107483097725875
confidnet,do0,fDBD global,rew2.2,1,0.3165938864628821,0.4178,0.2501,0.1903,0.1874509803921568,0.3529,0.1635,0.2895390070921986,0.1614167178856791
confidnet,do0,REN class pred,rew2.2,1,0.3165938864628821,0.4395,0.2638,0.2353,0.2296918767507002,0.4054,0.1966,0.3377659574468085,0.1791641057160418
confidnet,do0,KPCA RecError global,rew2.2,1,0.3165938864628821,0.4019,0.2341,0.1721,0.1734453781512605,0.3408,0.1334,0.275709219858156,0.1441687154271665
confidnet,do0,GEN,rew2.2,1,0.3209606986899563,0.4418,0.2665,0.2142,0.214453781512605,0.4005,0.188,0.3480496453900709,0.2004071911493546
confidnet,do0,CTM class,rew2.2,1,0.3231441048034934,0.3966,0.2032,0.1573,0.1523809523809524,0.333,0.1225,0.2636524822695035,0.1265365703749231
confidnet,do0,CTM class pred,rew2.2,1,0.3231441048034934,0.3962,0.2041,0.1577,0.1532773109243697,0.3321,0.1226,0.2652482269503546,0.1272664413030116
confidnet,do0,fDBD,rew2.2,1,0.3231441048034934,0.4251,0.2626,0.2018,0.2035854341736694,0.3603,0.179,0.2992907801418439,0.1753226797787338
confidnet,do0,GEN global,rew2.2,1,0.3231441048034934,0.4323,0.2498,0.1999,0.1984313725490196,0.3894,0.1754,0.3349290780141844,0.1859250153657037
confidnet,do0,GEN class pred,rew2.2,1,0.3253275109170305,0.4542,0.2773,0.2301,0.2291316526610644,0.4144,0.2004,0.3618794326241135,0.202558389674247
confidnet,do0,PCE,rew2.2,1,0.3275109170305676,0.4224,0.2343,0.182,0.1828571428571428,0.3763,0.1643,0.3306737588652482,0.1813921327596803
confidnet,do0,MSR global,rew2.2,1,0.3275109170305676,0.4241,0.2375,0.1843,0.1852100840336134,0.3784,0.1668,0.3317375886524822,0.1818915181315304
confidnet,do0,PCE global,rew2.2,1,0.3275109170305676,0.424,0.2354,0.1825,0.183641456582633,0.3775,0.1646,0.3313829787234043,0.1813921327596803
confidnet,do0,MSR,rew2.2,1,0.3275109170305676,0.4248,0.2375,0.1839,0.1853221288515406,0.3784,0.1665,0.3317375886524822,0.1824293177627535
confidnet,do0,GEN class,rew2.2,1,0.3318777292576419,0.4281,0.2398,0.1865,0.1870028011204481,0.3801,0.1666,0.3320921985815603,0.1813153042409342
confidnet,do0,MSR class pred,rew2.2,1,0.3318777292576419,0.4246,0.2332,0.184,0.1856582633053221,0.3796,0.1669,0.3377659574468085,0.183658574062692
confidnet,do0,PCE class pred,rew2.2,1,0.3318777292576419,0.4244,0.2316,0.1827,0.1847619047619047,0.379,0.1665,0.3377659574468085,0.1836969883220651
confidnet,do0,MSR class,rew2.2,1,0.334061135371179,0.4285,0.2389,0.1839,0.1847619047619047,0.3787,0.167,0.3367021276595744,0.1863091579594345
confidnet,do0,PE,rew2.2,1,0.3362445414847161,0.4132,0.2183,0.1669,0.1692997198879551,0.3632,0.1549,0.325,0.1733251382913337
confidnet,do0,CTMmean class avg,rew2.2,1,0.3362445414847161,0.4106,0.2385,0.1679,0.1678431372549019,0.3432,0.1488,0.2863475177304964,0.1252688998156115
confidnet,do0,PCE class,rew2.2,1,0.3362445414847161,0.4263,0.2365,0.1818,0.1835294117647058,0.3769,0.1651,0.3352836879432624,0.1851951444376152
confidnet,do0,PE global,rew2.2,1,0.3384279475982533,0.4137,0.2185,0.1674,0.1697478991596638,0.3645,0.155,0.325177304964539,0.1728257529194837
confidnet,do0,GE global,rew2.2,1,0.3406113537117904,0.408,0.2068,0.1535,0.1594397759103641,0.3534,0.1447,0.326418439716312,0.1722879532882606
confidnet,do0,PE class pred,rew2.2,1,0.3406113537117904,0.4164,0.2194,0.17,0.173109243697479,0.3659,0.1589,0.3338652482269503,0.1789336201598033
confidnet,do0,PE class,rew2.2,1,0.3427947598253275,0.4163,0.2217,0.1683,0.170532212885154,0.3608,0.1557,0.3301418439716312,0.1775507068223724
confidnet,do0,GE,rew2.2,1,0.3427947598253275,0.4085,0.2073,0.1536,0.1594397759103641,0.3533,0.1456,0.32677304964539,0.1735556238475722
confidnet,do0,fDBD class pred,rew2.2,1,0.3471615720524017,0.4612,0.2991,0.2443,0.2359663865546218,0.3863,0.2326,0.3473404255319149,0.1996773202212661
confidnet,do0,GE class,rew2.2,1,0.3493449781659388,0.4116,0.2089,0.1544,0.1583193277310924,0.3487,0.1489,0.3347517730496454,0.179279348494161
confidnet,do0,NNGuide class pred,rew2.2,1,0.3580786026200873,0.4037,0.2035,0.1528,0.1550700280112044,0.3426,0.1432,0.3219858156028369,0.1713275968039336
confidnet,do0,GE class pred,rew2.2,1,0.3646288209606987,0.4079,0.2035,0.1521,0.1579831932773109,0.3501,0.1469,0.3343971631205674,0.1808159188690842
confidnet,do0,Maha global,rew2.2,1,0.3668122270742358,0.4091,0.223,0.1505,0.14890756302521,0.3171,0.13,0.2918439716312057,0.1750153657037492
confidnet,do0,MLS class pred,rew2.2,1,0.3689956331877729,0.4051,0.1954,0.1438,0.1510364145658263,0.3411,0.1416,0.3351063829787234,0.1808927473878303
confidnet,do0,GEN class avg,rew2.2,1,0.3689956331877729,0.4947,0.3162,0.2579,0.2580392156862745,0.4217,0.3104,0.4322695035460993,0.273240626920713
confidnet,do0,MLS class,rew2.2,1,0.3689956331877729,0.4051,0.1954,0.1438,0.1510364145658263,0.3411,0.1416,0.3351063829787234,0.1808927473878303
confidnet,do0,MLS global,rew2.2,1,0.37117903930131,0.4065,0.1965,0.1411,0.1499159663865546,0.3439,0.14,0.3329787234042553,0.1736708666256914
confidnet,do0,NNGuide,rew2.2,1,0.3755458515283842,0.4009,0.1991,0.142,0.1471148459383753,0.3347,0.1346,0.3163120567375886,0.1638752304855562
confidnet,do0,NNGuide global,rew2.2,1,0.3755458515283842,0.4016,0.1986,0.1409,0.1456582633053221,0.3356,0.1331,0.3141843971631206,0.1614935464044253
confidnet,do1,GEN,rew2.2,1,0.3777335984095427,0.4414,0.1959,0.1447,0.1374789915966386,0.3877,0.3055,0.3157801418439716,0.1237707437000614
confidnet,do1,GEN global,rew2.2,1,0.3777335984095427,0.4427,0.1978,0.1472,0.1391596638655462,0.3888,0.3056,0.3152482269503546,0.1238859864781807
confidnet,do1,PE class pred,rew2.2,1,0.3797216699801193,0.4009,0.1228,0.078,0.0755182072829131,0.3211,0.1692,0.2455673758865248,0.0734480639213275
confidnet,do0,NeCo,rew2.2,1,0.3799126637554585,0.4077,0.1973,0.1417,0.1501400560224089,0.3442,0.1403,0.3359929078014184,0.1756684081130916
confidnet,do0,MLS,rew2.2,1,0.3799126637554585,0.4077,0.1975,0.1417,0.1501400560224089,0.3442,0.1403,0.3359929078014184,0.1757068223724646
confidnet,do1,MSR class pred,rew2.2,1,0.3817097415506958,0.4196,0.1488,0.105,0.0963585434173669,0.3512,0.2286,0.27677304964539,0.0922710510141364
confidnet,do1,GEN class pred,rew2.2,1,0.3817097415506958,0.4484,0.1995,0.1488,0.1411764705882353,0.3937,0.3197,0.3246453900709219,0.1299938537185003
confidnet,do1,PCE,rew2.2,1,0.3817097415506958,0.4133,0.1443,0.1012,0.0929971988795518,0.344,0.2169,0.2677304964539007,0.08769975414874
confidnet,do1,PE class,rew2.2,1,0.3817097415506958,0.3995,0.123,0.0779,0.0758543417366946,0.3169,0.1683,0.2450354609929078,0.0734096496619545
confidnet,do1,PE global,rew2.2,1,0.3836978131212724,0.3982,0.122,0.0777,0.0758543417366946,0.3177,0.1628,0.2425531914893617,0.0710663798401966
confidnet,do1,GEN class avg,rew2.2,1,0.3836978131212724,0.4457,0.1997,0.147,0.1373669467787114,0.3848,0.315,0.3239361702127659,0.1320682237246465
confidnet,do1,MSR,rew2.2,1,0.3836978131212724,0.4191,0.1512,0.1066,0.0979271708683473,0.3512,0.2274,0.27677304964539,0.0924631223110018
confidnet,do1,GEN class,rew2.2,1,0.3836978131212724,0.4426,0.1964,0.1473,0.1384873949579832,0.3881,0.3061,0.3177304964539007,0.1266902274124154
confidnet,do1,MSR global,rew2.2,1,0.3836978131212724,0.4177,0.1491,0.1059,0.0969187675070028,0.3497,0.2224,0.2726950354609929,0.0898509526736324
